CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100129,0,6775.0,0,843.75,0,875.0,-1630.0,1041.6,350.0,-2225.0,
20100226,-6390.0,9600.0,0,1631.25,0,-1050.0,-2540.0,-4277.6,-1195.0,-2225.0,
20100331,-6390.0,11062.5,0,-1112.5,2700.0,-50.0,-2960.0,-962.4,-4665.0,-2225.0,
20100430,-10910.0,13737.5,2490.0,-1112.5,3080.0,-1500.0,-1510.0,751.2,-4665.0,-2225.0,
20100528,-10910.0,26575.0,5670.0,-1112.5,-550.0,-1500.0,-3670.0,1826.4,-4665.0,665.62,
20100630,-13520.0,26987.5,8760.0,-1112.5,-4230.0,-1500.0,-6060.0,-491.2,-4925.0,3337.5,
20100730,-16470.0,18350.0,4360.0,3968.75,-4230.0,1775.0,-6060.0,830.4,-11990.0,4603.12,
20100831,-19030.0,18350.0,4360.0,4156.25,-3200.0,1450.0,-6060.0,1032.0,-12360.0,7228.12,
20100930,-19030.0,18350.0,4360.0,5881.25,-2480.0,6287.5,-6060.0,6419.2,-415.0,7650.0,
20101029,-21590.0,18350.0,4360.0,2106.25,-650.0,12200.0,-6060.0,12736.0,13300.0,7884.38,
20101130,-22680.0,18350.0,4360.0,2106.25,-2910.0,12550.0,-6060.0,10977.6,31315.0,6034.38,
20101231,-21440.0,18350.0,4360.0,11406.25,-2910.0,20050.0,-6060.0,16096.0,44940.0,8081.25,
20110131,-26150.0,18350.0,2410.0,13018.75,-2910.0,20550.0,-4230.0,18168.0,24730.0,7721.88,
20110228,-26150.0,18350.0,-1670.0,22262.5,-3470.0,14650.0,-6090.0,15626.4,30455.0,8237.5,
20110331,-22450.0,18087.5,-5250.0,19431.25,-5890.0,14650.0,-7010.0,15626.4,50795.0,7371.88,
20110429,-15800.0,26612.5,6400.0,31731.25,-5890.0,14650.0,-7010.0,17720.8,104245.0,7371.88,
20110531,-30070.0,18150.0,4340.0,22987.5,-5890.0,14650.0,-6350.0,16679.2,35100.0,8356.25,
20110630,-29810.0,18150.0,940.0,18243.75,-9640.0,15262.5,-9140.0,14641.6,35100.0,8075.0,
20110729,-29770.0,12400.0,4550.0,28012.5,-9640.0,12775.0,-9140.0,18528.0,35100.0,11434.38,
20110831,-22750.0,12400.0,24600.0,19418.75,-10970.0,12775.0,-9140.0,18382.4,24785.0,15746.88,
20110930,-12920.0,12400.0,7330.0,20956.25,-6460.0,18125.0,-9140.0,16064.8,-895.0,16809.38,
20111031,-19830.0,12400.0,7330.0,21687.5,-7200.0,16662.5,-9140.0,16064.8,-22250.0,13881.25,
20111130,-17220.0,12400.0,7330.0,19231.25,-1940.0,20962.5,-9140.0,15381.6,-14015.0,13881.25,
20111230,-18970.0,12400.0,7330.0,23000.0,4050.0,17612.5,-9140.0,15818.4,10430.0,13881.25,
20120131,-19490.0,8812.5,7330.0,20293.75,9310.0,16525.0,-9140.0,14027.2,-10620.0,13881.25,
20120229,-20400.0,6175.0,7330.0,25300.0,9580.0,18337.5,-9140.0,14217.6,-22310.0,12531.25,
20120330,-24800.0,6175.0,7330.0,33100.0,15410.0,22487.5,-9250.0,13881.6,-35120.0,11921.88,
20120430,-24800.0,6175.0,7330.0,35050.0,14700.0,27775.0,-7640.0,12471.2,-35120.0,9993.75,
20120531,-12960.0,6175.0,7330.0,42137.5,12780.0,20775.0,-8990.0,14375.2,-35105.0,11368.75,
20120629,-11060.0,6175.0,7330.0,39043.75,13370.0,20775.0,-9660.0,12449.6,-34160.0,10806.25,
20120731,-13860.0,6175.0,7330.0,35812.5,17400.0,32600.0,-10090.0,12449.6,-35670.0,12087.5,
20120831,-17240.0,6175.0,10640.0,35812.5,12310.0,38375.0,-11910.0,12449.6,-32530.0,10753.12,
20120928,-17240.0,6700.0,19270.0,35812.5,12310.0,28950.0,-14180.0,12449.6,-16855.0,10753.12,
