Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,0,0,0,0,0,0,0,0,0,1,499656.0
20100105,0,0,0,0,0,0,0,0,0,1,498984.0
20100106,0,0,0,0,0,0,0,0,0,1,499219.0
20100107,0,1,0,0,0,0,0,0,0,1,500506.0
20100108,0,1,0,0,0,0,0,0,0,1,499019.0
20100111,0,1,0,0,0,0,0,0,0,1,497794.0
20100112,0,1,0,0,0,0,0,0,0,1,497375.0
20100113,0,1,0,0,0,0,0,0,0,1,497447.0
20100114,0,1,0,0,0,0,0,0,0,1,497188.0
20100115,0,1,0,0,0,0,0,0,0,1,498119.0
20100119,0,1,0,0,0,0,0,0,0,0,499212.0
20100120,0,1,0,0,0,0,1,1,0,0,501764.0
20100121,0,1,0,0,0,0,1,1,0,0,501952.0
20100122,0,1,0,0,0,0,1,1,0,0,500570.0
20100125,0,1,0,0,0,0,1,1,0,0,500850.0
20100126,0,1,0,0,0,0,1,1,0,0,500682.0
20100127,0,1,0,0,0,0,1,1,0,0,500179.0
20100128,0,1,0,1,0,0,1,1,0,0,502099.0
20100129,0,1,0,1,0,1,1,1,1,0,506030.0
20100201,0,1,0,1,0,1,1,1,1,0,500895.0
20100202,0,1,0,1,0,1,0,1,1,0,498367.0
20100203,0,1,0,1,0,1,0,1,1,0,502097.0
20100204,0,1,0,1,0,1,0,1,1,0,508285.0
20100205,0,1,0,1,0,1,0,1,1,0,510770.0
20100208,1,1,0,1,0,1,0,1,1,0,509261.0
20100209,1,1,0,1,0,1,0,1,1,0,504633.0
20100210,1,1,0,1,0,1,0,1,1,0,503482.0
20100211,1,1,0,1,0,1,0,1,1,0,502625.0
20100212,1,1,0,1,0,1,0,1,1,0,504371.0
20100216,1,1,0,1,0,1,0,1,1,0,495264.0
20100217,1,1,0,1,0,1,0,1,1,0,496730.0
20100218,1,1,0,1,0,1,0,1,1,0,496101.0
20100219,0,1,0,1,0,1,0,1,1,0,494065.0
20100222,0,1,0,1,0,1,0,1,1,0,494190.0
20100223,0,1,0,1,0,1,0,0,1,0,497517.0
20100224,0,1,0,1,0,1,0,0,1,0,496482.0
20100225,0,1,0,1,0,1,0,0,1,0,497339.0
20100226,0,1,0,1,0,1,1,0,1,0,493554.0
20100301,0,1,0,1,0,1,1,0,1,0,494452.0
20100302,0,1,0,1,0,1,1,0,1,0,490391.0
20100303,0,1,0,1,0,1,1,0,1,0,488516.0
20100304,0,1,0,1,0,1,1,0,0,0,492316.0
20100305,0,1,0,1,0,1,1,0,0,0,491506.0
20100308,0,1,0,1,0,1,1,0,0,0,490671.0
20100309,0,1,0,1,0,1,1,0,0,0,490392.0
20100310,0,1,0,1,0,1,1,0,0,0,489190.0
20100311,0,1,0,1,0,1,1,1,0,0,490101.0
20100312,0,1,0,1,0,1,1,1,0,0,489437.0
20100315,0,1,0,1,0,1,1,1,0,0,490862.0
20100316,0,1,0,1,0,1,1,1,0,0,489665.0
20100317,0,1,0,1,0,1,1,1,0,0,489025.0
20100318,0,1,0,1,0,1,1,1,0,0,489175.0
20100319,0,1,0,1,1,1,1,1,0,0,491300.0
20100322,0,1,0,1,1,1,1,1,0,0,492081.0
20100323,0,1,0,1,1,1,1,1,0,0,492505.0
20100324,0,1,0,1,1,1,1,1,0,0,494229.0
20100325,0,1,0,1,1,1,1,1,0,0,496071.0
20100326,0,1,0,1,1,1,1,1,0,0,495228.0
20100329,0,1,0,1,1,1,0,1,0,0,493152.0
20100330,0,1,0,0,1,1,0,1,0,0,492530.0
20100331,0,1,0,0,1,1,1,1,0,0,495398.0
20100401,0,1,0,0,1,1,1,1,0,0,492407.0
20100402,0,1,0,0,1,1,1,1,0,0,492407.0
20100405,0,1,0,0,1,1,1,1,0,0,492930.0
20100406,1,1,0,0,1,1,1,1,0,0,496074.0
20100407,1,1,0,0,1,1,1,1,0,0,495717.0
20100408,1,1,0,0,1,1,1,1,0,0,496848.0
20100409,1,1,0,0,1,1,1,1,0,0,491747.0
20100412,1,1,0,0,1,1,1,1,0,0,490006.0
20100413,1,1,0,0,1,1,1,1,0,0,487821.0
20100414,1,1,0,0,1,0,1,1,0,0,487847.0
20100415,1,1,1,0,1,0,1,1,0,0,492459.0
20100416,1,1,1,0,1,0,1,1,0,0,489147.0
20100419,1,1,1,0,1,0,1,1,0,0,487389.0
20100420,1,1,1,0,1,0,1,1,0,0,489093.0
20100421,1,1,1,0,1,0,1,1,0,0,491150.0
20100422,1,1,1,0,1,0,1,1,0,0,490765.0
20100423,0,1,1,0,1,0,1,1,0,0,488819.0
20100426,0,1,1,0,1,0,1,1,0,0,488507.0
20100427,0,1,1,0,1,0,1,1,0,0,492850.0
20100428,0,1,1,0,1,0,1,1,0,0,493346.0
20100429,0,1,1,0,1,0,1,1,0,0,496054.0
20100430,0,1,1,0,1,0,1,1,0,0,498136.0
20100503,0,1,1,0,1,0,1,1,0,1,498887.0
20100504,0,1,1,0,1,0,1,1,0,1,501004.0
20100505,0,1,1,0,1,0,1,1,0,1,503695.0
20100506,0,1,1,0,1,0,1,1,0,1,510836.0
20100507,0,1,1,0,1,0,1,1,0,1,509820.0
20100510,0,1,1,0,1,0,1,1,0,1,505813.0
20100511,0,1,1,0,1,0,1,1,0,1,509926.0
20100512,0,1,1,0,1,0,1,1,0,1,510504.0
20100513,0,1,1,0,1,0,1,1,0,1,509148.0
20100514,0,1,1,0,1,0,1,1,0,1,512322.0
20100517,0,1,1,0,1,0,1,1,0,1,510521.0
20100518,0,1,1,0,1,0,0,1,0,1,511657.0
20100519,0,1,1,0,1,0,0,1,0,1,508573.0
20100520,0,1,1,0,1,0,0,1,0,1,508379.0
20100521,0,1,1,0,1,0,0,1,0,1,506459.0
20100524,0,1,1,0,1,0,0,1,0,1,511254.0
