CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100129,0,5812.5,0,843.75,0,875.0,-1630.0,3248.0,350.0,-2225.0,
20100226,-6390.0,7337.5,0,1631.25,0,-1050.0,-2540.0,-2071.2,-1195.0,-2225.0,
20100331,-6390.0,7337.5,0,-1112.5,2700.0,-50.0,-2960.0,1244.0,-4665.0,-2225.0,
20100430,-10910.0,7337.5,3050.0,-1112.5,3080.0,-1500.0,-1510.0,2957.6,-4665.0,-2225.0,
20100528,-4640.0,7337.5,5720.0,-1112.5,-550.0,-1500.0,-3670.0,2857.6,-9355.0,665.62,
20100630,-1930.0,7337.5,5720.0,7000.0,-9360.0,-1500.0,-6060.0,2857.6,-14600.0,3337.5,
20100730,-1930.0,7337.5,5720.0,7000.0,-11490.0,1775.0,-6060.0,4179.2,-21665.0,4603.12,
20100831,-1930.0,7337.5,5720.0,7000.0,-10460.0,1450.0,-6060.0,4380.8,-22035.0,4706.25,
20100930,-1930.0,10212.5,9660.0,7000.0,-9740.0,1350.0,-7170.0,8391.2,-15445.0,4706.25,
20101029,-4490.0,12087.5,12730.0,9793.75,-7910.0,1350.0,-6000.0,8391.2,-15445.0,4706.25,
20101130,-5580.0,12087.5,12730.0,14906.25,-6170.0,1350.0,-6860.0,8391.2,-15445.0,4706.25,
20101231,-4340.0,12087.5,12730.0,14906.25,-6170.0,1350.0,-8270.0,8391.2,-15445.0,6753.12,
20110131,-9050.0,12087.5,10780.0,14906.25,-10100.0,1350.0,-6440.0,8391.2,-15445.0,6393.75,
20110228,-7760.0,12087.5,6700.0,14906.25,-10660.0,1350.0,-8300.0,8391.2,-9720.0,6909.38,
20110331,-2440.0,14537.5,3120.0,14906.25,-13080.0,1350.0,-9220.0,8391.2,-5420.0,6043.75,
20110429,-2440.0,18562.5,12560.0,14906.25,-13080.0,1350.0,-8840.0,10485.6,-5420.0,6246.88,
20110531,-2440.0,18562.5,12560.0,14906.25,-13080.0,1350.0,-6670.0,9444.0,-5420.0,9106.25,
20110630,-2180.0,18562.5,12560.0,10162.5,-16830.0,1962.5,-9460.0,7406.4,-5420.0,10631.25,
20110729,-2140.0,12812.5,16980.0,19931.25,-16830.0,-525.0,-9460.0,12592.8,-5420.0,10631.25,
20110831,6960.0,12812.5,20010.0,11337.5,-18160.0,-1975.0,-9460.0,12592.8,-15735.0,10631.25,
20110930,6960.0,18950.0,20010.0,2050.0,-13650.0,-1662.5,-9460.0,12592.8,-41415.0,10631.25,
20111031,6960.0,18950.0,20010.0,2781.25,-14390.0,-1625.0,-9650.0,12592.8,-42375.0,10631.25,
20111130,9270.0,18950.0,20010.0,325.0,-8580.0,-1625.0,-10680.0,11909.6,-42375.0,10631.25,
20111230,7520.0,19962.5,21330.0,4893.75,-8580.0,-1625.0,-10680.0,12346.4,-42375.0,10584.38,
20120131,7000.0,18475.0,10200.0,4893.75,-8580.0,-1625.0,-10680.0,10555.2,-42375.0,11709.38,
20120229,6090.0,15837.5,10200.0,9900.0,-8580.0,187.5,-10680.0,10745.6,-54065.0,10359.38,
20120330,1690.0,15837.5,10200.0,16568.75,-8580.0,4337.5,-10790.0,10409.6,-66875.0,9750.0,
20120430,1690.0,15837.5,10200.0,16568.75,-8580.0,7137.5,-9180.0,8999.2,-66875.0,7821.88,
20120531,6870.0,20712.5,14970.0,16568.75,-8580.0,7137.5,-10530.0,10903.2,-64050.0,10087.5,
20120629,6870.0,20712.5,14970.0,16568.75,-7990.0,7137.5,-11200.0,8977.6,-64050.0,9525.0,
20120731,6870.0,20712.5,14970.0,16568.75,-3960.0,14562.5,-11630.0,8977.6,-64050.0,10806.25,
20120831,6870.0,20712.5,18280.0,16568.75,-9050.0,14562.5,-13450.0,8977.6,-59780.0,9471.88,
20120928,6870.0,21237.5,26360.0,16568.75,-9050.0,14562.5,-15720.0,8977.6,-56290.0,9471.88,
20121031,7230.0,22550.0,26360.0,16568.75,-10430.0,14562.5,-15720.0,8977.6,-56290.0,9471.88,
20121130,4990.0,19350.0,26360.0,18837.5,-12120.0,12975.0,-15720.0,8977.6,-56290.0,9487.5,
20121231,3270.0,19012.5,25950.0,21387.5,-12330.0,14137.5,-16200.0,7992.0,-57650.0,8403.12,
20130131,5110.0,23637.5,27540.0,17162.5,-12020.0,10650.0,-15590.0,8809.6,-67815.0,8668.75,
20130228,-1110.0,18750.0,32670.0,16037.5,-12910.0,10650.0,-15770.0,9000.0,-62625.0,7146.88,
20130329,-1110.0,18300.0,32670.0,18306.25,-12210.0,10650.0,-15170.0,8508.0,-62080.0,7146.88,
20130430,-7920.0,13725.0,32670.0,19937.5,-9390.0,7562.5,-15770.0,8351.2,-60340.0,8053.12,
20130531,-7920.0,13725.0,32670.0,17343.75,-13450.0,10750.0,-15700.0,9527.2,-60340.0,6531.25,
20130628,-7920.0,9762.5,32670.0,20625.0,-13200.0,12150.0,-14260.0,9426.4,-60340.0,9187.5,
20130731,-2370.0,9762.5,32670.0,20112.5,-11980.0,12150.0,-14750.0,9370.4,-60340.0,11025.0,
20130830,300.0,9762.5,32670.0,20112.5,-12930.0,10675.0,-13030.0,9203.2,-65525.0,11025.0,
20130930,300.0,9937.5,32670.0,20112.5,-14630.0,6937.5,-11510.0,9147.2,-68365.0,11025.0,
20131031,2040.0,10750.0,32670.0,21950.0,-14630.0,6625.0,-10810.0,9348.8,-68365.0,11493.75,
20131129,6350.0,8462.5,31820.0,21050.0,-16440.0,6625.0,-10810.0,8778.4,-68365.0,10775.0,
20131231,-890.0,8825.0,36630.0,19300.0,-16110.0,6625.0,-10540.0,8274.4,-69365.0,9565.62,
20140131,-890.0,6325.0,29750.0,19300.0,-13140.0,6625.0,-11210.0,9237.6,-68115.0,9565.62,
20140228,-870.0,6325.0,28270.0,35981.25,-9830.0,10800.0,-9950.0,7782.4,-77500.0,9565.62,
20140331,-5590.0,4900.0,24490.0,35981.25,-9830.0,13300.0,-3300.0,7782.4,-82205.0,7871.88,
20140430,-5590.0,4900.0,26330.0,35981.25,-9830.0,15925.0,-3300.0,7782.4,-82205.0,7871.88,
20140530,-6730.0,3750.0,26330.0,35981.25,-9830.0,14950.0,-3300.0,7782.4,-80390.0,8590.62,
20140630,-3580.0,2875.0,19250.0,35981.25,-9830.0,12387.5,-3300.0,7782.4,-86555.0,8246.88,
20140731,-6190.0,6700.0,15010.0,35981.25,-5460.0,15912.5,-390.0,9003.2,-91820.0,7225.0,
20140829,-8680.0,9912.5,15010.0,35981.25,-5460.0,15937.5,2090.0,10089.6,-95055.0,7646.88,
20140930,-5100.0,12462.5,17940.0,26393.75,-5460.0,15937.5,2090.0,10761.6,-91065.0,6187.5,
20141031,-1770.0,12462.5,21940.0,30775.0,-6430.0,15937.5,2090.0,11220.8,-90755.0,6484.38,
20141128,-1770.0,12462.5,22160.0,30775.0,-12370.0,15937.5,2090.0,11724.8,-90755.0,7796.88,
20141231,-1770.0,12462.5,22160.0,30775.0,-6310.0,15937.5,1650.0,12923.2,-90755.0,7546.88,
20150130,-1770.0,12462.5,23610.0,30418.75,-6310.0,15937.5,6090.0,11322.4,-94765.0,10587.5,
20150227,-1770.0,12462.5,17420.0,36543.75,-6310.0,15937.5,8000.0,11815.2,-96980.0,10587.5,
20150331,-1770.0,12462.5,17420.0,36543.75,-6310.0,15937.5,10880.0,13876.0,-96980.0,10587.5,
20150430,-690.0,12462.5,17420.0,36543.75,-6310.0,15937.5,10880.0,12397.6,-96980.0,10587.5,
20150529,-980.0,12462.5,17420.0,36543.75,-9760.0,16550.0,10880.0,11950.4,-96980.0,9612.5,
20150630,-2220.0,12462.5,17420.0,36543.75,-9760.0,17525.0,10270.0,11334.4,-96980.0,8956.25,
20150731,-930.0,12462.5,23770.0,36543.75,-9760.0,12337.5,8720.0,12824.0,-95680.0,8387.5,
20150831,3760.0,8137.5,23770.0,35906.25,-9760.0,11712.5,8720.0,13328.0,-94760.0,8184.38,
20150930,3760.0,6550.0,23770.0,37012.5,-7730.0,11487.5,9240.0,12108.0,-97755.0,9856.25,
20151030,3760.0,1712.5,19510.0,34775.0,-2800.0,11775.0,6930.0,13239.2,-100570.0,8809.38,
20151130,4080.0,3700.0,17470.0,34775.0,-3010.0,12012.5,5940.0,13698.4,-103180.0,8521.88,
20151231,9920.0,150.0,17980.0,34775.0,-3010.0,11512.5,4450.0,14045.6,-103180.0,8521.88,
20160129,15750.0,-500.0,13020.0,33143.75,-3010.0,11512.5,4450.0,13296.0,-103180.0,9240.62,
20160229,15750.0,-5268.75,17510.0,30700.0,-3010.0,11512.5,4450.0,12097.6,-107790.0,10537.5,
20160331,15750.0,-4418.75,19740.0,27375.0,-3010.0,12200.0,4450.0,10564.0,-105060.0,10412.5,
20160429,16370.0,-3756.25,19740.0,25025.0,-3010.0,17675.0,4450.0,9668.8,-97680.0,9218.75,
20160531,18870.0,-6843.75,19740.0,22206.25,-3010.0,20012.5,4450.0,9668.8,-97680.0,9218.75,
20160630,17570.0,-7100.0,21600.0,23912.5,810.0,20012.5,3230.0,11964.8,-93725.0,10578.12,
