Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,0,1,0,0,0,0,0,1,0,1,499276.0
20100105,0,1,0,0,0,0,0,1,0,1,499164.0
20100106,0,1,0,0,0,0,0,1,0,1,499748.0
20100107,0,1,0,0,0,0,0,1,0,1,500664.0
20100108,0,1,0,0,0,0,0,1,0,1,498650.0
20100111,0,1,0,0,0,0,0,1,0,1,496551.0
20100112,0,1,0,0,0,0,0,1,0,1,496816.0
20100113,0,1,0,0,0,0,0,1,0,1,497649.0
20100114,0,1,0,0,0,0,0,1,0,1,497076.0
20100115,0,1,0,0,0,0,0,1,0,1,497851.0
20100119,0,1,0,0,0,0,0,1,0,0,500468.0
20100120,0,1,0,0,0,0,1,1,0,0,503008.0
20100121,0,1,0,0,0,0,1,1,0,0,503196.0
20100122,0,1,0,0,0,0,1,1,0,0,501814.0
20100125,0,1,0,0,0,0,1,1,0,0,502094.0
20100126,0,1,0,0,0,0,1,1,0,0,501926.0
20100127,0,1,0,0,0,0,1,1,0,0,501423.0
20100128,0,1,0,1,0,0,1,1,0,0,503342.0
20100129,0,1,0,1,0,1,1,1,1,0,507274.0
20100201,0,1,0,1,0,1,1,1,1,0,502139.0
20100202,0,1,0,1,0,1,0,1,1,0,499610.0
20100203,0,1,0,1,0,1,0,1,1,0,503341.0
20100204,0,1,0,1,0,1,0,1,1,0,509529.0
20100205,0,0,0,1,0,1,0,1,1,0,511364.0
20100208,1,0,0,1,0,1,0,1,1,0,509367.0
20100209,1,0,0,1,0,1,0,1,1,0,506627.0
20100210,1,0,0,1,0,1,0,1,1,0,504726.0
20100211,1,0,0,1,0,1,0,1,1,0,503294.0
20100212,1,0,0,1,0,1,0,1,1,0,504165.0
20100216,1,0,0,1,0,1,0,1,1,0,496933.0
20100217,1,0,0,1,0,1,0,1,1,0,496324.0
20100218,1,0,0,1,0,1,0,1,1,0,494695.0
20100219,0,0,0,1,0,1,0,1,1,0,493696.0
20100222,0,0,0,1,0,1,0,1,1,0,493696.0
20100223,0,0,0,1,0,1,0,0,1,0,495899.0
20100224,0,0,0,1,0,1,0,0,1,0,495264.0
20100225,0,0,0,1,0,1,0,0,1,0,496258.0
20100226,0,0,0,1,0,1,1,0,1,0,493498.0
20100301,0,0,0,1,0,1,1,0,1,0,493496.0
20100302,0,0,0,1,0,1,1,0,1,0,490135.0
20100303,0,0,0,1,0,1,1,0,1,0,489285.0
20100304,0,0,0,1,0,1,1,0,0,0,491623.0
20100305,0,0,0,1,0,1,1,0,0,0,491350.0
20100308,0,0,0,1,0,1,1,0,0,0,490665.0
20100309,0,0,0,1,0,1,1,0,0,0,489961.0
20100310,0,0,0,1,0,1,1,0,0,0,489496.0
