-----------------------------------------
Sys Name : Boll-10KLimitOTE_1R
Mkt Symb : CL Mkt Name : Crude
20100208   SimpleSell  1 117.33000       0.00       0.00
20100219        Sxit1  1 123.62000   -6390.00   -6390.00
20100406    SimpleBuy  1 131.19000       0.00       0.00
20100423         Lxit  1 126.77000   -4520.00  -10910.00
20100507   SimpleSell  1 119.97000       0.00       0.00
20100608   OTE - Sxit  1 110.89000    8980.00   -1930.00
20101007    SimpleBuy  1 119.93000       0.00       0.00
20101118         Lxit  1 116.38000   -3650.00   -5580.00
20101206    SimpleBuy  1 124.78000       0.00       0.00
20110125         Lxit  1 121.41000   -3470.00   -9050.00
20110223    SimpleBuy  1 125.88000       0.00       0.00
20110303   OTE - Lxit  1 132.59000    6610.00   -2440.00
20110616   SimpleSell  1 123.69000       0.00       0.00
20110805   OTE - Sxit  1 114.19000    9400.00    6960.00
20111115    SimpleBuy  1 125.19000       0.00       0.00
20120203         Lxit  1 123.36000   -1930.00    5030.00
20120222    SimpleBuy  1 132.40000       0.00       0.00
20120330         Lxit  1 129.16000   -3340.00    1690.00
20120507   SimpleSell  1 123.47000       0.00       0.00
20120517   OTE - Sxit  1 118.19000    5180.00    6870.00
20121024   SimpleSell  1 110.00000       0.00       0.00
20121227        Sxit1  1 113.50000   -3600.00    3270.00
20130118    SimpleBuy  1 117.70000       0.00       0.00
20130226         Lxit  1 113.42000   -4380.00   -1110.00
20130416   SimpleSell  1 108.55000       0.00       0.00
20130430        Sxit1  1 115.26000   -6810.00   -7920.00
20130703    SimpleBuy  1 119.89000       0.00       0.00
20130802   OTE - Lxit  1 128.21000    8220.00     300.00
20131023   SimpleSell  1 119.07000       0.00       0.00
20131230        Sxit1  1 120.16000   -1190.00    -890.00
20140219    SimpleBuy  1 122.77000       0.00       0.00
20140318         Lxit  1 118.17000   -4700.00   -5590.00
20140522    SimpleBuy  1 126.17000       0.00       0.00
20140711         Lxit  1 125.67000    -600.00   -6190.00
20140815   SimpleSell  1 119.49000       0.00       0.00
20141009   OTE - Sxit  1 114.97000    4420.00   -1770.00
20150430    SimpleBuy  1  81.64000       0.00       0.00
20150702         Lxit  1  78.59000   -3150.00   -4920.00
20150720   SimpleSell  1  72.51000       0.00       0.00
20150819   OTE - Sxit  1  63.73000    8680.00    3760.00
20151116   SimpleSell  1  60.93000       0.00       0.00
20160112   OTE - Sxit  1  48.84000   11990.00   15750.00
20160428    SimpleBuy  1  57.09000       0.00       0.00
20160707         Lxit  1  58.46000    1270.00   17020.00
20160729   SimpleSell  1  51.00000       0.00       0.00
20160819        Sxit1  1  58.10000   -7200.00    9820.00
20161213    SimpleBuy  1  60.09000       0.00       0.00
20170208         Lxit  1  57.37000   -2820.00    7000.00
20170313   SimpleSell  1  53.79000       0.00       0.00
20170410        Sxit1  1  57.16000   -3470.00    3530.00
20170503   SimpleSell  1  52.51000       0.00       0.00
20170524        Sxit1  1  55.49000   -3080.00     450.00
20170609   SimpleSell  1  49.76000       0.00       0.00
20170726        Sxit1  1  52.13000   -2470.00   -2020.00
20170926    SimpleBuy  1  55.04000       0.00       0.00
20171212   OTE - Lxit  1  60.52000    5380.00    3360.00
20180412    SimpleBuy  1  69.37000       0.00       0.00
20180510   OTE - Lxit  1  73.86000    4390.00    7750.00
20180628    SimpleBuy  1  75.03000       0.00       0.00
20180717         Lxit  1  70.79000   -4340.00    3410.00
20181001    SimpleBuy  1  77.78000       0.00       0.00
20181018         Lxit  1  74.48000   -3400.00      10.00
20181102   SimpleSell  1  68.04000       0.00       0.00
20181121   OTE - Sxit  1  57.74000   10200.00   10210.00
20190403    SimpleBuy  1  65.79000       0.00       0.00
20190425   OTE - Lxit  1  68.85000    2960.00   13170.00
20190603   SimpleSell  1  56.27000       0.00       0.00
20190702        Sxit1  1  61.75000   -5580.00    7590.00
20190917    SimpleBuy  1  64.48000       0.00       0.00
20190926         Lxit  1  59.45000   -5130.00    2460.00
20191004   SimpleSell  1  55.05000       0.00       0.00
20191024        Sxit1  1  58.56000   -3610.00   -1150.00
20191209    SimpleBuy  1  61.66000       0.00       0.00
20200123         Lxit  1  58.72000   -3040.00   -4190.00
20200131   SimpleSell  1  55.53000       0.00       0.00
20200302   OTE - Sxit  1  46.04000    9390.00    5200.00
20201005   SimpleSell  1  32.04000       0.00       0.00
20201009        Sxit1  1  36.35000   -4410.00     790.00
20201029   SimpleSell  1  32.15000       0.00       0.00
20201110        Sxit1  1  34.67000   -2620.00   -1830.00
20201127    SimpleBuy  1  40.44000       0.00       0.00
20210115   OTE - Lxit  1  48.05000    7510.00    5680.00
20210928    SimpleBuy  1  70.62000       0.00       0.00
20211027   OTE - Lxit  1  80.13000    9410.00   15090.00
20220119    SimpleBuy  1  83.38000       0.00       0.00
20220214   OTE - Lxit  1  91.40000    7920.00   23010.00
-----------------------------------------
Sys Name : Boll-10KLimitOTE_1R
Mkt Symb : EC Mkt Name : EuroCur
20100104   SimpleSell  1   1.57815       0.00       0.00
20100205   OTE - Sxit  1   1.51865    7337.50    7337.50
20100923    SimpleBuy  1   1.48525       0.00       0.00
20101004   OTE - Lxit  1   1.52405    4750.00   12087.50
20110304    SimpleBuy  1   1.54285       0.00       0.00
20110415   OTE - Lxit  1   1.59545    6475.00   18562.50
20110713   SimpleSell  1   1.54665       0.00       0.00
20110722        Sxit1  1   1.59185   -5750.00   12812.50
20110907   SimpleSell  1   1.55245       0.00       0.00
20110926   OTE - Sxit  1   1.50255    6137.50   18950.00
20111214   SimpleSell  1   1.45605       0.00       0.00
20120210        Sxit1  1   1.48015   -3112.50   15837.50
20120510   SimpleSell  1   1.44395       0.00       0.00
20120525   OTE - Sxit  1   1.40415    4875.00   20712.50
20120910    SimpleBuy  1   1.42955       0.00       0.00
20121112         Lxit  1   1.41945   -1362.50   19350.00
20121219    SimpleBuy  1   1.46975       0.00       0.00
20130225         Lxit  1   1.46575    -600.00   18750.00
20130328   SimpleSell  1   1.42355       0.00       0.00
20130417        Sxit1  1   1.46295   -5025.00   13725.00
20130612    SimpleBuy  1   1.47685       0.00       0.00
20130627         Lxit  1   1.44595   -3962.50    9762.50
20130919    SimpleBuy  1   1.49545       0.00       0.00
20131108         Lxit  1   1.48585   -1300.00    8462.50
20131230    SimpleBuy  1   1.52025       0.00       0.00
20140106         Lxit  1   1.50395   -2137.50    6325.00
20140307    SimpleBuy  1   1.53035       0.00       0.00
20140331         Lxit  1   1.51975   -1425.00    4900.00
20140509    SimpleBuy  1   1.52855       0.00       0.00
20140512         Lxit  1   1.52015   -1150.00    3750.00
20140604   SimpleSell  1   1.50725       0.00       0.00
20140912   OTE - Sxit  1   1.43675    8712.50   12462.50
20150825    SimpleBuy  1   1.29895       0.00       0.00
20150904         Lxit  1   1.25245   -5912.50    6550.00
20151015    SimpleBuy  1   1.28785       0.00       0.00
20151023         Lxit  1   1.24995   -4837.50    1712.50
20151109   SimpleSell  1   1.21215       0.00       0.00
20160119        Sxit1  1   1.22905   -2212.50    -500.00
20160210    SimpleBuy  1   1.26570       0.00       0.00
20160229         Lxit  1   1.22835   -4768.75   -5268.75
20160318    SimpleBuy  1   1.26720       0.00       0.00
20160519         Lxit  1   1.25540   -1575.00   -6843.75
20160627   SimpleSell  1   1.23765       0.00       0.00
20160817        Sxit1  1   1.25795   -2637.50   -9481.25
20161013   SimpleSell  1   1.22830       0.00       0.00
20161110        Sxit1  1   1.21880    1087.50   -8393.75
20161111   SimpleSell  1   1.21450       0.00       0.00
20161216   OTE - Sxit  1   1.16715    5818.75   -2575.00
20170328    SimpleBuy  1   1.20600       0.00       0.00
20170403         Lxit  1   1.18515   -2706.25   -5281.25
20170425    SimpleBuy  1   1.20485       0.00       0.00
20170607   OTE - Lxit  1   1.24375    4762.50    -518.75
20171107   SimpleSell  1   1.26770       0.00       0.00
20171116        Sxit1  1   1.28430   -2175.00   -2693.75
20180103    SimpleBuy  1   1.30750       0.00       0.00
20180406         Lxit  1   1.31840    1262.50   -1431.25
20180427   SimpleSell  1   1.30270       0.00       0.00
20180615   OTE - Sxit  1   1.24500    7112.50    5681.25
20181004   SimpleSell  1   1.22605       0.00       0.00
20190110        Sxit1  1   1.22335     237.50    5918.75
20190212   SimpleSell  1   1.19290       0.00       0.00
20190321        Sxit1  1   1.20440   -1537.50    4381.25
20190328   SimpleSell  1   1.18605       0.00       0.00
20190607        Sxit1  1   1.18195     412.50    4793.75
20190724   SimpleSell  1   1.16545       0.00       0.00
20191021        Sxit1  1   1.15770     868.75    5662.50
20191231    SimpleBuy  1   1.15665       0.00       0.00
20200109         Lxit  1   1.14630   -1393.75    4268.75
20200127   SimpleSell  1   1.13725       0.00       0.00
20200225   OTE - Sxit  1   1.11770    2343.75    6612.50
20200309    SimpleBuy  1   1.16600       0.00       0.00
20200313         Lxit  1   1.14755   -2406.25    4206.25
20200319   SimpleSell  1   1.12405       0.00       0.00
20200330        Sxit1  1   1.14335   -2512.50    1693.75
20200605    SimpleBuy  1   1.16070       0.00       0.00
20200831   OTE - Lxit  1   1.21590    6800.00    8493.75
20201201    SimpleBuy  1   1.21540       0.00       0.00
20201231   OTE - Lxit  1   1.25110    4362.50   12856.25
20210309   SimpleSell  1   1.20405       0.00       0.00
20210421        Sxit1  1   1.22180   -2318.75   10537.50
20210930   SimpleSell  1   1.17375       0.00       0.00
20220114        Sxit1  1   1.15660    2043.75   12581.25
20220131   SimpleSell  1   1.12535       0.00       0.00
20220204        Sxit1  1   1.15470   -3768.75    8812.50
20220225   SimpleSell  1   1.12980       0.00       0.00
20220331   Sx-EOFData  1   1.11590    1637.50   10450.00
-----------------------------------------
Sys Name : Boll-10KLimitOTE_1R
Mkt Symb : GC Mkt Name : Gold
20100408    SimpleBuy  1 1386.60000       0.00       0.00
20100507   OTE - Lxit  1 1444.80000    5720.00    5720.00
20100915    SimpleBuy  1 1501.80000       0.00       0.00
20101006   OTE - Lxit  1 1572.90000    7010.00   12730.00
20110128   SimpleSell  1 1544.10000       0.00       0.00
20110216        Sxit1  1 1603.40000   -6030.00    6700.00
20110302    SimpleBuy  1 1664.00000       0.00       0.00
20110316         Lxit  1 1623.90000   -4110.00    2590.00
20110325    SimpleBuy  1 1662.60000       0.00       0.00
20110429   OTE - Lxit  1 1763.30000    9970.00   12560.00
20110714    SimpleBuy  1 1811.20000       0.00       0.00
20110803   OTE - Lxit  1 1886.70000    7450.00   20010.00
20111215   SimpleSell  1 1798.70000       0.00       0.00
20120124        Sxit1  1 1895.80000   -9810.00   10200.00
20120509   SimpleSell  1 1818.50000       0.00       0.00
20120515   OTE - Sxit  1 1769.80000    4770.00   14970.00
20120823    SimpleBuy  1 1860.10000       0.00       0.00
20120914   OTE - Lxit  1 1975.00000   11390.00   26360.00
20121219   SimpleSell  1 1874.80000       0.00       0.00
20130219   OTE - Sxit  1 1810.70000    6310.00   32670.00
20131121   SimpleSell  1 1439.60000       0.00       0.00
20140127        Sxit1  1 1467.80000   -2920.00   29750.00
20140225    SimpleBuy  1 1534.40000       0.00       0.00
20140416         Lxit  1 1501.20000   -3420.00   26330.00
20140602   SimpleSell  1 1448.30000       0.00       0.00
20140620        Sxit1  1 1518.10000   -7080.00   19250.00
20140711    SimpleBuy  1 1534.30000       0.00       0.00
20140716         Lxit  1 1492.90000   -4240.00   15010.00
20140912   SimpleSell  1 1436.20000       0.00       0.00
20141105   OTE - Sxit  1 1363.70000    7150.00   22160.00
20150116    SimpleBuy  1 1458.10000       0.00       0.00
20150212         Lxit  1 1411.70000   -4740.00   17420.00
20150708   SimpleSell  1 1345.60000       0.00       0.00
20150724   OTE - Sxit  1 1281.10000    6350.00   23770.00
20151015    SimpleBuy  1 1375.10000       0.00       0.00
20151104         Lxit  1 1308.50000   -6760.00   17010.00
20151118   SimpleSell  1 1261.30000       0.00       0.00
20160108        Sxit1  1 1300.20000   -3990.00   13020.00
20160209    SimpleBuy  1 1380.50000       0.00       0.00
20160318   OTE - Lxit  1 1448.70000    6720.00   19740.00
20160616    SimpleBuy  1 1481.80000       0.00       0.00
20160627         Lxit  1 1509.10000    2630.00   22370.00
20160628    SimpleBuy  1 1515.10000       0.00       0.00
20160831         Lxit  1 1494.00000   -2210.00   20160.00
20161005   SimpleSell  1 1449.80000       0.00       0.00
20161110        Sxit1  1 1457.70000    -890.00   19270.00
20161114   SimpleSell  1 1407.00000       0.00       0.00
20161130   OTE - Sxit  1 1367.40000    3860.00   23130.00
20170418    SimpleBuy  1 1457.50000       0.00       0.00
20170504         Lxit  1 1409.30000   -4920.00   18210.00
20170607    SimpleBuy  1 1464.50000       0.00       0.00
20170616         Lxit  1 1423.10000   -4240.00   13970.00
20170710   SimpleSell  1 1379.60000       0.00       0.00
20170724        Sxit1  1 1423.00000   -4440.00    9530.00
20170821    SimpleBuy  1 1450.40000       0.00       0.00
20171002         Lxit  1 1443.50000    -790.00    8740.00
20171208   SimpleSell  1 1406.30000       0.00       0.00
20171228        Sxit1  1 1448.80000   -4350.00    4390.00
20180111    SimpleBuy  1 1474.30000       0.00       0.00
20180126   OTE - Lxit  1 1503.20000    2790.00    7180.00
20180501   SimpleSell  1 1461.80000       0.00       0.00
20180703   OTE - Sxit  1 1383.40000    7740.00   14920.00
20181207    SimpleBuy  1 1367.50000       0.00       0.00
20190103   OTE - Lxit  1 1412.90000    4440.00   19360.00
20190418   SimpleSell  1 1388.00000       0.00       0.00
20190603        Sxit1  1 1418.90000   -3190.00   16170.00
20190606    SimpleBuy  1 1442.50000       0.00       0.00
20190705   OTE - Lxit  1 1528.00000    8450.00   24620.00
20191126   SimpleSell  1 1548.60000       0.00       0.00
20191226        Sxit1  1 1590.30000   -4270.00   20350.00
20200106    SimpleBuy  1 1649.10000       0.00       0.00
20200219   OTE - Lxit  1 1685.60000    3550.00   23900.00
20200325    SimpleBuy  1 1747.00000       0.00       0.00
20200402         Lxit  1 1674.10000   -7390.00   16510.00
20200407    SimpleBuy  1 1778.80000       0.00       0.00
20200415   OTE - Lxit  1 1829.80000    5000.00   21510.00
20200722    SimpleBuy  1 1891.90000       0.00       0.00
20200728   OTE - Lxit  1 1986.20000    9330.00   30840.00
20201124   SimpleSell  1 1865.50000       0.00       0.00
20201218        Sxit1  1 1914.80000   -5030.00   25810.00
20210120   SimpleSell  1 1863.40000       0.00       0.00
20210217   OTE - Sxit  1 1812.70000    4970.00   30780.00
20210519    SimpleBuy  1 1887.40000       0.00       0.00
20210618         Lxit  1 1788.60000   -9980.00   20800.00
20210810   SimpleSell  1 1742.50000       0.00       0.00
20210831        Sxit1  1 1822.70000   -8120.00   12680.00
20210930   SimpleSell  1 1736.50000       0.00       0.00
20211014        Sxit1  1 1804.10000   -6860.00    5820.00
20211111    SimpleBuy  1 1862.00000       0.00       0.00
20211124         Lxit  1 1800.30000   -6270.00    -450.00
20220214    SimpleBuy  1 1867.80000       0.00       0.00
