C_,
20100129,287.5,
20100226,-787.5,
20100331,1412.5,
20100430,325.0,
20100528,562.5,
20100630,-887.5,
20100730,-2937.5,
20100831,-1275.0,
20100930,1550.0,
20101029,5862.5,
20101130,3212.5,
20101231,7462.5,
20110131,8987.5,
20110228,12062.5,
20110331,6912.5,
20110429,6512.5,
20110531,4012.5,
20110630,1850.0,
20110729,-937.5,
20110831,-937.5,
20110930,2087.5,
20111031,-637.5,
20111130,1687.5,
20111230,-12.5,
20120131,-12.5,
20120229,-12.5,
20120330,-12.5,
20120430,-2550.0,
20120531,-3112.5,
20120629,-5012.5,
20120731,3887.5,
20120831,3250.0,
20120928,-587.5,
20121031,-587.5,
20121130,-587.5,
20121231,-300.0,
20130131,-1887.5,
20130228,-1887.5,
20130329,-1887.5,
20130430,-3075.0,
20130531,-3700.0,
20130628,-3700.0,
20130731,-3225.0,
20130830,-3050.0,
20130930,-1025.0,
20131031,-362.5,
20131129,137.5,
20131231,262.5,
20140131,-300.0,
20140228,462.5,
20140331,2387.5,
20140430,2950.0,
20140530,1125.0,
20140630,2375.0,
20140731,5462.5,
20140829,5525.0,
20140930,7725.0,
20141031,6062.5,
20141128,6062.5,
20141231,5537.5,
20150130,4725.0,
20150227,4725.0,
20150331,3650.0,
20150430,3725.0,
20150529,4462.5,
20150630,3137.5,
20150731,712.5,
20150831,712.5,
20150930,712.5,
20151030,712.5,
20151130,475.0,
20151231,1150.0,
20160129,487.5,
20160229,387.5,
20160331,-325.0,
20160429,-912.5,
20160531,-1300.0,
20160630,-2262.5,
20160729,-1450.0,
20160831,-62.5,
20160930,-1125.0,
20161031,-1637.5,
20161130,-1637.5,
20161230,-1637.5,
20170131,-2287.5,
20170228,-2375.0,
20170331,-2800.0,
20170428,-2800.0,
20170531,-2800.0,
20170630,-3875.0,
20170731,-5212.5,
20170831,-4125.0,
20170929,-4000.0,
20171031,-3525.0,
20171130,-3375.0,
20171229,-3125.0,
20180131,-3487.5,
20180228,-3037.5,
20180329,-2750.0,
20180430,-2562.5,
20180531,-3025.0,
20180629,-1612.5,
20180731,-2250.0,
20180831,-1125.0,
20180928,-687.5,
20181031,-1400.0,
20181130,-1400.0,
20181231,-1400.0,
20190131,-1400.0,
20190228,-1212.5,
20190329,-500.0,
20190430,-312.5,
20190531,225.0,
20190628,-162.5,
20190731,-1387.5,
20190830,-1412.5,
20190930,-1412.5,
20191031,-1412.5,
20191129,-1412.5,
20191231,-1412.5,
20200131,-1412.5,
20200228,-975.0,
20200331,-162.5,
20200430,1262.5,
20200529,975.0,
20200630,350.0,
20200731,287.5,
20200831,-587.5,
20200930,550.0,
20201030,1525.0,
20201130,2562.5,
20201231,5462.5,
20210129,8612.5,
20210226,8700.0,
20210331,9537.5,
20210430,17037.5,
20210528,16212.5,
20210630,18650.0,
20210730,16287.5,
20210831,16287.5,
20210930,15687.5,
20211029,15587.5,
20211130,14762.5,
20211231,16050.0,
20220131,17687.5,
20220228,21050.0,
20220331,23950.0,
