Date,C_,
20100104,0,500000
20100105,0,500000
20100106,0,500000
20100107,0,500000
20100108,0,500000
20100111,0,500000
20100112,0,500000
20100113,0,500000
20100114,0,500000
20100115,0,500000
20100119,0,500000
20100120,0,500000
20100121,0,500000
20100122,0,500000
20100125,0,500000
20100126,0,500000
20100127,1,500200.0
20100128,1,500025.0
20100129,1,500288.0
20100201,1,500162.0
20100202,1,499862.0
20100203,1,500462.0
20100204,1,500412.0
20100205,1,500538.0
20100208,1,500312.0
20100209,1,500188.0
20100210,1,500025.0
20100211,1,499950.0
20100212,1,500038.0
20100216,1,499750.0
20100217,1,500112.0
20100218,1,500250.0
20100219,1,500112.0
20100222,1,499538.0
20100223,1,499725.0
20100224,1,499350.0
20100225,1,499500.0
20100226,1,499212.0
20100301,1,499575.0
20100302,1,499588.0
20100303,1,499325.0
20100304,1,499512.0
20100305,1,499888.0
20100308,1,499912.0
20100309,1,500212.0
20100310,1,500388.0
20100311,1,500400.0
20100312,1,500450.0
20100315,1,500500.0
20100316,1,500325.0
20100317,1,499962.0
20100318,1,499862.0
20100319,1,499938.0
20100322,1,500125.0
20100323,1,500525.0
20100324,1,500412.0
20100325,1,500912.0
20100326,1,500850.0
20100329,1,500812.0
20100330,1,500938.0
20100331,1,501412.0
20100401,1,501438.0
20100405,1,501375.0
20100406,1,501338.0
20100407,1,500838.0
20100408,1,501250.0
20100409,1,501375.0
20100412,1,501250.0
20100413,1,501038.0
20100414,1,500762.0
20100415,1,500500.0
20100416,1,500462.0
20100419,1,501275.0
20100420,1,500888.0
20100421,1,500700.0
20100422,1,500550.0
20100423,1,501012.0
20100426,1,501050.0
20100427,1,501288.0
20100428,1,500812.0
20100429,1,500638.0
20100430,1,500325.0
20100503,1,500512.0
20100504,1,500638.0
20100505,1,500438.0
20100506,1,500525.0
20100507,0,500562.0
20100510,0,500562.0
20100511,0,500562.0
20100512,0,500562.0
20100513,0,500562.0
20100514,0,500562.0
20100517,0,500562.0
20100518,0,500562.0
20100519,0,500562.0
20100520,0,500562.0
20100521,0,500562.0
20100524,0,500562.0
20100525,0,500562.0
20100526,0,500562.0
20100527,0,500562.0
20100528,0,500562.0
20100601,0,500562.0
20100602,0,500562.0
20100603,1,500538.0
20100604,1,501012.0
20100607,1,501225.0
20100608,1,501150.0
20100609,1,501100.0
20100610,1,500850.0
20100611,1,500538.0
20100614,1,500325.0
20100615,1,500325.0
20100616,1,500200.0
20100617,1,500138.0
20100618,1,499975.0
20100621,1,500262.0
20100622,0,500162.0
20100623,0,500162.0
20100624,0,500162.0
20100625,0,500162.0
20100628,0,500162.0
20100629,1,500588.0
20100630,1,499112.0
20100701,1,498588.0
20100702,0,498550.0
20100706,0,498550.0
20100707,0,498550.0
20100708,0,498550.0
20100709,0,498550.0
20100712,0,498550.0
20100713,0,498550.0
20100714,0,498550.0
20100715,0,498550.0
20100716,1,498725.0
20100719,1,498062.0
20100720,1,497688.0
20100721,1,497975.0
20100722,1,497812.0
20100723,1,497550.0
20100726,1,497188.0
20100727,0,497062.0
20100728,0,497062.0
20100729,0,497062.0
20100730,0,497062.0
20100802,0,497062.0
20100803,1,497038.0
20100804,1,497575.0
20100805,1,497738.0
20100806,1,497812.0
20100809,1,497712.0
20100810,1,497238.0
20100811,1,497338.0
20100812,1,497875.0
20100813,1,498150.0
20100816,1,497925.0
20100817,1,498300.0
20100818,1,498488.0
20100819,1,498275.0
20100820,1,498625.0
20100823,1,498425.0
20100824,1,497825.0
20100825,1,497800.0
20100826,1,498388.0
20100827,1,498612.0
20100830,1,498838.0
20100831,1,498725.0
20100901,1,499100.0
20100902,1,499138.0
20100903,1,499988.0
20100907,1,500075.0
20100908,1,499888.0
20100909,1,500300.0
20100910,1,500675.0
20100913,1,500938.0
20100914,1,501512.0
20100915,1,501525.0
20100916,1,501562.0
20100917,1,502425.0
20100920,1,502175.0
20100921,1,502025.0
20100922,1,502012.0
20100923,1,501725.0
20100924,1,502850.0
20100927,1,502400.0
20100928,1,501762.0
20100929,1,502012.0
20100930,1,501550.0
20101001,1,500050.0
20101004,1,500338.0
20101005,1,501312.0
20101006,1,501188.0
20101007,1,501675.0
20101008,1,503175.0
20101011,1,504550.0
20101012,1,505712.0
20101013,1,505225.0
20101014,1,505125.0
20101015,1,504912.0
20101018,1,504625.0
20101019,1,504062.0
20101020,1,505438.0
20101021,1,504975.0
20101022,1,504762.0
20101025,1,505200.0
20101026,1,505312.0
20101027,1,505625.0
20101028,1,505712.0
20101029,1,505862.0
20101101,1,505625.0
