CT,
20100129,0,
20100226,-5.0,
20100331,-960.0,
20100430,35.0,
20100528,-1405.0,
20100630,-4175.0,
20100730,-6330.0,
20100831,-5080.0,
20100930,2780.0,
20101029,14450.0,
20101130,13490.0,
20101231,27225.0,
20110131,39040.0,
20110228,51930.0,
20110331,56430.0,
20110429,45235.0,
20110531,45235.0,
20110630,45235.0,
20110729,42820.0,
20110831,40800.0,
20110930,36755.0,
20111031,36755.0,
20111130,36680.0,
20111230,36235.0,
20120131,34340.0,
20120229,34340.0,
20120330,34340.0,
20120430,34340.0,
20120531,39315.0,
20120629,35680.0,
20120731,35675.0,
20120831,34350.0,
20120928,34350.0,
20121031,31390.0,
20121130,31390.0,
20121231,31390.0,
20130131,34230.0,
20130228,34515.0,
20130328,36100.0,
20130430,33395.0,
20130531,34465.0,
20130628,30645.0,
20130731,30645.0,
20130830,28070.0,
20130930,28070.0,
20131031,29085.0,
20131129,28470.0,
20131231,26920.0,
20140131,26920.0,
20140228,26075.0,
20140331,29265.0,
20140430,28965.0,
20140530,27485.0,
20140630,29250.0,
20140731,34570.0,
20140829,32720.0,
20140930,35320.0,
20141031,33235.0,
20141128,32990.0,
20141231,32100.0,
20150130,31120.0,
20150227,29775.0,
20150331,27735.0,
20150430,26435.0,
20150529,24480.0,
20150630,24480.0,
20150731,24480.0,
20150831,22735.0,
20150930,22750.0,
20151030,20940.0,
20151130,20940.0,
20151231,20940.0,
20160129,20805.0,
20160229,22990.0,
20160331,22020.0,
20160429,20720.0,
20160531,20805.0,
20160630,20485.0,
20160729,25420.0,
20160831,22755.0,
20160930,22755.0,
20161031,22755.0,
20161130,22755.0,
20161230,22755.0,
20170131,23140.0,
20170228,23025.0,
20170331,23520.0,
20170428,22470.0,
20170531,19535.0,
20170630,21200.0,
20170731,21065.0,
20170831,20000.0,
20170929,20000.0,
20171031,20000.0,
20171130,19740.0,
20171229,22650.0,
20180131,21975.0,
20180228,24115.0,
20180329,23380.0,
20180430,22300.0,
20180531,25425.0,
20180629,20445.0,
20180731,20445.0,
20180831,20445.0,
20180928,21620.0,
20181031,21375.0,
20181130,21330.0,
20181231,22315.0,
20190131,21215.0,
20190228,22795.0,
20190329,21255.0,
20190430,21255.0,
20190531,23315.0,
20190628,24220.0,
20190731,25340.0,
20190830,27845.0,
20190930,25875.0,
20191031,25875.0,
20191129,25875.0,
20191231,26025.0,
20200131,25250.0,
20200228,25330.0,
20200331,30510.0,
20200430,27745.0,
20200529,27080.0,
20200630,27080.0,
20200731,26910.0,
20200831,28160.0,
20200930,28475.0,
20201030,30040.0,
20201130,30685.0,
20201231,33670.0,
20210129,34930.0,
20210226,38330.0,
20210331,35015.0,
20210430,35015.0,
20210528,35015.0,
20210630,35015.0,
20210730,35015.0,
20210831,34630.0,
20210930,36740.0,
20211029,41265.0,
20211130,38350.0,
20211231,41445.0,
20220131,48930.0,
20220228,45865.0,
20220331,54150.0,
