Date,CT,
20100104,0,100000
20100105,0,100000
20100106,0,100000
20100107,0,100000
20100108,0,100000
20100111,0,100000
20100112,0,100000
20100113,0,100000
20100114,0,100000
20100115,0,100000
20100119,0,100000
20100120,0,100000
20100121,0,100000
20100122,0,100000
20100125,0,100000
20100126,0,100000
20100127,0,100000
20100128,0,100000
20100129,0,100000
20100201,0,100000
20100202,1,99495.0
20100203,1,99215.0
20100204,1,99630.0
20100205,1,100815.0
20100208,1,99545.0
20100209,1,98045.0
20100210,1,97715.0
20100211,0,97615.0
20100212,0,97615.0
20100216,0,97615.0
20100217,0,97615.0
20100218,0,97615.0
20100219,1,98255.0
20100222,1,98615.0
20100223,1,98650.0
20100224,1,98345.0
20100225,1,99350.0
20100226,1,99995.0
20100301,1,100410.0
20100302,1,99690.0
20100303,1,100250.0
20100304,1,99675.0
20100305,1,99980.0
20100308,1,99785.0
20100309,1,98930.0
20100310,1,98870.0
20100311,1,98150.0
20100312,1,99000.0
20100315,1,99145.0
20100316,1,99685.0
20100317,1,99350.0
20100318,1,99870.0
20100319,1,99855.0
20100322,1,100010.0
20100323,1,100210.0
20100324,1,99470.0
20100325,1,98855.0
20100326,1,98610.0
20100329,1,98980.0
20100330,1,98535.0
20100331,1,99040.0
20100401,1,99515.0
20100405,1,99905.0
20100406,1,99910.0
20100407,1,99255.0
20100408,1,98065.0
20100409,1,97800.0
20100412,1,97830.0
20100413,1,98780.0
20100414,1,98515.0
20100415,1,99030.0
20100416,1,98765.0
20100419,1,98770.0
20100420,1,100270.0
20100421,1,100545.0
20100422,1,100380.0
20100423,1,101070.0
20100426,1,100915.0
20100427,1,100570.0
20100428,1,100420.0
20100429,1,99620.0
20100430,1,100035.0
20100503,1,99585.0
20100504,1,98615.0
20100505,1,99010.0
20100506,1,97895.0
20100507,1,98325.0
20100510,1,98490.0
20100511,1,98235.0
20100512,1,98155.0
20100513,1,98350.0
20100514,1,98330.0
20100517,1,98570.0
20100518,1,99070.0
20100519,1,99610.0
20100520,1,99015.0
20100521,1,99455.0
20100524,1,99095.0
20100525,1,99005.0
20100526,1,98890.0
20100527,1,98610.0
20100528,0,98595.0
20100601,0,98595.0
20100602,0,98595.0
20100603,0,98595.0
20100604,0,98595.0
20100607,1,98515.0
20100608,1,97965.0
20100609,1,96465.0
20100610,1,95870.0
20100611,0,95825.0
20100614,0,95825.0
20100615,0,95825.0
20100616,0,95825.0
20100617,0,95825.0
20100618,0,95825.0
20100621,0,95825.0
20100622,0,95825.0
20100623,0,95825.0
20100624,0,95825.0
20100625,0,95825.0
20100628,0,95825.0
20100629,0,95825.0
20100630,0,95825.0
20100701,0,95825.0
20100702,0,95825.0
20100706,0,95825.0
20100707,1,95770.0
20100708,1,96055.0
20100709,1,95555.0
20100712,1,96155.0
20100713,1,95725.0
20100714,1,96375.0
20100715,1,96315.0
20100716,1,96070.0
20100719,1,96240.0
20100720,1,96545.0
20100721,1,96085.0
20100722,1,95695.0
20100723,1,95380.0
20100726,1,94805.0
20100727,1,94700.0
20100728,1,94895.0
20100729,1,94595.0
20100730,1,93670.0
20100802,0,93570.0
20100803,0,93570.0
20100804,0,93570.0
20100805,0,93570.0
20100806,0,93570.0
20100809,0,93570.0
20100810,0,93570.0
20100811,0,93570.0
20100812,0,93570.0
20100813,1,93910.0
20100816,1,93830.0
20100817,1,93750.0
20100818,1,93455.0
20100819,1,93890.0
20100820,1,93595.0
20100823,1,93865.0
20100824,1,94430.0
20100825,1,94250.0
20100826,1,94895.0
20100827,1,94855.0
20100830,1,95035.0
20100831,1,94920.0
20100901,1,95525.0
20100902,1,96565.0
20100903,1,96545.0
20100907,1,97410.0
20100908,1,97100.0
20100909,1,97050.0
20100910,1,97465.0
20100913,1,98175.0
20100914,1,99070.0
20100915,1,98630.0
20100916,1,99700.0
20100917,1,100930.0
20100920,1,101505.0
20100921,1,102215.0
20100922,1,101630.0
20100923,1,100405.0
20100924,1,101785.0
20100927,1,103785.0
20100928,1,104440.0
20100929,1,102440.0
20100930,1,102780.0
20101001,1,100830.0
20101004,1,100735.0
20101005,1,101100.0
20101006,1,101695.0
20101007,1,103695.0
20101008,1,105405.0
20101011,1,107070.0
20101012,1,106610.0
20101013,1,107255.0
20101014,1,109255.0
20101015,1,106755.0
