EC,S_,US,
20100129,3112.5,0,-3881.25,
20100226,5937.5,-2162.5,-3881.25,
20100331,1837.5,-2162.5,-3881.25,
20100430,4512.5,-2162.5,-3100.0,
20100528,17350.0,-2162.5,993.75,
20100630,17762.5,-3262.5,5837.5,
20100730,14275.0,-750.0,7056.25,
20100831,14275.0,-1075.0,14743.75,
20100930,17150.0,3762.5,10143.75,
20101029,21062.5,9675.0,10143.75,
20101130,18862.5,8212.5,10143.75,
20101231,18862.5,10812.5,12268.75,
20110131,14000.0,11312.5,13768.75,
20110228,14000.0,8862.5,12887.5,
20110331,16087.5,8862.5,12887.5,
20110429,24612.5,8862.5,12887.5,
20110531,17150.0,8862.5,15418.75,
20110630,17150.0,8862.5,13943.75,
20110729,11625.0,8862.5,15193.75,
20110831,9950.0,5850.0,24350.0,
20110930,11912.5,5275.0,30943.75,
20111031,6112.5,3812.5,27625.0,
20111130,6112.5,8112.5,27625.0,
20111230,7125.0,6962.5,27625.0,
20120131,5312.5,6962.5,27625.0,
20120229,5312.5,9575.0,27625.0,
20120330,5312.5,13725.0,26656.25,
20120430,5312.5,19012.5,23931.25,
20120531,11100.0,12912.5,30462.5,
20120629,7525.0,12912.5,28712.5,
20120731,11962.5,24075.0,31775.0,
20120831,10750.0,29850.0,30425.0,
20120928,10725.0,24075.0,25831.25,
20121031,12037.5,24075.0,25893.75,
20121130,10175.0,24550.0,25043.75,
20121231,10600.0,21587.5,25043.75,
20130131,15225.0,17387.5,25356.25,
20130228,10312.5,17387.5,23006.25,
20130329,10750.0,17387.5,19500.0,
20130430,7512.5,17387.5,19593.75,
20130531,7512.5,20575.0,16587.5,
20130628,3075.0,20012.5,20775.0,
20130731,2475.0,19462.5,22556.25,
20130830,-162.5,22312.5,23306.25,
20130930,-37.5,19662.5,22956.25,
20131031,775.0,19662.5,22518.75,
20131129,-300.0,19662.5,19293.75,
20131231,1125.0,19662.5,19293.75,
20140131,-900.0,19662.5,19293.75,
20140228,-900.0,24787.5,18950.0,
20140331,-2500.0,27287.5,19106.25,
20140430,-2500.0,29912.5,20825.0,
20140530,-3650.0,26662.5,24106.25,
20140630,-4075.0,24750.0,23825.0,
20140731,-2425.0,28275.0,20631.25,
20140829,787.5,31162.5,24756.25,
20140930,7175.0,36312.5,21718.75,
20141031,8487.5,33887.5,22125.0,
20141128,9662.5,33887.5,21431.25,
20141231,13887.5,33887.5,20087.5,
20150130,24025.0,33887.5,26806.25,
20150227,25287.5,33887.5,22550.0,
20150331,30875.0,32950.0,22550.0,
20150430,26150.0,32812.5,22550.0,
20150529,26150.0,33225.0,19518.75,
20150630,26150.0,34675.0,24300.0,
20150731,26150.0,30712.5,22137.5,
20150831,21825.0,31062.5,17387.5,
20150930,20850.0,30837.5,17287.5,
20151030,19925.0,30762.5,17287.5,
20151130,21912.5,29525.0,17287.5,
20151231,17350.0,29025.0,17287.5,
20160129,17350.0,29025.0,19100.0,
20160229,17350.0,29025.0,23943.75,
20160331,17350.0,29087.5,21718.75,
20160429,18106.25,34562.5,21718.75,
20160531,15018.75,37000.0,21718.75,
20160630,15018.75,42150.0,27093.75,
20160729,15018.75,38137.5,29187.5,
20160831,15018.75,38137.5,25587.5,
20160930,15018.75,37550.0,25587.5,
20161031,15162.5,36337.5,27993.75,
20161130,18718.75,36437.5,38087.5,
20161230,19668.75,34987.5,38712.5,
20170131,17543.75,32812.5,36393.75,
20170228,17543.75,32087.5,36393.75,
20170331,17543.75,34725.0,31700.0,
20170428,17112.5,34737.5,33293.75,
20170531,21300.0,35137.5,31350.0,
20170630,20662.5,33512.5,30068.75,
20170731,25581.25,31287.5,30062.5,
20170831,26225.0,29437.5,30343.75,
20170929,25268.75,29437.5,28618.75,
20171031,25268.75,29437.5,27650.0,
20171130,25268.75,29437.5,25737.5,
20171229,25268.75,27025.0,25737.5,
20180131,27743.75,25987.5,27831.25,
20180228,24862.5,26625.0,31206.25,
20180329,24625.0,24862.5,29700.0,
20180430,24625.0,24862.5,29700.0,
20180531,28787.5,24862.5,24412.5,
20180629,29381.25,30587.5,24412.5,
20180731,29368.75,28637.5,21468.75,
20180831,29637.5,28837.5,21468.75,
20180928,29637.5,28362.5,21500.0,
20181031,30406.25,28362.5,23875.0,
20181130,30825.0,28362.5,22275.0,
20181231,29243.75,26637.5,22712.5,
20190131,27562.5,26637.5,21237.5,
20190228,28725.0,26637.5,21237.5,
20190329,28256.25,26825.0,22237.5,
20190430,28325.0,29012.5,18731.25,
20190531,29318.75,28037.5,22137.5,
20190628,28631.25,28037.5,24012.5,
20190731,29556.25,28037.5,21600.0,
20190830,31281.25,28037.5,30225.0,
20190930,32556.25,28037.5,25781.25,
20191031,29850.0,26975.0,25781.25,
20191129,29850.0,26087.5,25781.25,
20191231,29850.0,26087.5,25781.25,
20200131,27606.25,26462.5,25781.25,
20200228,28593.75,25912.5,33343.75,
20200331,14293.75,24937.5,42156.25,
20200430,15387.5,26850.0,44125.0,
20200529,15043.75,27575.0,42150.0,
20200630,15043.75,26112.5,42150.0,
20200731,19700.0,25400.0,43431.25,
20200831,21450.0,25987.5,40550.0,
20200930,20150.0,29487.5,40550.0,
20201030,20150.0,31412.5,40987.5,
20201130,20150.0,37025.0,39737.5,
20201231,21900.0,44050.0,41456.25,
20210129,20800.0,47000.0,45925.0,
20210226,20800.0,48587.5,53862.5,
20210331,21943.75,46712.5,58487.5,
20210430,18725.0,51187.5,55668.75,
20210528,18725.0,49775.0,55668.75,
20210630,18725.0,43362.5,56575.0,
20210730,18725.0,45850.0,60543.75,
20210831,18112.5,48687.5,58787.5,
20210930,18506.25,50512.5,58787.5,
20211029,17256.25,51312.5,58787.5,
20211130,20181.25,49862.5,58787.5,
20211231,19918.75,50087.5,53968.75,
20220131,18693.75,57650.0,54468.75,
20220228,15968.75,65162.5,55062.5,
20220331,16831.25,65425.0,55025.0,
