Date,EC,S_,US,
20100104,0,0,1,499906.0
20100105,0,0,1,498969.0
20100106,0,0,1,499688.0
20100107,0,0,1,499719.0
20100108,0,0,1,499531.0
20100111,0,0,1,499812.0
20100112,0,0,1,498188.0
20100113,0,0,1,499062.0
20100114,0,0,1,498219.0
20100115,0,0,1,497625.0
20100119,0,0,1,497844.0
20100120,0,0,1,497031.0
20100121,1,0,1,496725.0
20100122,1,0,0,495794.0
20100125,1,0,0,495581.0
20100126,1,0,0,496594.0
20100127,1,0,0,497194.0
20100128,1,0,0,497831.0
20100129,1,0,0,499231.0
20100201,1,0,0,498306.0
20100202,1,1,0,497181.0
20100203,1,1,0,498931.0
20100204,1,1,0,500794.0
20100205,1,1,0,501294.0
20100208,1,1,0,500981.0
20100209,1,1,0,499344.0
20100210,1,1,0,499444.0
20100211,1,1,0,499744.0
20100212,1,1,0,500519.0
20100216,1,1,0,497619.0
20100217,1,1,0,500394.0
20100218,1,1,0,501569.0
20100219,1,1,0,500681.0
20100222,1,1,0,499981.0
20100223,1,1,0,501556.0
20100224,1,0,0,501056.0
20100225,1,0,0,500919.0
20100226,1,0,0,499894.0
20100301,1,0,0,500794.0
20100302,1,0,0,500094.0
20100303,1,0,0,499069.0
20100304,1,0,0,500531.0
20100305,1,0,0,499994.0
20100308,1,0,0,499844.0
20100309,1,0,0,500269.0
20100310,1,0,0,499531.0
20100311,1,0,0,499319.0
20100312,1,0,0,498144.0
20100315,0,0,0,498144.0
20100316,0,0,0,498144.0
20100317,0,0,0,498144.0
20100318,0,0,0,498144.0
20100319,0,0,0,498144.0
20100322,0,0,0,498144.0
20100323,0,0,0,498144.0
20100324,0,0,0,498144.0
20100325,1,0,0,498819.0
20100326,1,0,0,497094.0
20100329,1,0,0,496206.0
20100330,1,0,0,497031.0
20100331,1,0,0,495794.0
20100401,1,0,0,494806.0
20100402,1,0,0,494806.0
20100405,1,0,0,496144.0
20100406,1,0,0,497231.0
20100407,1,0,0,497906.0
20100408,1,0,0,497669.0
20100409,1,0,0,495881.0
20100412,1,0,0,494806.0
20100413,1,0,0,494494.0
20100414,1,0,0,494056.0
20100415,1,0,0,495056.0
20100416,1,0,0,495956.0
20100419,1,0,0,496044.0
20100420,1,0,0,496794.0
20100421,1,0,0,497331.0
20100422,1,0,0,498519.0
20100423,1,0,0,497394.0
20100426,1,0,0,497444.0
20100427,1,0,0,499969.0
20100428,1,0,1,498644.0
20100429,1,0,1,499181.0
20100430,1,0,1,499250.0
20100503,1,0,1,500219.0
20100504,1,0,1,504075.0
20100505,1,0,1,506694.0
20100506,1,0,1,512019.0
20100507,1,0,1,508862.0
20100510,1,0,1,507431.0
20100511,1,0,1,508831.0
