CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100129,-8260.0,3112.5,0,0,0,0,-1030.0,2688.0,350.0,-2818.75,
20100226,-14650.0,5937.5,0,900.0,0,-2162.5,-2200.0,-1220.0,-1195.0,-2818.75,
20100331,-14650.0,1837.5,0,-1318.75,5940.0,-2162.5,-3670.0,2823.2,-3465.0,-2818.75,
20100430,-19210.0,4512.5,1440.0,-1318.75,1940.0,-2162.5,-2220.0,4536.8,-3465.0,-2600.0,
20100528,-18100.0,17350.0,4620.0,-1318.75,-2170.0,-2162.5,-3510.0,5612.0,-8155.0,181.25,
20100630,-21290.0,17762.5,7710.0,6087.5,-7980.0,-3262.5,-3510.0,3652.8,-13140.0,2853.12,
20100730,-21290.0,14275.0,2920.0,2893.75,-10110.0,-750.0,-3510.0,4974.4,-13140.0,4118.75,
20100831,-21290.0,14275.0,2920.0,-675.0,-9080.0,-1075.0,-3510.0,5176.0,-13140.0,6743.75,
20100930,-21290.0,17150.0,6860.0,-4406.25,-8360.0,3762.5,-3510.0,10563.2,-3885.0,5112.5,
20101029,-21290.0,21062.5,11660.0,-7168.75,-6530.0,9675.0,-2340.0,16880.0,9830.0,4075.0,
20101130,-26040.0,18862.5,14360.0,-9025.0,-8300.0,8212.5,-3960.0,13621.6,27845.0,756.25,
20101231,-24800.0,18862.5,17890.0,5712.5,-8300.0,10812.5,-3960.0,12759.2,41470.0,1928.12,
20110131,-27280.0,14000.0,10680.0,2500.0,-13360.0,11312.5,-2800.0,14831.2,28160.0,1281.25,
20110228,-25990.0,14000.0,6380.0,11743.75,-14630.0,8862.5,-4530.0,11180.8,38435.0,-390.62,
20110331,-17020.0,16087.5,6770.0,9937.5,-15960.0,8862.5,-4530.0,11180.8,58775.0,-1256.25,
20110429,-10370.0,24612.5,18420.0,10200.0,-15960.0,8862.5,-4530.0,13062.4,112225.0,-1256.25,
20110531,-24640.0,17150.0,16360.0,275.0,-15960.0,8862.5,-2170.0,12133.6,65130.0,587.5,
20110630,-26890.0,17150.0,12670.0,-4468.75,-21790.0,8862.5,-3760.0,12133.6,65130.0,306.25,
20110729,-30450.0,11625.0,17090.0,5300.0,-21790.0,8862.5,-3760.0,15000.8,65130.0,1018.75,
20110831,-32630.0,9950.0,37140.0,1018.75,-23120.0,5850.0,-3760.0,12526.4,65130.0,5331.25,
20110930,-32700.0,11912.5,19870.0,-8268.75,-20910.0,5275.0,-3760.0,10208.8,68965.0,6393.75,
20111031,-40750.0,6112.5,19870.0,-14575.0,-21650.0,3812.5,-4130.0,10208.8,53430.0,5043.75,
20111130,-42130.0,6112.5,19870.0,-14575.0,-19520.0,8112.5,-4500.0,10813.6,53430.0,5043.75,
20111230,-47700.0,7125.0,17920.0,-16731.25,-13530.0,6962.5,-4500.0,11250.4,51230.0,4996.88,
20120131,-51380.0,5312.5,9520.0,-19437.5,-8270.0,6962.5,-4500.0,9851.2,37655.0,6121.88,
20120229,-49060.0,5312.5,9520.0,-13943.75,-8000.0,9575.0,-4500.0,9616.0,33390.0,5106.25,
20120330,-53460.0,5312.5,9520.0,-6143.75,-2170.0,13725.0,-4610.0,9280.0,24805.0,3350.0,
20120430,-53460.0,5312.5,9520.0,-4193.75,-2880.0,19012.5,-3000.0,8575.2,24805.0,2000.0,
20120531,-41710.0,11100.0,13920.0,2893.75,-2980.0,12912.5,-4350.0,10479.2,33345.0,4625.0,
20120629,-39810.0,7525.0,8100.0,1912.5,-2390.0,12912.5,-4490.0,8777.6,20965.0,4062.5,
20120731,-42700.0,11962.5,8100.0,1912.5,1640.0,24075.0,-4920.0,8777.6,19455.0,5343.75,
20120831,-42700.0,10750.0,9600.0,1912.5,-3450.0,29850.0,-7880.0,8777.6,18570.0,4571.88,
20120928,-49100.0,10725.0,18230.0,1912.5,-3450.0,24075.0,-9550.0,8777.6,34245.0,4571.88,
20121031,-49690.0,12037.5,14540.0,4668.75,-5270.0,24075.0,-9550.0,9080.0,25035.0,4571.88,
20121130,-52270.0,10175.0,14540.0,8306.25,-5270.0,24550.0,-8610.0,8565.6,25035.0,4587.5,
20121231,-52270.0,10600.0,11810.0,10856.25,-5480.0,21587.5,-10060.0,7490.4,23675.0,3503.12,
20130131,-50430.0,15225.0,10550.0,7325.0,-8360.0,17387.5,-10000.0,8308.0,15985.0,3768.75,
20130228,-53850.0,10312.5,13710.0,7268.75,-8360.0,17387.5,-10600.0,8498.4,21175.0,2246.88,
20130329,-53850.0,10750.0,12150.0,9537.5,-9030.0,17387.5,-10000.0,8006.4,21720.0,2246.88,
20130430,-59600.0,7512.5,24510.0,7618.75,-6210.0,17387.5,-10520.0,7972.8,42620.0,2793.75,
20130531,-61820.0,7512.5,32500.0,5437.5,-9620.0,20575.0,-10520.0,9148.8,52330.0,1678.12,
20130628,-63420.0,3075.0,49430.0,8718.75,-9310.0,20012.5,-9650.0,8679.2,66325.0,4334.38,
20130731,-54820.0,2475.0,38270.0,6725.0,-8090.0,19462.5,-10660.0,8176.0,61000.0,3593.75,
20130830,-57650.0,-162.5,38270.0,7625.0,-8840.0,22312.5,-9890.0,8176.0,55815.0,2531.25,
20130930,-61360.0,-37.5,38270.0,8600.0,-8840.0,19662.5,-8370.0,8120.0,47550.0,2681.25,
20131031,-60640.0,775.0,38270.0,11712.5,-8840.0,19662.5,-7350.0,8266.4,47550.0,3150.0,
20131129,-56330.0,-300.0,37420.0,10812.5,-8840.0,19662.5,-8640.0,8266.4,47550.0,2431.25,
20131231,-60610.0,1125.0,42230.0,11631.25,-8510.0,19662.5,-8540.0,8736.8,46550.0,1596.88,
20140131,-65660.0,-900.0,37090.0,11631.25,-4870.0,19662.5,-9210.0,9700.0,41350.0,1596.88,
20140228,-66220.0,-900.0,36300.0,31525.0,40.0,24787.5,-8450.0,9062.4,41350.0,1596.88,
20140331,-70810.0,-2500.0,35010.0,27993.75,-3030.0,27287.5,-1800.0,9062.4,41350.0,75.0,
20140430,-73700.0,-2500.0,35010.0,25162.5,-3030.0,29912.5,-5230.0,9062.4,41350.0,75.0,
20140530,-70360.0,-3650.0,35010.0,17056.25,-3030.0,26662.5,-5230.0,9062.4,37525.0,793.75,
