Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,0,0,0,0,0,0,0,0,0,1,499656.0
20100105,0,0,0,0,0,0,0,1,0,1,499141.0
20100106,0,0,0,0,0,0,0,1,0,1,500238.0
20100107,0,0,0,0,0,0,0,1,0,1,499904.0
20100108,0,0,0,0,0,0,0,1,0,1,499190.0
20100111,0,0,0,0,0,0,0,1,0,1,498316.0
20100112,1,0,0,0,0,0,0,1,0,1,497001.0
20100113,1,0,0,0,0,0,0,1,0,1,496982.0
20100114,1,0,0,0,0,0,1,1,0,1,496229.0
20100115,1,0,0,0,0,0,1,1,0,1,494291.0
20100119,1,0,0,0,0,0,1,1,0,1,497357.0
20100120,1,0,0,0,0,0,1,1,0,1,495644.0
20100121,1,1,0,0,0,0,1,1,0,1,493816.0
20100122,1,1,0,0,0,0,1,1,0,0,490700.0
20100125,0,1,0,0,0,0,1,1,0,0,490580.0
20100126,0,1,0,0,0,0,1,1,0,0,490412.0
20100127,0,1,0,0,0,0,1,1,0,0,489909.0
20100128,0,1,0,0,0,0,1,1,0,0,491454.0
20100129,0,1,0,0,0,0,1,1,1,0,494042.0
20100201,0,1,0,1,0,0,1,1,1,0,488806.0
20100202,0,1,0,1,0,1,0,1,1,0,486353.0
20100203,0,1,0,1,0,1,0,1,1,0,490083.0
20100204,0,1,0,1,0,1,0,1,1,0,496272.0
20100205,0,1,0,1,0,1,0,1,1,0,498757.0
20100208,1,1,0,1,0,1,0,0,1,0,497035.0
20100209,1,1,0,1,0,1,0,0,1,0,491881.0
20100210,1,1,0,1,0,1,0,0,1,0,491211.0
20100211,1,1,0,1,0,1,0,0,1,0,489358.0
20100212,1,1,0,1,0,1,0,0,1,0,491754.0
20100216,1,1,0,1,0,1,0,0,1,0,482188.0
20100217,1,1,0,1,0,1,0,0,1,0,485042.0
20100218,1,1,0,1,0,1,0,0,1,0,484021.0
20100219,0,1,0,1,0,1,0,0,1,0,481615.0
20100222,0,1,0,1,0,1,0,0,1,0,483801.0
20100223,0,1,0,1,0,1,0,0,1,0,486915.0
20100224,0,1,0,1,0,0,0,0,1,0,485930.0
20100225,0,1,0,1,0,0,0,0,1,0,486086.0
