Date,Open,High,Low,Close,Vol
20210430,63985,63985,63985,63985,0
20210503,63670,65950,63105,64435,7175
20210504,64070,64420,59860,61185,22104
20210505,61650,64745,59540,63965,9738
20210506,63620,65250,61920,62850,18833
20210507,63000,65525,61995,64430,20793
20210510,64780,66555,60270,62375,25897
20210511,62330,63725,61045,63475,15292
20210512,63620,64775,60090,61115,26658
20210513,61165,61255,53535,55035,49316
20210514,55715,58170,54990,56860,19408
20210517,52045,53295,48730,50730,47038
20210518,51275,52430,48955,49820,27902
20210519,49385,50160,36875,46010,87808
20210520,45670,49100,41620,46990,33021
20210521,47260,48980,41770,42755,33021
20210524,41155,46660,40360,46420,21438
20210525,45470,46545,43185,44000,19053
20210526,44670,47600,44575,45280,8911
20210527,45670,47200,43985,45470,10297
20210528,45205,45815,41790,42430,25259
20210601,42590,44575,40835,42595,19422
20210602,43060,44975,42535,44645,11634
20210603,44455,46155,43865,45320,11813
20210604,45420,45980,42175,43560,16849
20210607,43100,43585,40615,42250,19412
20210608,40895,40920,37540,39515,27878
20210609,40145,43525,39025,42980,26651
20210610,43305,45065,42410,43295,19521
20210611,43235,44305,42585,43930,11321
20210614,45405,47660,45315,46315,15564
20210615,46860,47960,46105,46600,12932
20210616,46545,47100,44880,45170,15369
20210617,45155,46140,43925,44270,16445
20210618,44305,44765,41675,41890,16445
20210621,42285,42390,38310,39165,30086
20210622,38415,39960,35415,39085,33070
20210623,39475,41405,38365,39505,16126
20210624,39765,41940,38975,41500,6884
20210625,41415,42215,37990,38735,18761
20210628,39285,41875,39285,41060,15947
20210629,41230,43220,40715,42965,13190
20210630,43035,43135,40540,41260,12974
20210701,41485,41770,39230,39565,12485
20210702,39935,40530,39160,39820,9896
20210706,40635,41675,40055,40510,20289
20210707,40350,41660,40200,41235,11853
20210708,40930,40930,38610,39495,22072
20210709,39250,40250,38795,39990,12663
20210712,40785,41375,39115,39295,11842
20210713,39695,39975,38705,38750,9328
20210714,39040,39720,38035,39275,9571
20210715,39525,39750,37500,37945,24501
20210716,38130,38760,37500,38460,11201
20210719,38235,38425,36825,37225,12735
20210720,37260,37545,35725,36250,11968
20210721,36030,39360,35955,38155,24964
20210722,38430,39130,38205,38950,5924
20210723,38735,39450,38510,38805,5924
20210726,40800,47085,40800,46015,38940
20210727,43870,45330,42935,44425,14256
20210728,44950,47485,44715,46905,20217
20210729,46740,47225,45855,46210,6306
20210730,46155,48435,44870,46405,8350
20210802,47640,47805,45150,45630,12522
20210803,45685,46295,44010,44415,11110
20210804,44775,46385,43950,46290,8780
20210805,46405,47890,43730,47205,14631
20210806,47600,49895,46400,49420,14955
20210809,50690,52970,49335,52495,15367
20210810,52250,53270,51105,51945,14063
20210811,51755,53285,51725,52905,9179
20210812,52725,52750,50220,50810,17650
20210813,50805,54445,50280,52955,12950
20210816,53430,54565,52050,52545,13848
20210817,52260,53625,50945,51970,12108
20210818,51405,52560,50600,51305,9291
20210819,51000,53345,50380,53150,14217
20210820,53040,55630,52810,55180,12556
20210823,55275,57030,55150,55730,10691
20210824,56000,56340,54175,54660,8802
20210825,54705,55570,53520,55155,7061
20210826,55645,55765,52640,53255,6484
20210827,53640,55550,52675,54755,8365
20210830,55310,55835,53740,55065,8159
20210831,54820,55015,52990,53690,7866
20210901,53300,55580,52850,54620,7594
20210902,54700,56845,54690,55675,14193
20210903,56050,57550,54700,57010,16863
20210907,58240,59420,50220,53080,40938
20210908,53130,53740,50785,52820,16345
20210909,52330,53740,51850,52945,11285
20210910,52795,53370,51000,51975,11285
20210913,51655,53220,49635,51115,20457
20210914,51460,53345,51000,52815,10184
20210915,52925,54800,52885,54490,9070
20210916,54500,54925,53335,53795,11249
20210917,53865,54535,52970,53790,7047
20210920,53805,53920,48655,50080,24075
20210921,49825,50160,46365,48330,27894
20210922,47500,50340,46465,49685,27893
20210923,49455,51270,49455,51090,35664
20210924,51075,51605,46965,48685,35664
20210927,49705,50780,48875,49315,22623
20210928,49265,49710,47340,47765,18800
20210929,48025,48885,46880,47320,13449
20210930,47575,50330,47245,49780,40476
20211001,49840,54850,49550,54555,40476
20211004,54235,56155,53340,56020,32182
20211005,55460,58360,55200,57795,34064
20211006,58370,62105,57015,61865,31431
20211007,61410,62500,60030,60635,17320
20211008,61150,62940,60225,61345,18957
20211011,61250,64500,60980,64155,16845
20211012,63965,64400,60545,61980,16691
20211013,62375,64115,60830,63915,17542
20211014,64165,65230,63305,64360,15701
20211015,63765,69665,63395,68240,27329
20211018,67165,69385,66280,67815,25625
20211019,68035,70945,67875,70825,26126
20211020,70600,73830,70005,72830,28423
20211021,72265,73090,68340,69075,40894
20211022,68415,70120,66355,67245,24634
20211025,67165,70020,66940,68890,16523
20211026,69100,69545,67985,68140,18048
20211027,68240,68240,64080,65230,23697
20211028,65065,68740,64150,67595,15169
20211029,67055,69380,66460,68825,15169
20211101,67975,68660,65495,67430,19390
20211102,66715,70480,66700,69830,24144
20211103,69250,69810,66810,68880,24156
20211104,69215,69305,66655,67175,18615
20211105,67185,68720,66715,67195,16052
20211108,68565,72845,68565,72300,27918
20211109,72615,74840,72270,73440,24577
20211110,73565,75175,68860,71890,42425
20211111,70835,71715,70100,70870,18733
20211112,71205,71560,68155,70050,28739
20211115,70265,72365,69195,69725,19634
20211116,69735,69815,64360,65545,41448
20211117,66390,66685,64230,66300,24559
20211118,65775,66845,62435,63830,35315
20211119,62580,64235,61415,63715,21858
20211122,64825,65505,61375,61630,27507
20211123,62045,63760,61170,63670,22961
20211124,63460,63590,61610,63125,12011
20211126,64785,65110,58890,59740,33491
20211129,61360,64590,61360,63780,18896
20211130,63910,64965,61455,63090,23355
20211201,62900,64870,61895,62300,19797
20211202,62580,63030,61280,62485,23300
20211203,62365,63260,56890,58855,40721
20211206,54510,56000,52520,54270,31113
20211207,55945,57520,55660,55910,13716
20211208,55910,56710,53960,56235,13507
20211209,55815,56280,52655,52985,19373
20211210,53245,55565,52625,53800,17549
20211213,55465,55790,51040,51905,21572
20211214,52245,54010,51655,53180,13052
20211215,53670,54930,51890,54660,19342
20211216,54580,54830,52900,53320,12120
20211217,53015,53330,50730,51560,17232
20211220,52665,52855,50820,52370,11043
20211221,52185,54720,52005,53995,11423
20211222,54645,54955,53810,54355,8248
20211223,54475,56760,53370,56370,16586
20211227,56210,57495,55800,56585,12697
20211228,56310,56380,52570,53065,15524
20211229,52900,53410,51865,52680,9827
20211230,52590,53180,51155,52430,5746
20211231,52380,53905,50895,51035,9856
20220103,52400,52865,50900,51085,9888
20220104,51500,52885,50690,51525,13075
20220105,51425,52320,48535,49050,22442
20220106,48370,48955,47620,48435,19813
20220107,48325,48425,45720,47090,24366
20220110,47320,47500,44685,46965,29929
20220111,46835,48370,46445,48025,16125
20220112,47900,49560,47710,49045,14128
20220113,49040,49680,47495,47895,9811
20220114,47835,48730,46895,48340,9811
20220118,46995,47655,46400,46885,16219
20220119,47665,47850,46300,46795,13938
20220120,47170,48745,46465,47895,29097
20220121,46430,46430,41320,43400,29097
20220124,40825,42775,38065,42440,34479
20220125,41925,42810,40905,42075,14215
20220126,41840,44120,41535,42280,23269
20220127,41695,42430,40680,40760,14522
20220128,41955,43230,41320,42995,14522
20220131,43090,43985,41835,43690,14089
20220201,43680,44490,43265,43790,11418
20220202,43890,44130,41715,42740,11573
20220203,42045,42315,41390,41470,11632
20220204,42335,46175,42070,45845,31023
20220207,46340,49840,46340,49440,19481
20220208,49370,50810,47980,49545,17407
20220209,49340,50135,48410,50060,9981
20220210,49805,51105,48455,49385,25856
20220211,49110,49345,47285,47595,17904
20220214,47670,48135,46745,47410,12881
20220215,47670,49830,47670,49420,13545
20220216,49520,50025,48555,49380,12475
20220217,49325,49490,45280,46105,20813
20220218,45905,46200,44670,45150,20813
20220222,42720,43525,41515,43120,30440
20220223,43105,44440,42575,42865,16417
20220224,42845,44975,39545,43580,14117
20220225,43345,44915,43015,44325,16302
20220228,43130,47265,42375,47210,30955
20220301,48220,50295,48125,49450,23901
20220302,49460,50680,48630,49135,16451
20220303,49440,49520,47095,47290,19867
20220304,47710,47875,44285,44755,19867
20220307,44220,44770,42395,42750,17788
20220308,43445,44620,43075,43715,16416
20220309,43835,47925,43810,47130,23389
20220310,47230,47485,43795,44840,18686
20220311,44640,45495,43445,43535,15862
20220314,43985,44535,42705,44040,12383
20220315,43895,45130,43300,44970,11544
20220316,44845,47035,44035,46130,26653
20220317,46395,46735,45770,46095,15358
20220318,45865,47615,45385,47305,15358
20220321,46590,46840,45780,46430,12233
20220322,46530,48690,46105,47600,16960
20220323,47960,48175,47025,47460,12863
20220324,47680,49650,47650,49315,13100
20220325,49520,50570,48980,49805,13100
20220328,51400,53625,51400,53340,15474
20220329,53345,53560,52330,53080,9732
20220330,52650,53150,51860,52390,8860
20220331,52340,53020,50760,50885,12277
20220401,50915,52060,49455,51700,17074
20220404,52025,52790,50345,51235,10218
20220405,51695,52590,50690,51290,11627
20220406,51240,51240,48305,48925,16165
20220407,49000,49085,47885,48530,14706
20220408,48655,49265,47580,47865,14706
20220411,48050,48150,44625,45105,19572
20220412,44865,45910,44345,44440,17582
20220413,44550,46715,44550,46270,12902
20220414,46435,46690,44725,44975,9082
20220418,45155,46280,43655,45850,16259
20220419,46040,46975,45735,46670,7997
20220420,46510,47450,46045,46385,8450
20220421,46705,48190,45735,46395,12293
20220422,45875,45950,44315,44605,12293
20220425,44815,45555,43325,45360,14395
20220426,45390,45950,42775,43370,16418
20220427,43350,44610,42790,44050,14146
20220428,44440,45585,44010,45140,11215
20220429,44985,45065,43225,43400,11215
20220502,43365,44270,43115,43655,8259
20220503,43745,43985,42560,42750,9826
20220504,42870,45200,42650,45015,18248
20220505,44930,45015,40640,41385,27837
20220506,42015,42090,40305,41040,15709
20220509,39880,39880,35420,36045,30364
20220510,36355,37705,34795,36395,28017
20220511,35795,37235,33225,34310,49058
20220512,33530,35205,30465,33700,52293
20220513,33530,36115,33350,35150,18279
20220516,35910,36515,34135,34620,13927
20220517,35215,35845,34530,35115,13139
20220518,35520,35745,33770,34300,13564
20220519,34160,35640,33710,35060,14439
20220520,35375,35860,33760,34375,16178
20220523,34960,35785,34080,34130,10172
20220524,34445,34670,33695,34420,13739
20220525,34705,35395,34410,34650,11974
20220526,34940,34955,32980,34510,16430
20220527,34875,34875,33320,33960,16430
20220531,36480,37585,36350,36795,25560
20220601,36875,37165,34390,35180,13909
20220602,34600,35560,34600,35435,7728
20220603,35545,35860,34325,34680,7728
20220606,35055,36945,34970,36635,9229
20220607,36685,36715,34255,36190,10843
20220608,36565,36675,34950,35225,12770
20220609,35435,35825,35025,35090,5798
20220610,35235,35950,33890,34065,12670
20220613,32600,32600,27650,28255,27902
20220614,28155,28430,25925,27270,18152
20220615,26705,27535,25185,26770,24709
20220616,27285,28055,25585,25935,14589
20220617,25750,26455,25290,25615,10210
20220621,25565,26855,25385,26005,19142
20220622,26095,26165,24890,25250,13464
20220623,25080,26200,25020,26030,6936
20220624,25825,26595,25770,26385,9720
20220627,26405,26695,25540,25930,9198
20220628,25910,26305,25260,25305,8020
20220629,25475,25560,24895,25315,8579
20220630,25300,25405,23630,23890,13517
20220701,23735,25905,23720,24445,13517
20220705,25035,25855,24350,25520,13530
20220706,25505,25580,24860,25405,9226
20220707,25495,27015,25380,26985,12683
20220708,26805,27665,26300,26895,15553
20220711,26300,26300,25350,25585,11333
20220712,25330,25330,24340,24445,8823
20220713,24480,25210,23960,24745,10533
20220714,25020,26010,24700,25755,11078
20220715,25635,26340,25510,26320,6707
20220718,26180,27950,25870,26750,13490
20220719,26570,28850,26570,28590,12632
20220720,28785,29450,28050,28825,13791
20220721,28820,28820,27490,28360,11857
20220722,28370,28915,27645,27745,8084
20220725,27945,28170,26690,27015,10718
20220726,27165,27210,25850,26045,6545
20220727,26085,28260,26085,27910,10106
20220728,27945,29460,27730,29025,8524
20220729,29205,29710,28665,29090,8524
20220801,28800,28830,28000,28130,6852
20220802,28225,28615,27780,28100,6269
20220803,28225,28840,27825,28640,6492
20220804,28475,28490,27510,27555,6827
20220805,27580,28665,27565,28060,7446
20220808,28360,29440,28185,29085,6810
20220809,28935,29050,27935,28160,7332
20220810,28230,29335,27740,28755,8145
20220811,29100,30115,28960,29345,8081
20220812,29325,29440,28705,29340,6411
20220815,29495,30370,29000,29100,6353
20220816,29150,29380,28745,29045,5256
20220817,29090,29560,28230,28330,8400
20220818,28375,28690,28290,28435,4470
20220819,28410,28475,26150,26330,18345
20220822,26600,26690,25915,26065,7467
20220823,26100,26750,25895,26590,9031
20220824,26575,27010,26220,26810,8449
20220825,26700,26890,26430,26655,12629
20220826,26610,26960,25470,25580,12629
20220829,25480,25480,24525,25125,6489
20220830,25075,25660,24475,24930,6786
20220831,24830,25550,24760,25225,6225
20220901,25200,25290,24480,24855,7148
20220902,25140,25540,24700,24935,6741
20220906,24755,25255,23615,23795,11901
20220907,23930,24550,23495,24085,6073
20220908,24310,24540,24070,24420,6413
20220909,24310,26665,24265,26505,13655
20220912,26605,27695,26605,27615,9319
20220913,27580,27990,25190,25400,14031
20220914,25260,25655,24735,25085,6780
20220915,25180,25500,24610,24890,7249
20220916,24890,25010,24430,24735,6729
20220919,24700,24800,23350,24640,8353
20220920,24630,24825,23850,24110,6455
20220921,24060,25070,23690,24140,13972
20220922,23665,24630,23240,24455,9543
20220923,24340,24670,23615,23905,7521
20220926,23815,24460,23755,24340,6689
20220927,24225,25550,23940,24205,14635
20220928,24055,24840,23595,24725,16797
20220929,24815,24850,23955,24575,10019
20220930,24680,25385,24320,24630,10019
20221003,24435,24875,23995,24730,11175
20221004,24765,25750,24725,25490,8718
20221005,25580,25635,24955,25345,4787
20221006,25295,25705,25070,25230,7241
20221007,25175,25335,24455,24615,7987
20221010,24620,24675,24225,24330,5217
20221011,24320,24420,23965,24105,6292
20221012,24090,24340,24080,24300,4471
20221013,24310,24765,22970,24565,10705
20221014,24605,25165,24280,24315,10705
20221017,24215,24880,24215,24720,4661
20221018,24750,24930,24260,24385,8728
20221019,24455,24530,24235,24405,4241
20221020,24340,24555,24080,24235,8365
20221021,24230,24465,23820,24400,8365
20221024,24625,24910,24330,24545,8271
20221025,24615,25660,24435,25510,12247
20221026,25420,26240,25225,25985,14148
20221027,26005,26130,25520,25915,4514
20221028,25690,26005,25195,25875,9102
20221031,25895,26070,25435,25575,8161
20221101,25655,25895,25525,25675,4478
20221102,25670,26060,25295,25460,12152
20221103,25335,25610,25225,25480,8622
20221104,25415,26595,25375,26350,16885
20221107,26435,26435,25830,26040,6496
20221108,25730,25895,22035,23275,46059
20221109,23665,23735,20130,20810,43446
20221110,20295,23135,20295,22975,32733
20221111,22635,22660,20905,21245,32429
20221114,21055,21950,20445,21200,14274
20221115,21365,22195,21275,21885,10656
20221116,21860,22060,21170,21480,8784
20221117,21545,21835,21295,21715,8403
20221118,21700,22065,21565,21725,8403
20221121,21550,21550,20535,20885,12712
20221122,20775,21475,20695,21250,8352
20221123,21260,21940,21225,21915,4499
20221125,21960,21985,21650,21960,3270
20221128,21900,22060,21330,21650,8545
20221129,21570,22100,21485,21925,4374
20221130,21900,22800,21815,22740,9833
20221201,22810,22965,22425,22480,7414
20221202,22480,22715,21800,22655,3881
20221205,22645,23080,22410,22485,5657
20221206,22530,22675,22465,22605,3209
20221207,22510,22755,22240,22385,5650
20221208,22405,22960,22325,22845,4821
20221209,22860,23000,22675,22695,4540
20221212,22770,22890,22485,22775,3274
20221213,22795,23815,22725,23405,9995
20221214,23410,24095,23335,23455,7151
20221215,23510,23530,22960,23055,6675
20221216,22935,23175,22345,22435,6675
20221219,22530,22530,22030,22155,3744
20221220,21910,22730,21910,22500,4906
20221221,22540,22560,22345,22395,2190
20221222,22365,22510,22120,22395,4957
20221223,22210,22580,22210,22440,4599
20221227,22505,22630,22185,22255,4140
20221228,22305,22410,22090,22230,5648
20221229,22110,22305,22095,22220,1607
20221230,22250,22465,21920,22370,5823
20230103,22425,22600,22360,22450,3527
20230104,22420,22845,22420,22615,5315
20230105,22610,22715,22540,22675,3320
20230106,22680,22920,22465,22730,3320
20230109,22850,23270,22790,23060,4672
20230110,23050,23385,22960,23370,3642
20230111,23305,23465,23175,23450,2978
20230112,23450,25035,23445,24990,8269
20230113,24835,25815,24620,25385,8269
20230117,27065,27555,26745,27320,13049
20230118,27165,27625,26305,26635,12619
20230119,26740,27100,26570,27035,8600
20230120,26985,28355,26775,28225,8600
20230123,28440,29060,28335,28925,6401
20230124,28825,29045,28605,28900,4304
20230125,28600,29560,28195,28775,6052
20230126,28775,29120,28715,29005,2979
20230127,28815,29415,28450,28990,8020
20230130,29190,29760,28385,28495,7461
20230131,28500,29085,28500,28920,3607
20230201,29005,29635,28585,29425,6351
20230202,29565,30110,29240,29675,7116
20230203,30055,30055,29000,29155,5128
20230206,28900,28940,28435,28780,4573
20230207,28640,29125,28395,28970,5255
20230208,28965,29200,28350,28555,4356
20230209,28715,28740,27410,27680,8500
20230210,27470,27640,27170,27445,6117
20230213,27465,27605,27050,27380,6854
20230214,27380,28045,27250,28005,8654
20230215,27975,30075,27760,29920,11104
20230216,30020,31010,29925,30310,17118
20230217,29910,30765,29095,30540,13952
20230221,30405,31000,29855,30160,38265
20230222,30110,30155,29260,29470,16484
20230223,29695,30290,29345,29650,2655
