CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100129,-36330.0,12618.75,-9270.0,2700.0,-5350.0,12212.5,-3790.0,7683.2,-6480.0,-1140.6,
20100226,-55490.0,23918.75,-24900.0,5512.5,-5350.0,5662.5,2690.0,-156.8,-14090.0,-1140.6,
20100331,-59250.0,12400.0,-23220.0,2287.5,22720.0,5662.5,260.0,16844.8,-24990.0,-2109.3,
20100430,-64370.0,19581.25,-26520.0,2287.5,3860.0,5200.0,350.0,23699.2,-24995.0,-1921.78,
20100528,-79410.0,70931.25,-13800.0,2287.5,230.0,1550.0,350.0,28000.0,-36135.0,7860.45,
20100630,-91770.0,72581.25,-1440.0,26081.25,-9910.0,487.5,-1710.0,20966.4,-31315.0,18547.95,
20100730,-91770.0,60743.75,-22530.0,17025.0,-9910.0,6375.0,-4490.0,30632.0,-45475.0,23610.45,
20100831,-115140.0,35556.25,-35810.0,17475.0,3010.0,5075.0,-1130.0,31438.4,-17555.0,34110.45,
20100930,-121930.0,83106.25,-25950.0,21750.0,-3230.0,24425.0,-3410.0,52987.2,30225.0,25642.22,
20101029,-122670.0,98756.25,-6750.0,24075.0,-2210.0,48075.0,5620.0,78254.4,85085.0,22046.82,
20101130,-139290.0,86181.25,4050.0,14081.25,-13700.0,36125.0,-460.0,66472.0,157145.0,19406.22,
20101231,-113010.0,86181.25,18170.0,73031.25,-12490.0,48600.0,-460.0,59057.6,211645.0,23465.6,
20110131,-150350.0,66856.25,-830.0,79481.25,-15730.0,50600.0,7810.0,59057.6,159305.0,20653.2,
20110228,-159140.0,60006.25,-11470.0,116456.25,-33670.0,46850.0,1250.0,52147.2,191055.0,17482.0,
20110331,-126600.0,69693.75,-10300.0,100256.25,-39920.0,34200.0,1250.0,44923.2,272415.0,10014.3,
20110429,-100000.0,103793.75,34810.0,99018.75,-39170.0,36150.0,1170.0,54868.8,486215.0,18451.8,
20110531,-132280.0,69618.75,26570.0,56606.25,-40670.0,37950.0,7110.0,51688.0,275955.0,29889.3,
20110630,-141800.0,69618.75,15860.0,30487.5,-56670.0,44925.0,630.0,54219.2,275955.0,28889.4,
20110729,-148480.0,59968.75,-2900.0,69562.5,-68770.0,39525.0,1270.0,69764.8,272060.0,29750.1,
20110831,-159970.0,60518.75,77300.0,43612.5,-73320.0,38062.5,-2930.0,54880.0,225735.0,46189.0,
20110930,-120650.0,94737.5,44490.0,-33656.25,-70110.0,19862.5,-2930.0,50008.0,162425.0,50439.0,
20111031,-151200.0,81262.5,20770.0,-51731.25,-73320.0,14012.5,-6590.0,48395.2,92285.0,45017.22,
20111130,-128080.0,81262.5,20770.0,-51731.25,-52280.0,31212.5,-5070.0,55764.8,92285.0,44001.6,
20111230,-149600.0,83925.0,18380.0,-61762.5,-28320.0,25712.5,-16080.0,57512.0,90045.0,43158.12,
20120131,-153980.0,76750.0,-32680.0,-61781.25,-7280.0,25712.5,-22620.0,50534.4,58020.0,39561.27,
20120229,-149780.0,76750.0,-55030.0,-59943.75,-6200.0,35825.0,-22580.0,57142.4,44660.0,37530.02,
20120330,-165580.0,76750.0,-63450.0,-28743.75,17120.0,52425.0,-12140.0,49425.6,1500.0,32389.47,
20120430,-165580.0,76750.0,-75220.0,-20943.75,14280.0,73575.0,-14910.0,46009.6,-30750.0,22187.62,
20120531,-113170.0,103825.0,-53220.0,7406.25,13840.0,52525.0,-17550.0,53625.6,23160.0,31531.97,
20120629,-105570.0,89525.0,-69220.0,-1818.75,13490.0,43837.5,-17550.0,46816.0,26940.0,29281.97,
20120731,-109490.0,107275.0,-77860.0,-12787.5,24550.0,82750.0,-18800.0,44968.0,20900.0,34406.97,
20120831,-108540.0,102200.0,-68430.0,-22350.0,7190.0,105850.0,-28010.0,32155.2,28900.0,25859.42,
20120928,-122460.0,103168.75,-33910.0,-15787.5,7190.0,80600.0,-33480.0,28795.2,91600.0,26328.17,
20121031,-120810.0,108418.75,-48190.0,-27843.75,1560.0,77150.0,-43640.0,30889.6,67160.0,27234.42,
20121130,-134530.0,91106.25,-48190.0,-16575.0,2020.0,90950.0,-40930.0,31091.2,67160.0,25860.32,
20121231,-133380.0,90218.75,-50460.0,-6375.0,9110.0,79000.0,-46210.0,30329.6,67065.0,21715.12,
20130131,-114810.0,94825.0,-56380.0,-18675.0,4550.0,60700.0,-46580.0,33600.0,41320.0,22980.87,
20130228,-124650.0,79775.0,-46950.0,-21225.0,-140.0,52062.5,-44720.0,34361.6,100900.0,19745.32,
20130329,-124650.0,83525.0,-56350.0,-28893.75,6450.0,49687.5,-42320.0,33040.0,103080.0,18417.77,
20130430,-145920.0,66375.0,-32980.0,-22368.75,17730.0,39637.5,-45240.0,31449.6,186680.0,22528.05,
20130531,-138800.0,72900.0,-1020.0,-10293.75,3050.0,47287.5,-42520.0,34238.4,225520.0,18168.8,
20130628,-166580.0,57506.25,66700.0,2831.25,14720.0,45037.5,-36160.0,31673.6,281500.0,26494.75,
20130731,-144470.0,39525.0,22460.0,-6093.75,19600.0,42337.5,-37800.0,29388.8,260600.0,26994.75,
20130830,-157040.0,35750.0,16670.0,-4256.25,14920.0,37937.5,-37800.0,29388.8,257895.0,30932.25,
20130930,-169060.0,40281.25,2850.0,-1481.25,14920.0,22987.5,-32240.0,29736.0,243655.0,29260.5,
20131031,-153140.0,42950.0,-20120.0,10968.75,14920.0,20337.5,-28160.0,31393.6,221250.0,31652.1,
20131129,-135900.0,37075.0,-8680.0,7368.75,5660.0,12762.5,-32920.0,31561.6,222515.0,25271.1,
20131231,-152620.0,35450.0,10560.0,600.0,5420.0,10262.5,-28000.0,34496.0,233515.0,26330.7,
20140131,-155630.0,27850.0,-10680.0,3937.5,16570.0,10262.5,-30680.0,38348.8,207490.0,22521.0,
20140228,-152700.0,36300.0,0.0,83231.25,-20240.0,26300.0,-13700.0,37777.6,203225.0,22380.4,
20140331,-163940.0,31243.75,-2320.0,65156.25,-29880.0,36300.0,12900.0,36612.8,190185.0,18630.4,
20140430,-167030.0,36043.75,-2320.0,59606.25,-12840.0,46800.0,6660.0,35828.8,189915.0,21396.02,
20140530,-169670.0,24631.25,1770.0,38343.75,-23760.0,34500.0,11550.0,33062.4,193490.0,28099.5,
20140630,-162350.0,20768.75,-10510.0,20943.75,-27840.0,38725.0,3980.0,31684.8,185435.0,21412.1,
20140731,-173980.0,24331.25,-15950.0,-14812.5,-18800.0,53537.5,-90.0,35257.6,176815.0,21412.1,
20140829,-178940.0,37181.25,-15950.0,-22181.25,-26000.0,65087.5,7990.0,39603.2,176815.0,21740.8,
20140930,-179140.0,62731.25,-780.0,-30543.75,-28990.0,85687.5,-1290.0,43321.6,216115.0,19161.25,
20141031,-153130.0,67981.25,-12300.0,-32700.0,-29840.0,72487.5,-1290.0,43321.6,235135.0,16923.2,
20141128,-95490.0,72681.25,-15520.0,-32700.0,-47550.0,67412.5,-1290.0,43321.6,247235.0,16923.2,
20141231,-42650.0,89581.25,-18960.0,-18675.0,-30360.0,67512.5,2220.0,44408.0,199780.0,16923.2,
20150130,-20610.0,130131.25,-39930.0,-42843.75,-23680.0,64825.0,19980.0,43198.4,221850.0,24924.97,
20150227,-26810.0,135181.25,-66370.0,-15712.5,-36760.0,58300.0,27620.0,41843.2,212390.0,16300.07,
20150331,-30780.0,157531.25,-93240.0,-18337.5,-36520.0,57512.5,36140.0,49582.4,207635.0,16300.07,
20150430,-48040.0,142856.25,-93240.0,-18337.5,-41920.0,54962.5,32220.0,43736.0,207635.0,16300.07,
