Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,2,0,0,0,0,0,0,1,0,1,1001671.0
20100105,2,0,0,0,0,0,0,2,0,1,1001183.0
20100106,3,0,0,0,1,0,1,3,0,1,1006362.0
20100107,4,0,0,0,1,0,1,4,0,1,1000155.0
20100108,4,0,0,0,1,0,1,4,1,1,997932.0
20100111,4,0,2,0,0,0,1,4,2,1,991252.0
20100112,4,0,2,0,0,2,1,4,2,0,978931.0
20100113,4,0,2,0,0,2,2,4,2,0,981537.0
20100114,4,0,2,0,0,2,3,4,2,0,982923.0
20100115,4,0,2,0,0,2,4,4,2,0,973356.0
20100119,4,0,2,0,0,3,4,4,2,0,991776.0
20100120,4,2,2,0,0,4,4,4,2,0,975890.0
20100121,4,3,0,0,0,4,4,4,2,0,964818.0
20100122,4,3,0,0,0,4,4,4,0,0,953752.0
20100125,4,3,0,0,0,4,4,4,0,0,960165.0
20100126,4,3,0,0,0,4,4,4,0,0,954882.0
20100127,4,4,0,2,0,4,4,4,1,0,954261.0
20100128,4,4,1,3,0,4,4,4,2,0,961631.0
20100129,4,4,1,3,0,4,4,4,3,0,972854.0
20100201,4,4,1,3,0,4,4,4,3,0,959020.0
20100202,4,4,1,3,0,4,4,4,3,0,962440.0
20100203,4,4,1,3,0,4,4,4,3,0,973223.0
20100204,4,4,2,4,0,4,4,0,4,0,987641.0
20100205,1,4,3,4,0,4,4,0,4,0,993506.0
20100208,1,4,3,4,0,4,4,0,4,0,983181.0
20100209,1,4,3,4,0,4,4,0,4,0,963246.0
20100210,1,4,3,4,0,4,4,0,4,0,963426.0
20100211,1,4,3,4,0,0,4,0,4,0,951261.0
20100212,1,4,3,4,0,0,4,0,4,0,959926.0
20100216,1,4,3,4,0,0,4,0,4,0,925741.0
20100217,1,4,3,4,0,0,4,0,4,0,936631.0
20100218,1,4,3,4,0,0,4,0,4,0,939136.0
20100219,1,4,3,4,0,0,4,0,4,0,924331.0
20100222,1,4,3,4,0,0,4,0,4,0,940146.0
20100223,1,4,3,4,0,0,4,0,4,0,954461.0
20100224,1,4,3,4,0,0,4,0,4,0,952061.0
20100225,1,4,3,4,0,0,4,0,4,0,954206.0
20100226,1,4,3,4,0,0,4,0,4,0,936656.0
20100301,1,4,3,4,0,0,4,0,4,0,941691.0
20100302,1,4,3,4,1,0,4,1,0,0,917178.0
20100303,1,4,3,4,1,0,4,1,0,0,912189.0
20100304,1,4,3,4,2,0,4,1,0,1,926784.0
20100305,1,4,3,4,2,0,4,1,0,1,920362.0
20100308,1,4,3,4,3,0,4,1,0,1,922342.0
20100309,1,4,3,4,3,0,4,2,0,1,924279.0
20100310,1,4,3,0,3,0,4,3,0,1,924722.0
20100311,1,4,3,0,3,0,4,4,0,1,928241.0
20100312,1,0,3,0,3,0,4,4,0,0,928251.0
20100315,1,0,3,0,4,0,4,4,0,0,928445.0
20100316,1,0,3,0,4,0,0,4,0,0,927607.0
20100317,1,0,3,0,4,0,0,4,0,0,927224.0
20100318,1,0,3,0,4,0,0,4,0,0,932548.0
20100319,1,0,3,0,4,0,0,4,0,0,938475.0
20100322,1,0,3,0,4,0,0,4,0,0,947459.0
20100323,1,0,3,0,4,0,0,4,0,0,949539.0
20100324,1,1,3,0,4,0,0,4,0,0,952850.0
20100325,1,2,3,0,4,0,0,4,0,0,960637.0
20100326,1,3,3,0,4,0,0,4,0,0,956919.0
20100329,1,3,3,0,4,0,0,4,0,0,948561.0
20100330,1,3,3,0,4,0,1,4,0,0,948689.0
20100331,1,3,3,0,4,0,2,4,0,0,950605.0
20100401,1,3,3,0,4,0,2,4,0,0,934320.0
20100402,1,3,3,0,4,0,2,4,0,0,934320.0
20100405,2,3,3,0,4,0,3,4,0,0,933287.0
20100406,3,3,3,0,4,0,4,4,0,0,945654.0
20100407,3,3,1,0,4,0,4,4,0,0,942529.0
20100408,3,3,1,0,4,0,4,4,0,0,946572.0
20100409,3,3,2,0,4,0,4,4,0,0,930824.0
20100412,3,3,3,0,4,0,4,4,0,0,926597.0
20100413,3,3,3,0,4,0,4,4,0,0,917418.0
20100414,3,3,3,0,4,0,4,4,0,0,918432.0
20100415,3,3,3,0,4,1,4,4,0,0,934931.0
20100416,3,3,3,0,4,2,4,4,0,0,925380.0
20100419,3,3,3,0,4,2,4,4,0,0,919062.0
20100420,3,3,3,0,4,2,4,4,0,0,924793.0
20100421,3,3,3,0,4,3,4,4,0,0,932842.0
20100422,3,3,3,0,4,4,4,4,0,0,931998.0
20100423,3,4,3,0,4,4,4,4,0,0,925951.0
20100426,3,4,3,0,4,4,4,4,0,0,921663.0
20100427,3,4,3,0,4,4,4,4,0,1,929671.0
20100428,3,4,3,0,0,4,4,4,0,1,929339.0
20100429,3,4,3,0,0,4,0,4,0,1,931880.0
20100430,3,4,4,0,1,4,0,4,1,1,937171.0
20100503,3,4,4,0,1,4,0,4,2,1,941571.0
20100504,3,4,4,0,1,0,0,4,2,2,927808.0
20100505,3,4,4,0,1,0,0,4,2,3,929179.0
20100506,1,4,4,0,1,0,0,4,2,4,944211.0
20100507,2,4,4,0,1,0,0,4,2,4,951295.0
20100510,2,4,4,0,1,0,0,4,2,4,937509.0
20100511,2,4,4,0,1,0,0,4,3,4,962491.0
20100512,2,4,4,0,1,0,0,4,4,4,977241.0
20100513,3,4,4,0,1,0,0,4,4,4,973956.0
20100514,4,4,4,0,1,0,0,4,4,4,992066.0
20100517,4,4,4,0,1,0,0,4,4,4,989201.0
20100518,4,4,4,0,1,0,0,4,4,4,995464.0
20100519,4,4,4,0,1,0,0,4,4,4,963209.0
20100520,4,4,4,0,1,1,0,4,4,4,958980.0
20100521,4,4,4,0,1,1,0,4,4,4,951081.0
20100524,4,4,4,0,1,1,0,4,4,4,976044.0
20100525,4,4,4,0,1,1,0,4,4,4,983645.0
20100526,4,4,4,0,1,1,0,4,4,4,992785.0
20100527,4,4,4,0,1,1,0,4,4,4,970674.0
20100528,4,4,4,0,1,1,0,4,4,4,981864.0
20100601,4,4,4,0,1,1,0,4,4,4,997153.0
20100602,4,4,4,0,1,1,0,4,4,4,987544.0
20100603,4,4,4,0,1,1,0,4,4,4,968530.0
20100604,4,4,4,0,2,1,0,4,4,4,986651.0
20100607,4,4,4,0,3,1,1,4,4,4,1026972.0
20100608,4,4,4,0,4,1,2,4,4,4,1013806.0
20100609,4,4,4,0,4,1,2,4,4,4,990239.0
20100610,4,4,4,0,4,1,2,4,4,4,969745.0
20100611,4,4,4,1,4,1,2,0,4,4,984829.0
20100614,4,4,4,2,4,1,2,0,4,4,985597.0
20100615,4,4,4,3,4,1,2,0,4,4,994998.0
20100616,0,4,4,4,4,0,2,0,4,4,982387.0
20100617,0,4,4,4,4,0,2,0,4,4,1008502.0
20100618,0,4,4,4,4,0,2,0,4,4,1010397.0
20100621,0,4,4,4,4,0,2,0,4,4,989104.0
20100622,0,4,4,4,4,0,2,0,4,4,990927.0
20100623,0,4,4,4,4,0,2,0,4,4,984934.0
20100624,0,4,4,4,4,0,2,0,4,4,1001094.0
20100625,0,4,4,4,4,0,2,0,4,4,1015514.0
20100628,0,4,4,4,4,0,2,0,4,4,1002789.0
20100629,0,4,4,4,0,0,2,0,4,4,995847.0
