C_,S_,W_,
20100129,0.0,3925.0,-1237.5,
20100226,-825.0,2287.5,-2575.0,
20100331,-162.5,2287.5,-662.5,
20100430,-1175.0,2837.5,-3487.5,
20100528,-1175.0,1700.0,-4637.5,
20100630,-1312.5,637.5,-4825.0,
20100730,-2100.0,2725.0,1637.5,
20100831,-837.5,2400.0,1187.5,
20100930,1987.5,7237.5,1162.5,
20101029,6300.0,13150.0,1162.5,
20101130,5400.0,12412.5,-475.0,
20101231,5837.5,16675.0,-5287.5,
20110131,7362.5,17175.0,-6787.5,
20110228,10437.5,16237.5,-10212.5,
20110331,6237.5,12175.0,-10500.0,
20110429,6637.5,9650.0,-15187.5,
20110531,4887.5,6537.5,-17812.5,
20110630,4225.0,4925.0,-10737.5,
20110729,1887.5,2350.0,-16087.5,
20110831,1887.5,3237.5,-16087.5,
20110930,3750.0,4800.0,-13775.0,
20111031,1025.0,3337.5,-14725.0,
20111130,87.5,7637.5,-12937.5,
20111230,-1525.0,6262.5,-13850.0,
20120131,-1525.0,6262.5,-13850.0,
20120229,-1525.0,9650.0,-15637.5,
20120330,-3462.5,13800.0,-21325.0,
20120430,-5575.0,19087.5,-23225.0,
20120531,-6350.0,14112.5,-26700.0,
20120629,-8400.0,11312.5,-24262.5,
20120731,500.0,23125.0,-17712.5,
20120831,-137.5,28900.0,-19337.5,
20120928,-737.5,22587.5,-21212.5,
20121031,-737.5,21350.0,-20800.0,
20121130,-737.5,26850.0,-22437.5,
20121231,62.5,23862.5,-19137.5,
20130131,-1775.0,21925.0,-19212.5,
20130228,-1775.0,19350.0,-15662.5,
20130329,-1775.0,19250.0,-19250.0,
20130430,-1100.0,18837.5,-20262.5,
20130531,-1462.5,22650.0,-21912.5,
20130628,-3325.0,22087.5,-20650.0,
20130731,-912.5,21412.5,-20975.0,
20130830,-437.5,21225.0,-19812.5,
20130930,-437.5,18600.0,-20662.5,
20131031,150.0,18600.0,-21662.5,
20131129,650.0,15362.5,-21662.5,
20131231,775.0,14137.5,-19362.5,
20140131,175.0,14137.5,-16887.5,
20140228,937.5,18887.5,-18750.0,
20140331,2862.5,21387.5,-16187.5,
20140430,3425.0,24012.5,-18012.5,
20140530,2575.0,19625.0,-18262.5,
20140630,4662.5,22050.0,-15337.5,
20140731,7750.0,25812.5,-12975.0,
20140829,7812.5,28700.0,-14562.5,
20140930,10012.5,33850.0,-11350.0,
20141031,8387.5,30550.0,-11962.5,
20141128,7300.0,28375.0,-11600.0,
20141231,7712.5,25500.0,-11037.5,
20150130,7600.0,27650.0,-11087.5,
20150227,6525.0,25887.5,-14362.5,
20150331,4687.5,25100.0,-14625.0,
20150430,5100.0,22550.0,-15125.0,
20150529,5100.0,23587.5,-15987.5,
20150630,6587.5,26137.5,-14012.5,
20150731,6225.0,22275.0,-16675.0,
20150831,5200.0,22837.5,-16512.5,
20150930,5200.0,22475.0,-17700.0,
20151030,5200.0,22475.0,-17700.0,
20151130,4950.0,21100.0,-17650.0,
20151231,4050.0,21100.0,-17375.0,
20160129,3787.5,21100.0,-18100.0,
20160229,3787.5,21100.0,-17550.0,
20160331,3912.5,22012.5,-18825.0,
20160429,3962.5,27487.5,-19700.0,
20160531,2912.5,29925.0,-20712.5,
20160630,2275.0,32412.5,-20975.0,
20160729,3825.0,31262.5,-19087.5,
20160831,5212.5,30512.5,-16912.5,
20160930,4150.0,27287.5,-17600.0,
20161031,4375.0,26075.0,-18100.0,
20161130,3937.5,26125.0,-17562.5,
20161230,3262.5,24700.0,-17825.0,
20170131,3087.5,22900.0,-18812.5,
20170228,3375.0,22900.0,-19300.0,
20170331,3012.5,25775.0,-19937.5,
20170428,2825.0,25787.5,-19312.5,
20170531,2825.0,25937.5,-21275.0,
20170630,1837.5,24387.5,-17900.0,
20170731,925.0,27012.5,-19075.0,
20170831,2075.0,25862.5,-17562.5,
20170929,2137.5,25862.5,-18375.0,
20171031,1612.5,25862.5,-18187.5,
20171130,1587.5,25862.5,-17975.0,
20171229,1837.5,25587.5,-17675.0,
20180131,1950.0,24500.0,-18300.0,
20180228,2562.5,24187.5,-17725.0,
20180329,2562.5,22750.0,-19225.0,
20180430,2500.0,20887.5,-19225.0,
20180531,2162.5,19912.5,-21162.5,
20180629,3537.5,26537.5,-21800.0,
20180731,3237.5,25575.0,-22200.0,
20180831,3237.5,25575.0,-23262.5,
20180928,2612.5,23962.5,-23912.5,
20181031,2612.5,23962.5,-23487.5,
20181130,2612.5,23962.5,-23825.0,
20181231,2250.0,22812.5,-25537.5,
20190131,2250.0,22812.5,-26062.5,
20190228,2762.5,22812.5,-23937.5,
20190329,2675.0,23275.0,-23850.0,
20190430,2862.5,25462.5,-22062.5,
20190531,4912.5,24500.0,-23150.0,
20190628,5025.0,22862.5,-22150.0,
20190731,5025.0,22862.5,-23625.0,
20190830,6350.0,22125.0,-23087.5,
20190930,5975.0,21400.0,-24150.0,
20191031,5975.0,21162.5,-24250.0,
20191129,5975.0,20875.0,-24237.5,
20191231,5425.0,19750.0,-24875.0,
20200131,4875.0,19925.0,-25125.0,
20200228,5450.0,18637.5,-26050.0,
20200331,6825.0,18275.0,-26687.5,
20200430,8250.0,16925.0,-26687.5,
20200529,8062.5,16837.5,-28037.5,
20200630,8225.0,16962.5,-27875.0,
20200731,7500.0,17475.0,-29562.5,
20200831,7212.5,19125.0,-29937.5,
20200930,7712.5,22625.0,-32037.5,
20201030,8687.5,24550.0,-31125.0,
20201130,9725.0,30162.5,-31125.0,
20201231,12625.0,34362.5,-30250.0,
20210129,15775.0,37312.5,-30850.0,
