Date,C_,S_,W_,
20100104,1,0,0,999975.0
20100105,1,0,0,999988.0
20100106,1,0,0,1000138.0
20100107,1,0,1,999488.0
20100108,1,0,1,1000300.0
20100111,1,0,1,1000475.0
20100112,0,1,1,996600.0
20100113,1,1,0,995388.0
20100114,1,1,0,995962.0
20100115,1,1,1,997138.0
20100119,1,1,1,998250.0
20100120,1,1,1,999138.0
20100121,1,1,1,998638.0
20100122,1,1,1,999175.0
20100125,1,1,1,999588.0
20100126,1,1,1,999725.0
20100127,1,1,1,1001362.0
20100128,1,1,1,1000888.0
20100129,1,1,1,1002688.0
20100201,1,1,1,1002738.0
20100202,1,1,1,1001025.0
20100203,1,1,1,1003412.0
20100204,1,1,1,1002725.0
20100205,1,1,1,1003000.0
20100208,1,1,1,1001438.0
20100209,1,1,1,1001650.0
20100210,1,1,0,999912.0
20100211,1,0,0,999375.0
20100212,1,0,0,999462.0
20100216,1,0,0,999175.0
20100217,1,0,0,999538.0
20100218,1,0,0,999675.0
20100219,1,0,0,999538.0
20100222,0,0,0,998888.0
20100223,0,0,0,998888.0
20100224,0,0,0,998888.0
20100225,0,0,0,998888.0
20100226,0,0,0,998888.0
20100301,0,0,0,998888.0
20100302,0,0,0,998888.0
20100303,0,0,0,998888.0
20100304,0,0,0,998888.0
20100305,0,0,0,998888.0
20100308,0,0,0,998888.0
20100309,0,0,0,998888.0
20100310,0,0,1,999250.0
20100311,0,0,1,999388.0
20100312,0,0,1,999062.0
20100315,0,0,1,999362.0
20100316,0,0,1,998975.0
20100317,0,0,1,998525.0
20100318,0,0,1,998862.0
20100319,0,0,1,999138.0
20100322,0,0,1,999000.0
20100323,0,0,1,999488.0
20100324,0,0,1,999525.0
20100325,1,0,1,1000162.0
20100326,1,0,1,1000188.0
20100329,1,0,1,1000150.0
20100330,1,0,1,999912.0
20100331,1,0,1,1001462.0
20100401,1,0,1,1001275.0
20100405,1,0,1,1001275.0
20100406,1,0,1,1000738.0
20100407,1,0,1,999650.0
20100408,1,0,1,1000362.0
20100409,1,0,1,1000662.0
20100412,1,0,1,1000438.0
20100413,1,0,1,999812.0
20100414,1,0,0,999338.0
20100415,1,1,0,999388.0
20100416,1,1,0,999412.0
20100419,1,1,0,999800.0
20100420,1,1,0,999775.0
20100421,1,1,0,1000162.0
20100422,1,1,0,1000450.0
20100423,1,1,0,1000700.0
20100426,1,1,1,999488.0
20100427,1,1,0,998762.0
20100428,1,1,0,998288.0
