EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,1956.25,3881.25,-12.5,875.0,1000.0,281.1,-3225.0,-9755.0,0,-930.0,-2080.0,1293.6,0,-98787.5,-72550.0,650.0,-26.0,125.0,268.8,1575.0,3425.0,
20000229,-1043.75,7231.25,-6.25,203.15,336.57,2749.85,-5987.5,-2500.0,0,1860.0,-5930.0,2179.8,700.0,29962.5,-90125.0,562.5,-26.0,-937.5,212.8,5587.5,940.0,
20000331,-231.25,7193.75,-562.5,1859.42,813.76,3593.5,-3100.0,-12970.0,0,1780.0,-4290.0,1188.6,570.0,-50.0,-143675.0,550.0,68.5,-2075.0,-291.2,3318.75,1995.0,
20000428,5831.25,2162.5,-643.75,1296.95,712.83,2468.5,-5712.5,-8035.0,0,2040.0,-2330.0,-1877.4,-160.0,-64925.0,-260875.0,12.5,55.5,-2412.5,481.6,3450.0,770.0,
20000531,4143.75,2162.5,2768.75,-62.05,-153.73,-313.35,-7712.5,-13875.0,0,650.0,7800.0,-3292.8,-1010.0,-21187.5,-280900.0,-137.5,20.0,-2262.5,1500.8,-1050.0,-560.0,
20000630,5325.0,2162.5,2387.5,-62.05,-213.59,-313.35,-10300.0,-20190.0,0,2150.0,9000.0,-1793.4,-2200.0,-21187.5,-330200.0,1325.0,20.0,-3137.5,2542.4,731.25,-560.0,
20000731,5325.0,2162.5,918.75,-1218.35,-213.59,-1875.95,-11400.0,-25355.0,0,860.0,3930.0,-4015.2,-2200.0,85050.0,-330200.0,2100.0,20.0,-3037.5,4692.8,-3956.25,375.0,
20000831,6568.75,281.25,1556.25,-468.33,247.98,-1219.75,-13425.0,-25555.0,0,-810.0,8140.0,365.4,-3350.0,68787.5,-322750.0,2075.0,20.0,-3012.5,4872.0,-3768.75,2085.0,
20000929,4100.0,-237.5,2112.5,-1062.05,732.35,-2062.95,-15837.5,-36795.0,0,-790.0,12180.0,88.2,-3790.0,132537.5,-322750.0,2075.0,20.0,-3012.5,4513.6,-5887.5,1680.0,
20001031,3718.75,168.75,331.25,-921.4,872.98,-3656.8,-14500.0,-40695.0,0,-790.0,10480.0,-2536.8,-3810.0,107512.5,-269275.0,2375.0,20.0,-3662.5,3169.6,-6656.25,-300.0,
20001130,-306.25,-1981.25,-0.0,203.65,2294.85,-4032.35,-13837.5,-33295.0,0,-1510.0,13070.0,-5586.0,-3800.0,82500.0,-240300.0,3100.0,20.0,-3937.5,2318.4,-6900.0,-560.0,
20001229,7287.5,1243.75,1812.5,2031.77,3747.98,-2063.6,-18375.0,-40075.0,0,3780.0,44930.0,-4393.2,-3770.0,79987.5,-240300.0,3662.5,20.0,-4312.5,2273.6,-6243.75,-780.0,
20010131,5518.75,2825.0,1193.75,1641.17,3365.8,-3969.95,-20112.5,-48055.0,0,2070.0,28380.0,-2499.0,-3910.0,77475.0,-212850.0,2875.0,20.0,-4312.5,1758.4,-9637.5,-445.0,
20010228,4175.0,2825.0,1250.0,1594.32,3921.12,-4877.45,-17487.5,-42040.0,0,2680.0,32210.0,-378.0,-4530.0,77462.5,-245375.0,3075.0,41.0,-4825.0,1881.6,-10968.75,200.0,
20010330,6018.75,9218.75,1250.0,1203.72,4374.24,-5002.5,-13850.0,-35580.0,0,3780.0,30260.0,-2520.0,-5080.0,36825.0,-135375.0,3087.5,45.0,-4637.5,3270.4,-12562.5,4280.0,
20010430,5006.25,6750.0,-368.75,2813.12,3679.56,-1283.75,-14862.5,-38400.0,0,440.0,32310.0,-6657.0,-5370.0,-687.5,-217900.0,2262.5,1.0,-4850.0,2374.4,-14362.5,1695.0,
20010531,10231.25,7593.75,-2068.75,2000.67,3969.25,-2565.1,-14862.5,-42380.0,0,-560.0,40120.0,-7946.4,-5160.0,-127412.5,-307975.0,2162.5,15.0,-6137.5,2374.4,-13800.0,2950.0,
20010629,8600.0,6093.75,-1712.5,172.62,3321.44,-5252.75,-14862.5,-44620.0,0,430.0,42840.0,-9004.8,-5160.0,-42425.0,-393000.0,875.0,8.0,-5687.5,2564.8,-16481.25,400.0,
20010731,7556.25,5162.5,-1712.5,-139.8,3861.14,-5879.2,-15900.0,-45285.0,0,-2600.0,40840.0,-9080.4,-5610.0,-12450.0,-343500.0,800.0,162.0,-5600.0,1814.4,-15431.25,-955.0,
20010831,11993.75,8093.75,-431.25,250.82,4376.76,-6066.8,-11887.5,-44155.0,0,-3670.0,44490.0,-8458.8,-5490.0,-37462.5,-357025.0,800.0,102.0,-5437.5,1523.2,-15131.25,-1630.0,
20010928,9206.25,5831.25,-1587.5,1016.5,5706.15,-7098.1,-7325.0,-38205.0,0,-3250.0,45850.0,-10176.6,-6390.0,-28712.5,-169525.0,800.0,102.0,-6837.5,2542.4,-15300.0,415.0,
20011031,8375.0,4756.25,-4456.25,3750.87,7378.02,-3223.15,-10450.0,-39930.0,0,-3470.0,45280.0,-10710.0,-6320.0,38787.5,-262025.0,1200.0,80.0,-6300.0,2419.2,-15131.25,2905.0,
20011130,6693.75,4043.75,-4937.5,1735.25,6785.53,-5816.95,-9187.5,-40095.0,0,-5190.0,45280.0,-8001.0,-6430.0,72525.0,-285550.0,975.0,80.0,-7487.5,2172.8,-19612.5,2505.0,
20011231,2787.5,9968.75,-5262.5,2110.27,7832.41,-4848.25,-9950.0,-40385.0,0,-6260.0,45280.0,-11344.2,-7150.0,-62300.0,-330025.0,625.0,58.0,-7587.5,2172.8,-19612.5,2505.0,
20020131,4581.25,12381.25,-5425.0,1391.55,7754.28,-5504.55,-12050.0,-40840.0,0,-8020.0,48390.0,-12692.4,-7210.0,-13562.5,-410675.0,625.0,22.5,-7175.0,2374.4,-20718.75,2505.0,
20020228,2112.5,11718.75,-6368.75,-172.0,6693.04,-5504.55,-10875.0,-38375.0,0,-6840.0,47570.0,-12549.6,-7040.0,-44812.5,-410675.0,375.0,22.5,-7262.5,3147.2,-22575.0,780.0,
