Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1003212.0
20000104,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,996925.0
20000105,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,997570.0
20000106,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,998629.0
20000107,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,997484.0
20000110,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,995432.0
20000111,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,998653.0
20000112,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,997525.0
20000113,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,967073.0
20000114,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,986210.0
20000118,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,988367.0
20000119,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1027951.0
20000120,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,956623.0
20000121,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,958886.0
20000124,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,909850.0
20000125,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,879656.0
20000126,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,848303.0
20000127,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,841213.0
20000128,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,869649.0
20000131,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,827965.0
20000201,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,845277.0
20000202,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,896264.0
20000203,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,884699.0
20000204,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,938179.0
20000207,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,805372.0
20000208,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,824195.0
20000209,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,817198.0
20000210,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,752619.0
20000211,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,762055.0
20000214,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,768426.0
20000215,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,809231.0
20000216,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,806285.0
20000217,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,787834.0
20000218,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,798523.0
20000222,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,806791.0
20000223,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,782095.0
20000224,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,828777.0
20000225,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,941097.0
20000228,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1017557.0
20000229,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,945970.0
20000301,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,920613.0
20000302,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,968265.0
20000303,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,912533.0
20000306,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,934925.0
20000307,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,952911.0
20000308,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,957136.0
20000309,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,928975.0
20000310,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,964754.0
20000313,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,965648.0
20000314,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,915430.0
20000315,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,866770.0
20000316,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,868511.0
20000317,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,869274.0
20000320,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,867017.0
20000321,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,869452.0
20000322,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,869932.0
20000323,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,872166.0
20000324,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,871664.0
20000327,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,872142.0
20000328,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,870778.0
20000329,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,888295.0
20000330,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,882275.0
20000331,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,855686.0
20000403,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,846991.0
20000404,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,788562.0
20000405,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,785490.0
20000406,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,812386.0
20000407,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,798904.0
20000410,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,789425.0
20000411,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,777539.0
20000412,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,786095.0
20000413,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,808219.0
20000414,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,840527.0
20000417,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,839898.0
20000418,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,780356.0
20000419,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,768332.0
20000420,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,759427.0
