EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,1075.0,0,0,875.0,1000.0,-2225.0,0,0,0,-840.0,0,-445.2,0,-38750.0,0,275.0,0,0,-100.8,0,120.0,
20000229,837.5,0,0,806.25,915.62,-2225.0,0,0,0,-780.0,0,-352.0,0,-45100.0,0,162.5,0,0,-111.2,0,-235.0,
20000331,837.5,0,0,806.25,915.62,-2225.0,0,0,0,-780.0,0,-352.0,0,-45100.0,0,162.5,0,0,-111.2,0,-235.0,
20000428,837.5,0,0,-412.5,-637.5,-4193.75,0,0,0,-780.0,0,-352.0,0,-45100.0,0,162.5,0,0,-111.2,0,-235.0,
20000531,837.5,0,0,-1465.62,-637.5,-6075.0,0,-1500.0,0,-780.0,10310.0,-352.0,0,-45100.0,0,162.5,0,0,1020.0,0,-235.0,
20000630,837.5,0,0,-1465.62,-637.5,-6075.0,0,-14710.0,0,-780.0,11510.0,-352.0,0,-45100.0,0,162.5,0,0,2061.6,0,-235.0,
20000731,837.5,0,0,-1465.62,-637.5,-6075.0,0,-14710.0,0,-780.0,2850.0,-352.0,0,-45100.0,0,512.5,0,0,4212.0,0,-235.0,
20000831,837.5,0,0,-1465.62,-637.5,-6075.0,0,-14710.0,0,-780.0,2850.0,-352.0,0,-45100.0,0,-300.0,0,-1687.5,4391.2,0,-235.0,
20000929,837.5,0,0,-1465.62,-637.5,-6075.0,0,-14710.0,0,-780.0,4860.0,-5240.8,0,-45100.0,0,-400.0,0,-1775.0,2846.4,0,-235.0,
20001031,837.5,0,0,-2106.25,-1043.75,-7450.0,0,-14710.0,0,-780.0,-50.0,-4812.4,0,-45100.0,0,-475.0,0,-1775.0,2846.4,0,-235.0,
20001130,837.5,0,0,221.88,378.12,-7237.5,1875.0,-3920.0,0,-780.0,-50.0,-4610.0,0,-45100.0,-6500.0,250.0,0,-1775.0,2846.4,0,-235.0,
20001229,837.5,0,0,2050.0,1831.25,-5268.75,1200.0,-810.0,0,-780.0,29700.0,-4610.0,0,-45100.0,55000.0,812.5,0,-1775.0,2846.4,0,-235.0,
20010131,-1625.0,1062.5,-2400.0,2409.38,2362.5,-5831.25,1300.0,-5540.0,0,-780.0,-8150.0,-4610.0,0,-45100.0,-57600.0,-200.0,0,-1775.0,2846.4,0,-235.0,
20010228,-3000.0,2450.0,-2937.5,3128.12,3331.25,-4612.5,1300.0,-5590.0,0,-780.0,-8150.0,-4610.0,0,-45100.0,-57600.0,-200.0,0,-1775.0,2846.4,0,1730.0,
20010330,-2975.0,9050.0,-2937.5,3075.0,3262.5,-5806.25,1300.0,720.0,0,-780.0,-8150.0,-4610.0,0,-45100.0,52400.0,-200.0,0,-1775.0,2846.4,0,5810.0,
20010430,-2975.0,7500.0,-2937.5,3075.0,3262.5,-5806.25,-5962.5,-4810.0,0,-780.0,-8150.0,-4610.0,0,-45100.0,20900.0,-200.0,0,-1775.0,1973.6,0,5285.0,
20010531,-2975.0,4725.0,-2937.5,3075.0,3262.5,-5743.75,-6925.0,-8640.0,0,-780.0,-8150.0,-4610.0,0,-45100.0,24800.0,-200.0,0,-1775.0,1973.6,0,7915.0,
20010629,-2975.0,4725.0,-2937.5,3075.0,3262.5,-8937.5,-6925.0,-8640.0,0,-780.0,-1110.0,-4610.0,0,-45100.0,24800.0,-200.0,0,-1775.0,1973.6,0,6950.0,
20010731,-2975.0,4725.0,-2937.5,3075.0,3262.5,-8937.5,-6925.0,-8640.0,0,-780.0,-3110.0,-4610.0,0,-23850.0,24800.0,-200.0,0,-1775.0,1973.6,0,6680.0,
20010831,-2975.0,4725.0,-2937.5,3075.0,3262.5,-8937.5,-6925.0,-8640.0,0,-780.0,6050.0,-4610.0,0,-35100.0,24800.0,-200.0,-119.5,-1775.0,1973.6,0,6680.0,
20010928,-2975.0,2850.0,-2937.5,3481.25,3262.5,-8937.5,-6925.0,-3620.0,0,-780.0,6950.0,-4610.0,300.0,52400.0,24800.0,-200.0,-243.0,-1775.0,2791.2,0,6680.0,
20011031,-2975.0,-37.5,-2937.5,6215.62,4653.12,-8937.5,-6925.0,-7500.0,0,-780.0,6950.0,-4374.8,-1570.0,119900.0,24800.0,-200.0,-243.0,-1775.0,2668.0,0,8780.0,
20011130,-2975.0,-37.5,-3662.5,1943.75,1787.5,-8937.5,-6925.0,-7510.0,0,-2670.0,6950.0,-1665.8,-1570.0,119800.0,24800.0,-200.0,-243.0,-1775.0,1940.8,0,5555.0,
20011231,-2975.0,4162.5,-3737.5,678.12,1787.5,-11000.0,-6925.0,-7510.0,0,-3070.0,6950.0,-1976.6,-1570.0,119800.0,24800.0,-200.0,-243.0,-1775.0,1940.8,0,5555.0,
20020131,-2975.0,6575.0,-3737.5,-56.25,1787.5,-12312.5,-6925.0,-7510.0,0,-3330.0,6950.0,-2568.0,-1570.0,119800.0,24800.0,-200.0,-243.0,-1775.0,1940.8,0,5555.0,
20020228,-2975.0,5912.5,-3737.5,-125.0,1787.5,-12350.0,-6925.0,-7510.0,0,-3330.0,6950.0,-2568.0,-1570.0,119800.0,24800.0,-200.0,-243.0,-1775.0,1940.8,0,5555.0,
20020328,-2975.0,1350.0,-3737.5,-125.0,1787.5,-12350.0,-6925.0,-7510.0,0,-3330.0,6950.0,-2568.0,-1570.0,106050.0,24800.0,-200.0,-243.0,-1775.0,1940.8,0,5555.0,
20020430,-2975.0,1375.0,-3737.5,-125.0,1787.5,-12350.0,-6925.0,-7510.0,0,-3330.0,8600.0,-2568.0,-1200.0,-15300.0,24800.0,-200.0,-243.0,-1775.0,1940.8,0,5555.0,
20020531,-25.0,1200.0,-4000.0,-125.0,1787.5,-12350.0,-7712.5,-7510.0,0,-3330.0,2820.0,-2568.0,630.0,-15300.0,24800.0,-125.0,-196.0,-1775.0,1940.8,0,5555.0,
20020628,7075.0,5037.5,350.0,-125.0,1787.5,-12350.0,-3837.5,-7510.0,0,-3330.0,2600.0,-2568.0,-730.0,-15300.0,-50200.0,-325.0,-213.0,-1775.0,1940.8,0,5555.0,
20020731,5375.0,4600.0,2462.5,1796.88,3396.88,-11256.25,87.5,-7410.0,0,-3330.0,2600.0,-2568.0,-1170.0,-15300.0,-67800.0,-325.0,-118.5,-1425.0,1940.8,0,5555.0,
20020830,6037.5,5412.5,1750.0,2968.75,4240.62,-7506.25,-137.5,-6990.0,-61100.0,-3330.0,2600.0,-2568.0,-1170.0,-15300.0,-67800.0,687.5,-98.0,375.0,1940.8,0,5555.0,
20020930,6125.0,3862.5,1600.0,7093.75,7350.0,-2943.75,4912.5,-7060.0,45200.0,-3330.0,6080.0,-1824.6,-1170.0,-15300.0,-67800.0,-137.5,-139.0,1700.0,1940.8,0,5555.0,
20021031,6125.0,3862.5,1600.0,3181.25,6803.12,-8918.75,700.0,-7060.0,-45600.0,-3330.0,6260.0,-1618.0,-1170.0,-15300.0,-67800.0,-237.5,-238.0,1987.5,1940.8,356.25,5555.0,
20021129,6125.0,3862.5,1600.0,3181.25,5312.5,-8918.75,700.0,-6140.0,-45600.0,-3330.0,6700.0,-1618.0,-1170.0,-15300.0,-67800.0,-237.5,-230.5,575.0,1705.6,2100.0,5555.0,
20021231,6125.0,3862.5,1600.0,3181.25,5312.5,-8918.75,700.0,-8740.0,-45600.0,-3880.0,6500.0,-836.8,-1170.0,-180400.0,-67800.0,-237.5,-302.5,575.0,1929.6,-1506.25,6035.0,
20030131,10425.0,3862.5,1600.0,3181.25,5312.5,-8918.75,700.0,-8740.0,-45600.0,-1570.0,9800.0,1851.2,340.0,-180400.0,-22800.0,-237.5,-402.5,1100.0,1874.4,-1506.25,6280.0,
20030228,11162.5,3862.5,-2012.5,3181.25,5312.5,-8918.75,700.0,-8740.0,-45600.0,1520.0,34760.0,7710.2,-1540.0,-207900.0,-177900.0,-237.5,-402.5,1612.5,1874.4,-1506.25,6280.0,
20030331,8062.5,3862.5,-2012.5,3181.25,5312.5,-8918.75,-3112.5,-8740.0,-129400.0,-3780.0,7250.0,-1088.0,-3210.0,-209250.0,-177900.0,-237.5,-402.5,1500.0,1874.4,-1506.25,6280.0,
20030430,8062.5,3862.5,-4912.5,3181.25,5312.5,-8918.75,-3112.5,-8740.0,-129400.0,-4380.0,7250.0,-1088.0,-3210.0,-209250.0,-177900.0,-237.5,-402.5,1500.0,1874.4,-1506.25,6280.0,
20030530,8062.5,3862.5,-5037.5,3181.25,5312.5,-8918.75,-2137.5,-8740.0,-129400.0,-4680.0,7250.0,-1088.0,-3210.0,-209250.0,-177900.0,-237.5,-402.5,1500.0,1594.4,-1506.25,6280.0,
20030630,8062.5,3862.5,-5837.5,1775.0,3750.0,-13075.0,-1637.5,-8740.0,-129400.0,-4680.0,7250.0,-1088.0,-3210.0,-209250.0,-177900.0,-237.5,-402.5,1500.0,2557.6,-1506.25,6280.0,
20030731,8062.5,3862.5,-8300.0,1018.75,3790.62,-12862.5,-837.5,-8840.0,-129400.0,-4680.0,7250.0,-1088.0,-3210.0,-209250.0,-177900.0,-237.5,-402.5,1500.0,1539.2,-1506.25,6280.0,
20030829,8062.5,3862.5,-8300.0,1925.0,5509.38,-13237.5,-962.5,-7580.0,-129400.0,-4680.0,7250.0,-1088.0,-3210.0,-209250.0,-177900.0,-237.5,-455.0,2625.0,1539.2,-1506.25,6280.0,
20030930,100.0,3862.5,-8300.0,-2981.25,1900.0,-19393.75,-962.5,-7700.0,-129400.0,-4680.0,7250.0,-1088.0,-3210.0,-209250.0,-276900.0,-237.5,-542.5,1587.5,1539.2,-1506.25,6280.0,
20031031,100.0,3862.5,-8087.5,-3034.38,1831.25,-19493.75,-962.5,-7700.0,-129400.0,-4680.0,7250.0,-1088.0,-3210.0,-209250.0,-433000.0,-275.0,-503.5,1487.5,1539.2,-1506.25,10570.0,
20031128,100.0,3862.5,-6156.25,-3034.38,1831.25,-19493.75,-962.5,-7700.0,-129400.0,-4680.0,7250.0,-1088.0,-3210.0,-283000.0,-433000.0,-200.0,-442.5,1487.5,1539.2,-1506.25,5730.0,
20031231,100.0,3862.5,-6256.25,-3034.38,1831.25,-19493.75,-962.5,-7700.0,-129400.0,-4680.0,7250.0,-1088.0,-3210.0,45750.0,-433000.0,-187.5,-416.0,-925.0,1539.2,-1506.25,5730.0,
20040130,-1887.5,3862.5,-4975.0,-3034.38,1831.25,-19493.75,-875.0,-7700.0,-129400.0,-6530.0,-7080.0,-4002.8,-5650.0,295750.0,-563000.0,437.5,-344.5,-925.0,1539.2,-1506.25,5730.0,
20040227,-1375.0,3862.5,-2056.25,-3034.38,1831.25,-19493.75,-150.0,-7700.0,-129400.0,-6830.0,-7150.0,-5598.0,-6330.0,797000.0,-330500.0,1775.0,-106.5,-925.0,554.4,-1506.25,5730.0,
20040331,-1462.5,-1062.5,-6775.0,-3034.38,1831.25,-19493.75,-2187.5,-7700.0,-129400.0,-6830.0,-7150.0,-5598.0,-6330.0,832000.0,284500.0,2625.0,-196.5,-925.0,-654.4,-1506.25,6955.0,
20040430,-1462.5,-6650.0,-6775.0,-3034.38,1831.25,-19493.75,-2187.5,-7700.0,-129400.0,-6830.0,-7150.0,-5598.0,-6330.0,511900.0,-603100.0,2637.5,-144.0,-925.0,-654.4,-1506.25,8325.0,
20040528,-1462.5,-8437.5,-6775.0,-1346.88,1831.25,-18556.25,-2187.5,-7700.0,-129400.0,-6830.0,-7150.0,-5598.0,-6330.0,511900.0,-603100.0,1487.5,-240.5,-925.0,-654.4,-1506.25,7410.0,
20040630,-1462.5,-9837.5,-6775.0,-2300.0,1831.25,-19712.5,-2187.5,-7700.0,-129400.0,-6830.0,-11700.0,-5598.0,-6330.0,511900.0,-603100.0,1487.5,-205.0,-925.0,-654.4,-1506.25,7280.0,
20040730,-1462.5,-9837.5,-6775.0,-2634.38,1831.25,-21312.5,-2187.5,-7700.0,-129400.0,-6830.0,-12650.0,-5598.0,-6330.0,511900.0,-603100.0,1487.5,72.0,-925.0,-654.4,-1506.25,11030.0,
