Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501750.0
20000104,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500188.0
20000105,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502188.0
20000106,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500969.0
20000107,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499844.0
20000110,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500672.0
20000111,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502828.0
20000112,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503359.0
20000113,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,480500.0
20000114,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,496569.0
20000118,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,507678.0
20000119,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,550075.0
20000120,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,527850.0
20000121,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,530403.0
20000124,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,484731.0
20000125,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,452482.0
20000126,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,449071.0
20000127,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,455376.0
20000128,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,430603.0
20000131,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,460984.0
20000201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453919.0
20000403,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454012.0
20000404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454762.0
20000405,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454372.0
20000406,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454028.0
20000407,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455294.0
20000410,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455903.0
20000411,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453981.0
20000412,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452419.0
20000413,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453512.0
20000414,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454184.0
20000417,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451903.0
20000418,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451606.0
20000419,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453278.0
20000420,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453216.0
20000424,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452825.0
20000425,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450997.0
20000426,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450809.0
20000427,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448794.0
20000428,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449178.0
20000501,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,448839.0
20000502,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,447787.0
