CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100129,0,3112.5,0,337.5,0,0,-1630.0,2184.0,0,0,
20100226,0,2987.5,0,125.0,0,0,-1900.0,2084.0,0,0,
20100331,0,2987.5,0,125.0,0,0,-1900.0,2084.0,0,0,
20100430,0,2987.5,0,125.0,0,0,-1900.0,3808.8,0,0,
20100528,0,2987.5,0,125.0,0,0,-1900.0,4884.0,0,0,
20100630,0,3537.5,0,7531.25,-5810.0,0,-1900.0,2040.0,0,2734.38,
20100730,0,-5100.0,0,11450.0,-7940.0,0,-1900.0,3361.6,0,4000.0,
20100831,0,-5100.0,0,11637.5,-7940.0,-1837.5,-1900.0,3563.2,0,6625.0,
20100930,0,-5100.0,0,13362.5,-7940.0,3000.0,-1900.0,8950.4,0,7046.88,
20101029,0,-5100.0,0,12381.25,-7940.0,8912.5,-1900.0,15267.2,3195.0,7281.25,
20101130,0,-5100.0,-830.0,10525.0,-7940.0,9262.5,-1900.0,13508.8,21210.0,7181.25,
20101231,0,-5100.0,2700.0,25262.5,-7940.0,16762.5,-1900.0,18627.2,34835.0,7181.25,
20110131,0,-5100.0,-5390.0,26875.0,-7940.0,17262.5,-1900.0,20699.2,14325.0,7181.25,
20110228,0,-5100.0,-5440.0,27056.25,-7940.0,11362.5,-3730.0,20599.2,14325.0,7181.25,
20110331,0,-5100.0,-5440.0,20212.5,-7940.0,11362.5,-4650.0,20599.2,14325.0,7181.25,
20110429,0,-5100.0,-5440.0,20618.75,-7940.0,11362.5,-4650.0,20599.2,14325.0,7181.25,
20110531,0,-5100.0,-5440.0,7056.25,-7940.0,11362.5,-4650.0,19490.4,14325.0,7181.25,
20110630,-2250.0,-5100.0,-5440.0,2312.5,-12880.0,11362.5,-7990.0,17553.6,14325.0,5665.62,
20110729,-2210.0,-5100.0,-5440.0,12081.25,-12880.0,11362.5,-7990.0,20420.8,14325.0,9025.0,
20110831,-2810.0,-5100.0,-5440.0,3487.5,-12880.0,11362.5,-7990.0,20275.2,14325.0,13337.5,
20110930,-2370.0,-5100.0,-30140.0,-5800.0,-12880.0,11362.5,-7990.0,17957.6,-17490.0,14400.0,
20111031,-14770.0,-15475.0,-30140.0,-5068.75,-14210.0,11362.5,-7990.0,17957.6,-38845.0,11471.88,
20111130,-14770.0,-15475.0,-30140.0,-4962.5,-14310.0,11362.5,-7990.0,17957.6,-30610.0,11471.88,
20111230,-14770.0,-15475.0,-30140.0,-4962.5,-11290.0,11362.5,-7990.0,17957.6,-30710.0,11268.75,
20120131,-14770.0,-19062.5,-30140.0,-4962.5,-6030.0,11362.5,-7990.0,17957.6,-30710.0,10653.12,
20120229,-13710.0,-22725.0,-30140.0,-4962.5,-5760.0,11362.5,-7990.0,17957.6,-30710.0,10653.12,
20120330,-13810.0,-22725.0,-30140.0,-987.5,-5860.0,14662.5,-7990.0,17128.8,-30710.0,10653.12,
20120430,-13810.0,-22725.0,-30140.0,962.5,-5860.0,19950.0,-6490.0,15528.0,-30710.0,10653.12,
20120531,-2640.0,-22725.0,-30140.0,8050.0,-5860.0,12950.0,-7840.0,17320.0,-30710.0,10653.12,
20120629,-740.0,-22725.0,-30140.0,4956.25,-5860.0,12950.0,-8510.0,14990.4,-30710.0,10653.12,
20120731,-3540.0,-22725.0,-30140.0,1725.0,-2890.0,12950.0,-8510.0,14397.6,-30710.0,10653.12,
20120831,-7630.0,-22725.0,-30140.0,1725.0,-7400.0,14262.5,-8510.0,14397.6,-30710.0,10653.12,
20120928,-7630.0,-22725.0,-30140.0,1725.0,-7400.0,6487.5,-8510.0,14397.6,-30710.0,10653.12,
20121031,-7630.0,-22725.0,-30140.0,1725.0,-7400.0,4325.0,-8510.0,14397.6,-30710.0,10653.12,
20121130,-11460.0,-22725.0,-30140.0,1725.0,-7400.0,4325.0,-8510.0,14397.6,-30710.0,10653.12,
20121231,-11500.0,-22725.0,-30140.0,1725.0,-7400.0,4325.0,-8510.0,14397.6,-30710.0,10653.12,
20130131,-11500.0,-22725.0,-30500.0,1725.0,-7400.0,4325.0,-8510.0,14397.6,-40835.0,10653.12,
20130228,-11500.0,-29375.0,-30920.0,1725.0,-7400.0,4325.0,-8510.0,14397.6,-40835.0,10653.12,
20130329,-11500.0,-29825.0,-32440.0,1725.0,-7400.0,4325.0,-8460.0,14397.6,-39825.0,10653.12,
20130430,-17250.0,-29875.0,-20080.0,1725.0,-5970.0,4325.0,-9060.0,14397.6,-18925.0,10653.12,
