Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,0,0,0,0,0,0,0,0,0,0,500000
20100105,0,0,0,0,0,0,0,0,0,0,500000
20100106,0,0,0,0,0,0,0,0,0,0,500000
20100107,0,0,0,0,0,0,0,0,0,0,500000
20100108,0,0,0,0,0,0,0,0,0,0,500000
20100111,0,0,0,0,0,0,0,0,0,0,500000
20100112,0,0,0,0,0,0,0,0,0,0,500000
20100113,0,0,0,0,0,0,0,0,0,0,500000
20100114,0,0,0,0,0,0,0,1,0,0,499787.0
20100115,0,0,0,0,0,0,0,1,0,0,499630.0
20100119,0,0,0,0,0,0,0,1,0,0,501154.0
20100120,0,0,0,0,0,0,1,1,0,0,501419.0
20100121,0,1,0,0,0,0,1,1,0,0,501657.0
20100122,0,1,0,0,0,0,1,1,0,0,500275.0
20100125,0,1,0,0,0,0,1,1,0,0,500554.0
20100126,0,1,0,0,0,0,1,1,0,0,500387.0
20100127,0,1,0,0,0,0,1,1,0,0,499884.0
20100128,0,1,0,0,0,0,1,1,0,0,501428.0
20100129,0,1,0,1,0,0,1,1,0,0,504004.0
20100201,0,0,0,0,0,0,0,0,0,0,503296.0
20100202,0,0,0,0,0,0,0,0,0,0,503296.0
20100203,0,0,0,0,0,0,0,0,0,0,503296.0
20100204,0,0,0,0,0,0,0,0,0,0,503296.0
20100205,0,0,0,0,0,0,0,0,0,0,503296.0
20100208,0,0,0,0,0,0,0,0,0,0,503296.0
20100209,0,0,0,0,0,0,0,0,0,0,503296.0
20100210,0,0,0,0,0,0,0,0,0,0,503296.0
20100211,0,0,0,0,0,0,0,0,0,0,503296.0
20100212,0,0,0,0,0,0,0,0,0,0,503296.0
20100216,0,0,0,0,0,0,0,0,0,0,503296.0
20100217,0,0,0,0,0,0,0,0,0,0,503296.0
20100218,0,0,0,0,0,0,0,0,0,0,503296.0
20100219,0,0,0,0,0,0,0,0,0,0,503296.0
20100222,0,0,0,0,0,0,0,0,0,0,503296.0
20100223,0,0,0,0,0,0,0,0,0,0,503296.0
20100224,0,0,0,0,0,0,0,0,0,0,503296.0
20100225,0,0,0,0,0,0,0,0,0,0,503296.0
20100226,0,0,0,0,0,0,0,0,0,0,503296.0
20100301,0,0,0,0,0,0,0,0,0,0,503296.0
20100302,0,0,0,0,0,0,0,0,0,0,503296.0
20100303,0,0,0,0,0,0,0,0,0,0,503296.0
20100304,0,0,0,0,0,0,0,0,0,0,503296.0
20100305,0,0,0,0,0,0,0,0,0,0,503296.0
20100308,0,0,0,0,0,0,0,0,0,0,503296.0
20100309,0,0,0,0,0,0,0,0,0,0,503296.0
20100310,0,0,0,0,0,0,0,0,0,0,503296.0
20100311,0,0,0,0,0,0,0,0,0,0,503296.0
20100312,0,0,0,0,0,0,0,0,0,0,503296.0
20100315,0,0,0,0,0,0,0,0,0,0,503296.0
20100316,0,0,0,0,0,0,0,0,0,0,503296.0
20100317,0,0,0,0,0,0,0,0,0,0,503296.0
20100318,0,0,0,0,0,0,0,0,0,0,503296.0
20100319,0,0,0,0,0,0,0,0,0,0,503296.0
20100322,0,0,0,0,0,0,0,0,0,0,503296.0
20100323,0,0,0,0,0,0,0,0,0,0,503296.0
20100324,0,0,0,0,0,0,0,0,0,0,503296.0
20100325,0,0,0,0,0,0,0,0,0,0,503296.0
20100326,0,0,0,0,0,0,0,0,0,0,503296.0
20100329,0,0,0,0,0,0,0,0,0,0,503296.0
20100330,0,0,0,0,0,0,0,0,0,0,503296.0
20100331,0,0,0,0,0,0,0,0,0,0,503296.0
20100401,0,0,0,0,0,0,0,1,0,0,503184.0
20100402,0,0,0,0,0,0,0,1,0,0,503184.0
20100405,0,0,0,0,0,0,0,1,0,0,503520.0
20100406,0,0,0,0,0,0,0,1,0,0,504092.0
20100407,0,0,0,0,0,0,0,1,0,0,503789.0
20100408,0,0,0,0,0,0,0,1,0,0,504058.0
20100409,0,0,0,0,0,0,0,1,0,0,503532.0
20100412,0,0,0,0,0,0,0,1,0,0,503364.0
20100413,0,0,0,0,0,0,0,1,0,0,502871.0
20100414,0,0,0,0,0,0,0,1,0,0,502255.0
20100415,0,0,0,0,0,0,0,1,0,0,503016.0
20100416,0,0,0,0,0,0,0,1,0,0,504024.0
20100419,0,0,0,0,0,0,0,1,0,0,502949.0
20100420,0,0,0,0,0,0,0,1,0,0,503453.0
20100421,0,0,0,0,0,0,0,1,0,0,503352.0
20100422,0,0,0,0,0,0,0,1,0,0,503890.0
20100423,0,0,0,0,0,0,0,1,0,0,504349.0
20100426,0,0,0,0,0,0,0,1,0,0,504237.0
20100427,0,0,0,0,0,0,0,1,0,0,504775.0
20100428,0,0,0,0,0,0,0,1,0,0,505346.0
20100429,0,0,0,0,0,0,0,1,0,0,504864.0
20100430,0,0,0,0,0,0,0,1,0,0,505021.0
20100503,0,0,0,0,0,0,0,1,0,0,505212.0
20100504,0,0,0,0,0,0,0,1,0,0,505738.0
20100505,0,0,0,0,0,0,0,1,0,0,505850.0
20100506,0,0,0,0,0,0,0,1,0,0,506679.0
20100507,0,0,0,0,0,0,0,1,0,0,506589.0
20100510,0,0,0,0,0,0,0,1,0,0,506108.0
20100511,0,0,0,0,0,0,0,1,0,0,506410.0
20100512,0,0,0,0,0,0,0,1,0,0,505559.0
20100513,0,0,0,0,0,0,0,1,0,0,505570.0
20100514,0,0,0,0,0,0,0,1,0,0,506164.0
20100517,0,0,0,0,0,0,0,1,0,0,506432.0
20100518,0,0,0,0,0,0,0,1,0,0,505413.0
20100519,0,0,0,0,0,0,0,1,0,0,505268.0
20100520,0,0,0,0,0,0,0,1,0,0,505200.0
20100521,0,0,0,0,0,0,0,1,0,0,504461.0
20100524,0,0,0,0,0,0,0,1,0,0,504976.0
20100525,0,0,0,0,0,0,0,1,0,0,504909.0
20100526,0,0,0,0,0,0,0,1,0,0,504786.0
20100527,0,0,0,0,0,0,0,1,0,0,505279.0
20100528,0,0,0,0,0,0,0,1,0,0,506096.0
20100601,0,1,0,0,0,0,0,1,0,1,506589.0
20100602,0,1,0,0,0,0,0,1,0,1,506523.0
20100603,0,1,0,0,0,0,0,1,0,1,507411.0
20100604,0,1,0,0,0,0,0,1,0,1,510549.0
20100607,0,1,0,0,0,0,0,1,0,1,511462.0
20100608,0,1,0,0,0,0,0,1,0,1,511017.0
20100609,0,1,0,0,0,0,0,1,0,1,509782.0
20100610,0,1,0,0,0,0,0,1,0,1,506817.0
20100611,0,1,0,0,0,0,0,1,0,1,507228.0
20100614,0,1,0,1,0,0,0,1,0,1,507226.0
20100615,0,1,0,1,0,0,0,1,0,1,508477.0
20100616,0,1,0,1,1,0,0,1,0,1,506964.0
20100617,0,1,0,1,1,0,0,1,0,1,508411.0
20100618,0,1,0,1,1,0,0,1,0,1,508265.0
20100621,0,1,0,1,1,0,0,1,0,1,506725.0
20100622,0,1,0,1,1,0,0,1,0,1,506687.0
20100623,0,1,0,1,1,0,0,1,0,1,506894.0
20100624,0,1,0,1,1,0,0,1,0,1,508733.0
20100625,0,1,0,1,1,0,0,0,0,1,509322.0
20100628,0,1,0,1,1,0,0,0,0,1,509191.0
20100629,0,1,0,1,1,0,0,0,0,1,506850.0
20100630,0,1,0,1,1,0,0,0,0,1,508133.0
20100701,0,1,0,1,1,0,0,0,0,1,507926.0
20100702,0,1,0,1,1,0,0,0,0,1,504202.0
20100706,0,1,0,1,1,0,0,0,0,1,501143.0
20100707,0,1,0,1,1,0,0,0,0,1,501551.0
20100708,0,1,0,1,1,0,0,0,0,1,498516.0
20100709,0,1,0,1,0,0,0,0,0,1,499716.0
20100712,0,1,0,1,0,0,0,0,0,1,500328.0
20100713,0,1,0,1,0,0,0,0,0,1,499088.0
20100714,0,1,0,1,0,0,0,0,0,1,498934.0
20100715,0,1,0,1,0,0,0,0,0,1,497931.0
20100716,0,0,0,1,0,0,0,0,0,1,498472.0
20100719,0,0,0,1,0,0,0,0,0,1,497081.0
20100720,0,0,0,1,0,0,0,0,0,1,495316.0
20100721,0,0,0,1,0,0,0,0,0,1,495112.0
20100722,0,0,0,1,0,0,0,0,0,1,496434.0
20100723,0,0,0,1,0,0,0,1,0,1,497401.0
20100726,0,0,0,1,0,0,0,1,0,1,497717.0
20100727,0,0,0,1,0,0,0,1,0,1,496393.0
20100728,0,0,0,1,0,0,0,1,0,1,498797.0
20100729,0,0,0,1,0,0,0,1,0,1,501856.0
20100730,0,0,0,1,0,0,0,1,0,1,503872.0
20100802,0,0,0,1,0,0,0,1,0,1,501866.0
20100803,0,0,0,1,0,0,0,1,0,1,499327.0
20100804,0,0,0,1,0,0,0,1,0,1,500455.0
20100805,0,0,0,1,0,0,0,1,0,1,500097.0
20100806,0,0,0,1,0,0,0,1,0,1,499810.0
20100809,0,0,0,1,0,0,0,1,0,1,500001.0
20100810,0,0,0,1,0,0,0,1,0,1,501419.0
20100811,0,0,0,1,0,0,0,1,0,1,502101.0
20100812,0,0,0,1,0,0,0,1,0,1,504581.0
20100813,0,0,0,1,0,0,0,1,0,1,505338.0
20100816,0,0,0,1,0,1,0,1,0,1,506325.0
20100817,0,0,0,1,0,1,0,1,0,1,505799.0
20100818,0,0,0,1,0,1,0,1,0,1,505296.0
20100819,0,0,0,1,0,1,0,1,0,1,505349.0
20100820,0,0,0,1,0,1,0,1,0,1,507028.0
20100823,0,0,0,1,0,1,0,1,0,1,506500.0
20100824,0,0,0,1,0,1,0,1,0,1,501426.0
20100825,0,0,0,1,0,1,0,1,0,1,500127.0
20100826,0,0,0,1,0,1,0,1,0,1,502398.0
20100827,0,0,0,1,0,1,0,1,0,1,505008.0
20100830,0,0,0,1,0,1,0,1,0,1,506503.0
20100831,0,0,0,1,0,1,0,1,0,1,505048.0
20100901,0,0,0,1,0,1,0,1,0,1,506286.0
20100902,0,0,0,1,0,1,0,1,0,1,507507.0
20100903,0,0,0,1,0,1,0,1,0,1,508828.0
20100907,0,0,0,1,0,1,0,1,0,1,513465.0
20100908,0,0,0,1,0,1,0,1,0,1,513661.0
20100909,0,0,0,1,0,1,0,1,0,1,512444.0
20100910,0,0,0,1,0,1,0,1,0,1,511458.0
20100913,0,0,0,1,0,1,0,1,0,1,512588.0
20100914,0,0,0,1,0,1,0,1,0,1,516618.0
20100915,0,0,0,1,0,1,0,1,0,1,515682.0
20100916,0,0,0,1,0,1,0,1,0,1,514946.0
20100917,0,0,0,1,0,1,0,1,0,1,516026.0
20100920,0,0,0,1,0,1,0,1,0,1,513952.0
20100921,0,0,0,1,0,1,0,1,0,1,514492.0
