EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,43925.0,0,0,875.0,1000.0,-1932.35,-4825.0,-2750.0,0,-6630.0,-8870.0,48988.8,0,-12500.0,0,98000.0,-53928.0,0,13977.6,0,112750.0,
20000229,62475.0,90600.0,38137.5,-1039.55,765.62,-1932.35,-46900.0,11020.0,0,135660.0,-8870.0,91526.4,-296380.0,-89012.5,-152000.0,147000.0,-294970.0,-155925.0,114150.4,0,140220.0,
20000331,85225.0,-95000.0,-11137.5,808.62,-70.62,28247.25,-102250.0,14150.0,0,-4845.0,34870.0,19766.4,-349670.0,-89012.5,-120500.0,294000.0,-299102.0,-155925.0,-12188.8,0,124230.0,
20000428,254975.0,-95000.0,-59737.5,-65566.38,-111116.33,-21252.75,-179675.0,-56565.0,0,-101865.0,140710.0,19766.4,-349670.0,-142762.5,-221400.0,245000.0,-330510.0,-217125.0,87244.8,-64500.0,49200.0,
20000531,168175.0,-95000.0,128975.0,-112230.95,-111116.33,-100672.75,-179675.0,1635.0,0,-221180.0,796810.0,19766.4,-349670.0,-188687.5,-298800.0,211312.5,-517750.0,-227925.0,283950.4,-136000.0,49200.0,
20000630,117950.0,-163512.5,49925.0,-112230.95,-111116.33,-100672.75,-179675.0,-67215.0,0,-221180.0,861610.0,27931.2,-349670.0,-188687.5,-368775.0,322437.5,-517750.0,-307125.0,484979.2,-89425.0,-103680.0,
20000731,117950.0,-201575.0,118900.0,-112230.95,-111116.33,-100672.75,-179675.0,-67215.0,0,-221180.0,439600.0,-87434.4,-349670.0,-167437.5,-368775.0,420862.5,-517750.0,-323812.5,900006.4,-363431.25,-135030.0,
20000831,108600.0,-201575.0,129425.0,-112230.95,-111116.33,-100672.75,-179675.0,-67215.0,0,-233650.0,439600.0,261081.6,-349670.0,-116187.5,-406125.0,317675.0,-517750.0,-406137.5,934592.0,-359287.5,-40980.0,
20000929,117125.0,-201575.0,64425.0,-166224.55,-111116.33,-100672.75,-293737.5,-67215.0,0,-284255.0,488730.0,168244.8,-349670.0,-52437.5,-406125.0,300212.5,-517750.0,-406137.5,717930.2,-380325.0,-118530.0,
20001031,212275.0,-201575.0,54425.0,-135224.55,-136852.79,-151928.9,-276862.5,-25860.0,0,-383455.0,402285.0,183667.2,-305600.0,-163637.5,-375525.0,295662.5,-499706.0,-554650.0,717930.2,-390950.0,-118805.0,
20001130,154800.0,-161337.5,54425.0,-98608.65,20975.33,-123858.95,-128425.0,112740.0,0,-347615.0,511635.0,73638.6,-383570.0,-232387.5,-365525.0,427612.5,-756334.0,-554650.0,632029.2,-384762.5,-135965.0,
20001229,246000.0,-42012.5,75987.5,14735.1,182272.21,-49046.45,-145300.0,140730.0,0,-268465.0,989535.0,25385.6,-394305.0,-307987.5,-304025.0,529987.5,-844750.0,-544500.0,632029.2,-315575.0,-254765.0,
20010131,225812.5,41237.5,2112.5,37016.35,241240.96,-70421.45,-191862.5,98160.0,0,-401720.0,487410.0,108104.6,-394305.0,-456837.5,-369950.0,357087.5,-844750.0,-606850.0,632029.2,-295325.0,-260090.0,
20010228,199687.5,92575.0,2112.5,81578.85,348772.21,-120011.45,-130962.5,223800.0,0,-401720.0,487410.0,139919.6,-528740.0,-490275.0,-354575.0,357087.5,-800183.5,-606850.0,638883.6,-319512.5,27815.0,
20010330,174037.5,336775.0,3393.75,98047.6,399069.08,-200567.65,-25475.0,281940.0,0,-401720.0,487410.0,143006.6,-528740.0,-475000.0,-244575.0,352462.5,-790547.5,-596962.5,780541.2,-334887.5,317495.0,
20010430,138243.75,279425.0,-30431.25,60233.55,274300.64,-130413.75,-168300.0,232170.0,0,-401720.0,487410.0,86183.6,-528740.0,-507500.0,-276075.0,313150.0,-965200.0,-695837.5,600919.2,-413950.0,280220.0,
20010531,258418.75,185306.25,3393.75,22002.05,233050.64,-99601.25,-168300.0,215070.0,0,-401720.0,522930.0,86183.6,-597750.0,-554650.0,-456000.0,449587.5,-965200.0,-695837.5,600919.2,-413950.0,466950.0,
20010629,251806.25,185306.25,19793.75,-53120.15,121903.78,-197160.85,-168300.0,215070.0,0,-412520.0,719250.0,-42020.0,-597750.0,-503662.5,-456000.0,354775.0,-965200.0,-734237.5,600919.2,-481937.5,398435.0,
20010731,184818.75,117706.25,-3268.75,-50179.12,119181.82,-194208.85,-168300.0,215070.0,0,-501495.0,671250.0,-54720.8,-597750.0,-426162.5,-452975.0,366325.0,-707297.5,-791312.5,624573.6,-361581.25,380685.0,
20010831,204975.0,135593.75,17425.0,-31819.75,156306.82,-153208.85,-115000.0,262170.0,0,-543190.0,891090.0,-108928.8,-652250.0,-437412.5,-443975.0,455425.0,-932320.0,-840325.0,626724.0,-405681.25,380685.0,
20010928,200912.5,45068.75,52362.5,75399.0,318306.82,-234968.85,3625.0,381170.0,0,-624900.0,923730.0,-236992.6,-759505.0,-349912.5,-407950.0,338275.0,-1016575.0,-962837.5,764349.6,-294512.5,500370.0,
20011031,148412.5,-4731.25,-30412.5,203914.63,438681.82,-107506.25,-18475.0,303570.0,0,-532650.0,793530.0,-159523.6,-936590.0,-282412.5,-583025.0,316825.0,-1016575.0,-950687.5,752522.4,-213662.5,697080.0,
20011130,148412.5,-4731.25,-59168.75,33030.85,246521.02,-270883.05,-105575.0,261270.0,0,-461310.0,793530.0,-75544.6,-936590.0,-297850.0,-583025.0,316825.0,-1016575.0,-1041137.5,677008.8,-309518.75,444280.0,
20011231,89762.5,212393.75,-118562.5,21990.05,195660.34,-266949.3,-105575.0,261270.0,0,-477710.0,793530.0,-85179.4,-936590.0,-474037.5,-583025.0,316825.0,-1016575.0,-1041137.5,677008.8,-309518.75,444280.0,
20020131,143531.25,320956.25,-114912.5,-1509.95,183660.34,-299761.8,-105575.0,261270.0,0,-552535.0,737760.0,-56926.0,-936590.0,-432125.0,-583025.0,316825.0,-1016575.0,-1110137.5,677008.8,-430268.75,444280.0,
20020228,65156.25,291143.75,-231256.25,-42802.75,137176.06,-335553.05,-170150.0,284230.0,0,-552535.0,652350.0,-92985.2,-806390.0,-464625.0,-583025.0,108375.0,-1016575.0,-1110137.5,759160.8,-581993.75,444280.0,
20020328,-21468.75,147425.0,-231256.25,-5310.25,189029.8,-313194.35,-220375.0,121870.0,0,-308355.0,713385.0,82495.0,-704090.0,-357125.0,-583025.0,108375.0,-1055014.5,-1110137.5,715346.4,-394793.75,382055.0,
20020430,1500.0,160900.0,-194131.25,-159526.75,24255.72,-453400.85,-216787.5,184270.0,31400.0,-251515.0,913065.0,127023.4,-618840.0,-470462.5,-700375.0,89375.0,-1073571.5,-1138875.0,819405.6,-594181.25,222155.0,
20020531,201787.5,315250.0,-186256.25,-159526.75,24255.72,-453400.85,-196800.0,251950.0,34100.0,-398545.0,687645.0,-14450.6,-335190.0,-473862.5,-552725.0,-90162.5,-759428.0,-1203912.5,694841.0,-594181.25,109570.0,
20020628,549687.5,529012.5,205243.75,-178876.07,-1072.28,-512342.95,-37925.0,401230.0,101600.0,-398545.0,669900.0,-14450.6,-545990.0,-523137.5,-646225.0,28637.5,-804495.0,-1135600.0,599770.2,-594181.25,561450.0,
20020731,466387.5,507575.0,395368.75,53998.93,289552.72,-367155.45,123000.0,487150.0,154100.0,-398545.0,666930.0,-100540.6,-552965.0,-453137.5,-679575.0,202487.5,-553975.5,-988600.0,345916.2,-594181.25,507370.0,
20020830,498850.0,547387.5,331243.75,134858.3,373927.72,-194655.45,113775.0,507310.0,161300.0,-381445.0,579315.0,16345.4,-552965.0,-489387.5,-697450.0,455637.5,-499630.0,-736600.0,189404.0,-586493.75,402330.0,
20020930,439131.25,480318.75,193431.25,419483.3,684865.22,15219.55,320825.0,610990.0,267600.0,-297655.0,693275.0,118447.4,-589445.0,-415637.5,-737450.0,254337.5,-608321.0,-551100.0,208556.0,-546518.75,286370.0,
20021031,439131.25,440325.0,193431.25,147040.25,381533.72,-234555.85,170150.0,507070.0,185865.0,-414220.0,697235.0,-34463.6,-675365.0,-493450.0,-715950.0,248237.5,-691800.5,-510850.0,404332.0,-194431.25,286370.0,
20021129,408131.25,394762.5,113793.75,135555.88,365908.72,-234555.85,170150.0,550080.0,185865.0,-458510.0,706915.0,-34463.6,-675365.0,-423450.0,-736825.0,248237.5,-619214.0,-692850.0,414972.0,-51443.75,338200.0,
20021231,615831.25,394325.0,154375.0,48853.0,266485.72,-323794.45,170150.0,461680.0,185865.0,-542895.0,836495.0,20438.8,-449585.0,-552225.0,-667475.0,248237.5,-796387.5,-612900.0,457532.0,-370218.75,373970.0,
20030131,718518.75,352762.5,261337.5,48853.0,266485.72,-323794.45,170150.0,472730.0,185865.0,-418155.0,1016015.0,122582.8,-228045.0,-505975.0,-643475.0,140687.5,-796387.5,-595350.0,676716.0,-370218.75,417770.0,
20030228,741381.25,254287.5,116750.0,37054.0,227413.09,-284864.4,171800.0,472730.0,191845.0,-251295.0,1565135.0,345224.8,-427325.0,-671262.5,-758300.0,48325.0,-957321.0,-555375.0,636284.0,-370218.75,634215.0,
20030331,630168.75,182887.5,49831.25,-58469.6,109020.92,-405485.85,95900.0,472730.0,120775.0,-478905.0,988405.0,101044.4,-474495.0,-745700.0,-780125.0,-130362.5,-1071487.5,-463725.0,512366.0,-373875.0,613045.0,
20030430,659181.25,182887.5,-1500.0,-58469.6,109020.92,-405485.85,95900.0,477980.0,120775.0,-458745.0,988405.0,101044.4,-600455.0,-745700.0,-866450.0,-212712.5,-1094347.5,-448125.0,512366.0,-451943.75,538585.0,
20030530,830781.25,122250.0,-22875.0,45465.4,201805.67,-286511.45,147200.0,568980.0,150115.0,-564025.0,988405.0,101044.4,-645680.0,-745700.0,-866450.0,-210025.0,-1085203.5,-596662.5,479169.2,-564031.25,507005.0,
20030630,744431.25,122250.0,3000.0,-4534.6,161868.17,-346511.45,165200.0,574480.0,171115.0,-604205.0,988405.0,101044.4,-645680.0,-745700.0,-866450.0,-260375.0,-1147687.5,-673537.5,629428.4,-564031.25,346040.0,
20030731,681731.25,122250.0,-98531.25,18223.4,152017.97,-315872.65,194000.0,648980.0,221115.0,-604205.0,988025.0,4737.2,-645680.0,-692862.5,-734825.0,-134350.0,-1019532.5,-660475.0,494488.4,-564031.25,287140.0,
20030829,720543.75,122250.0,-114950.0,59004.65,251892.97,-326372.65,138200.0,711980.0,261515.0,-604205.0,985555.0,16287.2,-607160.0,-717862.5,-728825.0,-304750.0,-1156712.5,-506100.0,494488.4,-564031.25,241920.0,
20030930,495431.25,460387.5,-303100.0,-135478.6,35165.24,-476713.05,18712.5,675980.0,230425.0,-654945.0,966745.0,-232948.0,-507650.0,-697862.5,-723825.0,-304750.0,-1111236.5,-710350.0,391000.4,-767331.25,450560.0,
20031031,391256.25,551800.0,-266881.25,-135478.6,35165.24,-476713.05,84712.5,787980.0,285065.0,-715420.0,653895.0,-437732.2,-523700.0,-397862.5,-826325.0,-251750.0,-912681.0,-770525.0,550936.4,-767331.25,1008640.0,
20031128,323081.25,582862.5,-149075.0,-135478.6,35165.24,-596685.55,117712.5,794980.0,294665.0,-915865.0,653895.0,-614243.4,-380320.0,-459112.5,-795350.0,-235850.0,-743284.0,-615937.5,418496.4,-767331.25,405120.0,
20031231,570581.25,746162.5,55275.0,-135478.6,-121455.79,-596685.55,328712.5,759390.0,545865.0,-968905.0,848635.0,-590782.2,-186650.0,-130362.5,-503850.0,-450500.0,-669693.5,-772600.0,165297.2,-767331.25,405120.0,
20040130,531881.25,879287.5,223025.0,-246109.0,-271893.31,-615551.8,406712.5,805470.0,567065.0,-932865.0,692245.0,-588388.2,-387275.0,119637.5,-361350.0,-290375.0,-471138.0,-772600.0,100606.0,-607693.75,405120.0,
20040227,550331.25,742168.75,401068.75,-374834.0,-474750.43,-568520.55,464712.5,732990.0,612665.0,-721385.0,692245.0,-649663.2,-387275.0,620887.5,-128850.0,-9500.0,189788.0,-772600.0,38529.2,-576756.25,20745.0,
20040331,330618.75,393593.75,126568.75,-527793.25,-538586.53,-498645.55,322712.5,502510.0,503605.0,-748585.0,692245.0,-649663.2,-346575.0,655887.5,486150.0,169000.0,-60142.0,-1046700.0,-554860.8,-720718.75,197645.0,
