Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,502315.0
20000104,0,0,0,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,475232.0
20000105,0,0,0,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,497830.0
20000106,0,0,0,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,482826.0
20000107,0,0,0,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,492386.0
20000110,0,0,0,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,478579.0
20000111,0,0,0,1,1,1,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,467418.0
20000112,0,0,0,1,1,1,1,1,0,0,2,0,0,1,0,245,0,0,208,0,0,572341.0
20000113,0,0,0,1,1,1,1,1,0,0,2,0,0,1,0,245,0,0,208,0,0,605308.0
20000114,0,0,0,1,1,1,1,1,0,51,2,48,0,1,0,245,0,0,208,0,82,662364.0
20000118,0,0,0,1,1,1,1,1,0,51,2,48,0,1,0,245,0,0,208,0,82,814039.0
20000119,0,0,0,1,1,1,1,1,0,51,2,48,0,1,0,245,0,0,208,0,82,1035617.0
20000120,0,0,0,1,1,1,1,1,0,51,0,48,0,1,0,245,0,0,208,0,82,1029456.0
20000121,0,0,0,1,1,1,1,1,0,51,0,48,0,1,0,245,0,0,208,0,82,1184871.0
20000124,0,0,0,1,1,1,1,1,0,51,0,48,0,1,0,245,0,0,208,0,82,1068795.0
20000125,0,0,0,1,1,1,1,1,0,51,0,48,0,1,0,245,0,0,208,0,82,1198346.0
20000126,0,0,0,1,1,1,1,1,0,51,0,48,0,1,0,245,0,0,208,0,82,1113322.0
20000127,0,0,0,1,1,1,0,1,0,51,0,48,0,1,0,245,2568,0,208,0,82,1123180.0
20000128,28,0,0,1,1,0,0,1,0,51,0,48,0,1,0,245,2568,0,208,0,82,1079899.0
20000131,28,0,0,1,1,0,0,1,0,51,0,48,0,1,0,245,2568,0,208,0,82,728081.0
20000201,28,32,0,1,1,0,0,1,0,51,0,48,0,1,0,245,2568,0,208,0,82,773446.0
20000202,28,32,0,1,1,0,0,1,0,51,0,48,0,0,0,245,2568,0,208,0,82,570119.0
20000203,28,32,0,0,1,0,0,1,0,51,0,48,0,0,0,245,0,0,208,0,82,390600.0
20000204,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,0,208,0,82,474965.0
20000207,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,0,208,0,82,224061.0
20000208,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,0,208,0,82,73806.0
20000209,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,0,208,0,82,296595.0
20000210,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,189,208,0,82,637741.0
20000211,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,189,208,0,82,482013.0
20000214,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,189,208,0,82,589426.0
20000215,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,189,208,0,82,381052.0
20000216,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,189,208,0,82,420367.0
20000217,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,189,208,0,82,289420.0
20000218,28,32,54,0,1,0,0,1,0,51,0,48,146,0,1,245,0,189,208,0,82,501535.0
