EC,BP,CL,NG,HO,GC,HG,SI,
20100129,5656.25,0,0,0,0,0,-5425.0,70.0,
20100226,8481.25,3387.5,-6120.0,0,-6400.0,0,-13912.5,-1475.0,
20100331,9943.75,3750.0,-6120.0,5160.0,-6400.0,0,-14387.5,-5625.0,
20100430,12618.75,3143.75,-11540.0,5540.0,-3644.8,2830.0,-19187.5,-5625.0,
20100528,25456.25,8312.5,-7380.0,1910.0,-14375.0,6010.0,-21287.5,-9520.0,
20100630,25868.75,5025.0,-7960.0,-4860.0,-19821.6,9100.0,-17087.5,-17440.0,
20100730,18956.25,5025.0,-10910.0,-6660.0,-26025.0,3600.0,-23087.5,-23420.0,
20100831,18956.25,2475.0,-11730.0,-5470.0,-28019.2,3600.0,-23087.5,-24625.0,
20100930,22125.0,4862.5,-11730.0,-4750.0,-26637.4,7630.0,-18525.0,-12680.0,
20101029,26037.5,6925.0,-14490.0,-2920.0,-28632.4,12430.0,-16475.0,1035.0,
20101130,19056.25,5068.75,-15600.0,-5460.0,-25675.6,15130.0,-14412.5,19050.0,
20101231,19056.25,5068.75,-13580.0,-5460.0,-17040.4,18660.0,1125.0,32675.0,
20110131,19056.25,5068.75,-18200.0,-9280.0,-8749.6,11000.0,1412.5,12225.0,
20110228,19056.25,5293.75,-18920.0,-10260.0,-1076.2,7220.0,1887.5,21515.0,
20110331,21306.25,3950.0,-9950.0,-12680.0,5551.4,1900.0,-3862.5,41855.0,
20110429,29831.25,8181.25,-3300.0,-12680.0,11792.6,13550.0,-4362.5,95305.0,
20110531,20012.5,4950.0,-15570.0,-12700.0,-579.8,11490.0,-4325.0,28175.0,
20110630,20012.5,4325.0,-16710.0,-15700.0,-4187.6,8090.0,-4912.5,28175.0,
20110729,14725.0,3050.0,-16670.0,-15700.0,-9609.0,11630.0,-4912.5,28175.0,
20110831,14725.0,662.5,-9650.0,-16390.0,-17865.4,31680.0,-11525.0,18300.0,
20110930,21881.25,2581.25,180.0,-11880.0,-16160.2,14810.0,5862.5,20700.0,
20111031,14493.75,-175.0,-9840.0,-12620.0,-24462.8,14810.0,-6137.5,-655.0,
20111130,14493.75,-175.0,-9040.0,-7360.0,-33471.0,14810.0,-4362.5,7580.0,
20111230,15593.75,-175.0,-10790.0,-1370.0,-38427.0,17240.0,-5850.0,32025.0,
20120131,14106.25,-2825.0,-11310.0,3890.0,-41433.4,6020.0,-3875.0,14050.0,
20120229,11050.0,-2825.0,-10820.0,4160.0,-40400.2,6020.0,-1875.0,4635.0,
20120330,11050.0,-2675.0,-15790.0,9990.0,-42504.4,6020.0,-3237.5,-8025.0,
20120430,11050.0,-1312.5,-15790.0,9280.0,-44767.4,6020.0,-5775.0,-8025.0,
20120531,18118.75,-2587.5,-4100.0,6840.0,-31944.8,9870.0,862.5,885.0,
20120629,14543.75,-4493.75,-2200.0,6610.0,-32373.2,5870.0,-2275.0,1830.0,
20120731,18981.25,-5025.0,-5000.0,10640.0,-40243.2,5220.0,-300.0,320.0,
20120831,16218.75,-5025.0,-8760.0,5360.0,-40218.0,8250.0,-1325.0,5355.0,
20120928,17031.25,-3700.0,-8760.0,5360.0,-40919.4,16880.0,3937.5,21030.0,
20121031,18343.75,-3756.25,-9100.0,4490.0,-46109.8,11400.0,-1162.5,9725.0,
20121130,14987.5,-5100.0,-11340.0,2990.0,-46109.8,8390.0,-1162.5,4100.0,
20121231,14718.75,-7950.0,-12750.0,2600.0,-50741.6,7440.0,-1162.5,7485.0,
20130131,19343.75,-10887.5,-11220.0,2910.0,-50741.6,9030.0,-1162.5,-3700.0,
20130228,13862.5,-2375.0,-17260.0,2020.0,-56083.2,17420.0,-1162.5,1860.0,
20130329,13725.0,-2375.0,-17260.0,1600.0,-59598.6,15860.0,662.5,2405.0,
20130430,9118.75,-6200.0,-21950.0,4420.0,-52362.0,28220.0,6162.5,23305.0,
20130531,9118.75,-6200.0,-21950.0,360.0,-50115.0,36210.0,3537.5,33015.0,
20130628,5975.0,-8137.5,-26540.0,910.0,-56338.6,53140.0,9500.0,47010.0,
20130731,5975.0,-10512.5,-20980.0,2130.0,-56103.4,44250.0,7975.0,46220.0,
20130830,3581.25,-10512.5,-18220.0,1180.0,-61461.8,40280.0,5637.5,31385.0,
20130930,3006.25,-8262.5,-22750.0,-180.0,-67055.4,40280.0,5637.5,20500.0,
20131031,3818.75,-9068.75,-19770.0,-180.0,-68508.6,40280.0,5637.5,20500.0,
20131129,1618.75,-7118.75,-15460.0,-2540.0,-70964.8,41500.0,4187.5,20500.0,
20131231,662.5,-5843.75,-22850.0,-930.0,-72661.6,46310.0,3300.0,21805.0,
20140131,-1987.5,-6656.25,-22850.0,1710.0,-74130.8,39650.0,437.5,23055.0,
20140228,-1987.5,-7193.75,-21220.0,6620.0,-69552.8,38340.0,437.5,12160.0,
20140331,-2837.5,-9037.5,-26330.0,4210.0,-72984.2,34560.0,2475.0,7325.0,
20140430,-3750.0,-8443.75,-26330.0,8470.0,-75986.4,34580.0,1637.5,7325.0,
20140530,-6675.0,-9187.5,-27630.0,4720.0,-75986.4,35030.0,50.0,7670.0,
20140630,-8075.0,-7737.5,-24480.0,4720.0,-82386.4,29400.0,50.0,1475.0,
20140731,-4250.0,-10500.0,-28260.0,9340.0,-85472.6,29400.0,487.5,-3045.0,
20140829,-1037.5,-10093.75,-30260.0,7520.0,-84048.8,29400.0,-1737.5,-5025.0,
20140930,5350.0,-7856.25,-26680.0,6880.0,-75165.8,32450.0,-937.5,695.0,
20141031,6662.5,-6568.75,-16810.0,5410.0,-69785.6,36450.0,-1925.0,5450.0,
