Date,EC,BP,CL,NG,HO,GC,HG,SI,
20100104,1,0,0,0,0,0,1,0,100156.0
20100105,1,0,0,0,0,0,1,0,100881.0
20100106,1,0,0,0,0,0,1,0,102394.0
20100107,1,0,0,0,0,0,1,0,101956.0
20100108,1,0,0,0,0,0,1,0,99994.0
20100111,1,0,0,0,0,0,1,0,99781.0
20100112,1,0,0,0,0,0,1,0,97794.0
20100113,1,0,0,0,0,0,1,0,98769.0
20100114,1,0,0,0,0,0,1,0,98556.0
20100115,1,0,0,0,0,0,1,0,99481.0
20100119,1,0,0,0,0,0,1,0,102731.0
20100120,1,0,0,0,0,0,1,0,102706.0
20100121,1,0,0,0,0,0,1,0,101506.0
20100122,1,0,0,0,0,0,1,0,102131.0
20100125,1,0,0,0,0,0,1,0,103069.0
20100126,1,0,0,0,0,0,1,0,102744.0
20100127,1,0,0,0,0,0,1,0,100419.0
20100128,1,0,0,0,0,0,0,1,98791.0
20100129,1,0,0,0,0,0,0,1,100301.0
20100201,1,0,0,0,0,0,0,1,97026.0
20100202,1,0,0,0,0,0,0,1,96199.0
20100203,1,0,0,0,0,0,0,1,99204.0
20100204,1,1,0,0,0,0,0,1,106320.0
20100205,1,1,1,0,1,0,1,1,111159.0
20100208,1,1,1,0,1,0,1,1,108216.0
20100209,1,1,1,0,1,0,1,1,97811.0
20100210,1,1,1,0,1,0,1,1,98832.0
20100211,1,1,1,0,1,0,1,1,92214.0
20100212,1,1,1,0,1,0,1,1,98213.0
20100216,1,1,1,0,1,0,0,1,83940.0
20100217,1,1,1,0,1,0,0,1,86276.0
20100218,1,1,0,0,0,0,0,1,85694.0
20100219,1,1,0,0,0,0,0,1,83185.0
20100222,1,1,0,0,0,0,0,1,84221.0
20100223,1,1,0,0,0,0,0,1,87385.0
20100224,1,1,0,0,0,0,0,1,86825.0
20100225,1,1,0,0,0,0,0,1,86750.0
20100226,1,1,0,0,0,0,0,1,83961.0
20100301,1,1,0,0,0,0,0,1,86634.0
20100302,1,1,0,0,0,0,0,1,83096.0
20100303,1,1,0,0,0,0,0,0,79849.0
20100304,1,1,0,0,0,0,0,0,81724.0
20100305,1,1,0,0,0,0,0,0,80549.0
20100308,1,1,0,0,0,0,0,0,80849.0
20100309,1,1,0,0,0,0,0,0,81711.0
20100310,1,1,0,0,0,0,0,0,81068.0
20100311,1,1,0,0,0,0,0,0,80311.0
20100312,1,1,0,0,0,0,0,0,78305.0
20100315,1,1,0,1,0,0,0,0,79796.0
20100316,1,1,0,1,0,0,0,0,78036.0
20100317,1,1,0,1,0,0,0,0,78270.0
20100318,1,1,0,1,0,0,0,0,82544.0
20100319,1,1,0,1,0,0,0,0,84160.0
20100322,1,1,0,1,0,0,0,0,84129.0
20100323,1,1,0,1,0,0,0,0,84700.0
20100324,1,1,0,1,0,0,0,0,88419.0
20100325,1,1,0,1,0,0,0,0,90521.0
20100326,1,1,0,1,0,0,0,0,89230.0
20100329,1,1,0,1,0,0,0,0,87958.0
20100330,1,1,0,1,0,0,1,0,87444.0
20100331,1,1,0,1,0,0,1,0,86321.0
20100401,1,1,0,1,1,0,1,0,82876.0
20100405,1,1,1,1,1,0,1,0,86552.0
20100406,1,1,1,1,1,0,1,0,89534.0
20100407,1,1,1,1,1,1,1,0,88704.0
20100408,1,1,1,1,1,1,1,0,87845.0
20100409,1,1,1,1,1,1,1,0,84285.0
20100412,1,1,1,1,1,1,1,0,82401.0
20100413,1,1,1,1,1,1,1,0,80032.0
20100414,1,1,1,1,1,1,1,0,82511.0
20100415,1,1,1,1,1,1,1,0,85382.0
20100416,1,1,1,1,1,1,1,0,78295.0
20100419,1,1,1,1,1,1,1,0,74852.0
20100420,1,1,1,1,1,1,1,0,77666.0
20100421,1,1,1,1,1,1,1,0,80513.0
20100422,1,1,0,1,1,1,1,0,76714.0
20100423,1,1,0,1,1,1,1,0,77595.0
20100426,1,1,0,1,1,1,1,0,76906.0
20100427,1,1,0,1,1,1,0,0,77338.0
20100428,1,1,0,1,1,1,0,0,77732.0
20100429,1,1,0,1,1,1,0,0,81195.0
20100430,1,1,0,1,1,1,0,0,84135.0
20100503,1,1,0,1,1,1,0,0,86261.0
20100504,1,1,0,1,1,1,0,0,84382.0
20100505,1,1,0,1,1,1,1,0,81082.0
20100506,1,1,1,1,0,1,1,0,84550.0
20100507,1,1,1,1,0,1,1,0,84656.0
20100510,1,1,1,1,0,1,1,0,77844.0
20100511,1,1,1,1,0,1,1,1,82285.0
20100512,1,1,1,1,0,1,1,1,87725.0
20100513,1,1,1,1,0,1,1,1,87409.0
20100514,1,1,1,1,0,1,1,1,93984.0
20100517,1,1,1,1,0,1,1,1,97866.0
20100518,1,1,1,1,0,1,1,1,98734.0
20100519,1,1,1,1,0,1,1,1,93230.0
20100520,1,1,1,1,1,1,1,1,93772.0
20100521,1,1,1,1,1,1,1,1,89365.0
20100524,1,1,1,1,1,1,1,1,93307.0
20100525,1,1,1,1,1,1,1,1,98210.0
20100526,1,1,1,1,1,1,1,1,97876.0
20100527,1,1,1,1,1,1,1,1,85618.0
20100528,1,1,1,1,1,1,1,1,89126.0
20100601,1,1,1,1,1,1,1,1,94963.0
20100602,1,1,1,1,1,1,1,1,90122.0
20100603,1,1,1,0,1,1,1,1,86744.0
20100604,1,1,1,0,1,1,1,0,98796.0
20100607,1,1,1,0,1,1,1,0,102549.0
20100608,1,1,1,0,1,1,1,0,102299.0
20100609,1,1,1,0,1,1,1,0,93572.0
20100610,1,1,1,0,1,1,1,0,87515.0
20100611,1,1,1,0,1,1,1,0,91295.0
20100614,1,1,1,0,1,1,1,0,83739.0
20100615,1,1,1,1,1,1,1,0,79995.0
20100616,1,1,1,1,1,1,1,0,76030.0
20100617,1,1,1,1,0,1,1,0,80846.0
20100618,1,1,1,1,0,1,1,0,79741.0
20100621,1,1,1,1,0,1,1,1,73180.0
20100622,1,1,1,1,0,1,1,1,72800.0
20100623,1,0,1,1,0,1,1,1,71695.0
20100624,1,0,1,1,0,1,1,1,70825.0
20100625,1,0,1,1,0,1,1,1,69945.0
20100628,1,0,1,1,0,1,1,1,66892.0
20100629,1,0,1,1,0,1,1,1,71607.0
20100630,1,0,1,1,0,1,1,1,72825.0
20100701,1,0,1,1,0,1,1,0,69442.0
20100702,1,0,1,1,1,1,1,0,66710.0
20100706,1,0,1,1,1,1,1,0,63888.0
