EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,23650.0,0,0,875.0,1000.0,-1957.35,0,-5050.0,0,-76440.0,0,-36951.6,0,-50150.0,0,66275.0,0,0,-43747.2,0,10680.0,
20000229,38225.0,54725.0,0,-1064.55,765.62,-1957.35,-44362.5,-5050.0,0,177450.0,0,36603.0,-200600.0,-50150.0,-162600.0,114475.0,0,-208950.0,165267.2,0,40495.0,
20000331,56100.0,-73425.0,-23750.0,-1064.55,-95.62,-1957.35,-124050.0,-282800.0,0,-75530.0,0,-89557.0,-233750.0,-50150.0,-167650.0,259075.0,189000.0,-208950.0,-109194.4,0,23140.0,
20000428,189475.0,-73425.0,-46875.0,-31533.3,-38076.87,-51176.1,-259350.0,-586000.0,0,-75530.0,810.0,-89557.0,-233750.0,-107750.0,-184250.0,210875.0,150000.0,-216637.5,64853.6,-141525.0,-60520.0,
20000531,121275.0,-73425.0,23975.0,-51931.42,-38076.87,-96926.1,-259350.0,-990000.0,0,-75530.0,984960.0,-89557.0,-233750.0,-107750.0,-184250.0,171712.5,-157500.0,-277037.5,441957.6,-275650.0,-60520.0,
20000630,81262.5,-73425.0,-9175.0,-51931.42,-38076.87,-96926.1,-259350.0,-990000.0,0,-75530.0,1082160.0,-116605.0,-233750.0,-107750.0,-184250.0,329662.5,-157500.0,-391412.5,827349.6,-181431.25,-60520.0,
20000731,81262.5,-73425.0,19750.0,-51931.42,-38076.87,-96926.1,-259350.0,-990000.0,0,-75530.0,447120.0,-340927.0,-233750.0,-136600.0,-184250.0,517987.5,-157500.0,-443662.5,1622997.6,-722512.5,-60520.0,
20000831,81262.5,-73425.0,29500.0,-51931.42,-38076.87,-96926.1,-259350.0,-990000.0,0,-75530.0,447120.0,336743.0,-233750.0,-136600.0,-206900.0,320550.0,-157500.0,-642212.5,1689301.6,-722512.5,-109840.0,
20000929,-34887.5,-73425.0,-12750.0,-51931.42,-38076.87,-96926.1,-259350.0,-990000.0,0,-270890.0,547620.0,156227.0,-233750.0,-81600.0,-206900.0,281062.5,-157500.0,-642212.5,1264689.6,-823987.5,-211360.0,
20001031,-34887.5,-73425.0,-19900.0,-67306.42,-47826.87,-129926.1,-284850.0,-918720.0,0,-490530.0,292120.0,186215.0,-217550.0,-155400.0,-177400.0,263362.5,-139218.0,-642212.5,1264689.6,-877287.5,-213520.0,
20001130,-34887.5,-58675.0,-19900.0,-56606.12,-13701.87,-120616.5,-82975.0,-364320.0,0,-414370.0,489340.0,137733.0,-279650.0,-155400.0,-167400.0,434462.5,-536368.0,-642212.5,959625.6,-864087.5,-229265.0,
20001229,41112.5,5825.0,-13962.5,-16387.37,21173.13,-77304.0,-105925.0,-252360.0,0,-200050.0,1700020.0,148409.4,-290450.0,-155400.0,-105900.0,567212.5,-731324.0,-642212.5,959625.6,-661137.5,-351540.0,
20010131,19862.5,50825.0,-76150.0,-8481.12,33923.13,-89679.0,-170100.0,-422640.0,0,-574270.0,427020.0,490314.6,-290450.0,-155400.0,-171850.0,337112.5,-731324.0,-736712.5,959625.6,-601737.5,-359520.0,
20010228,-7637.5,78575.0,-76150.0,7331.38,57173.13,-118939.0,-142100.0,79920.0,0,-574270.0,427020.0,621816.6,-406160.0,-175500.0,-176900.0,337112.5,-731324.0,-736712.5,870115.2,-672687.5,-51340.0,
20010330,-35137.5,210575.0,-76150.0,13175.13,68048.13,-162426.0,-14787.5,312480.0,0,-574270.0,427020.0,634576.2,-406160.0,-189350.0,-181950.0,337112.5,-727152.5,-736712.5,1178428.8,-719987.5,258740.0,
20010430,-35137.5,179575.0,-93550.0,2747.78,40471.17,-121082.25,-188037.5,113400.0,0,-574270.0,427020.0,398157.8,-406160.0,-247000.0,-181950.0,216175.0,-998300.0,-874837.5,781936.8,-886587.5,218840.0,
20010531,-8625.0,128200.0,-73750.0,-18964.12,40471.17,-102051.0,-188037.5,44100.0,0,-574270.0,319620.0,398157.8,-453360.0,-247000.0,-181950.0,382112.5,-998300.0,-874837.5,781936.8,-886587.5,418720.0,
20010629,-14662.5,128200.0,-64150.0,-61004.02,40471.17,-162833.4,-188037.5,44100.0,0,-649870.0,343500.0,209258.6,-453360.0,-195750.0,-181950.0,261175.0,-998300.0,-935037.5,781936.8,-886587.5,345380.0,
20010731,-76350.0,79506.25,-78250.0,-61004.02,40471.17,-162833.4,-188037.5,44100.0,0,-888250.0,219500.0,163268.6,-453360.0,-118250.0,-181950.0,213925.0,-689940.5,-1090825.0,781936.8,-886587.5,324480.0,
20010831,-84450.0,87506.25,-76875.0,-52097.77,52346.17,-133458.4,-134487.5,106890.0,0,-1000590.0,787420.0,20115.6,-481480.0,-129500.0,-181950.0,341500.0,-970151.0,-1173512.5,803082.4,-886587.5,324480.0,
20010928,-87375.0,-5118.75,-59000.0,-8754.02,95096.17,-185058.4,29762.5,517440.0,0,-1050510.0,871740.0,-263617.0,-491260.0,-42000.0,-117000.0,173762.5,-1139045.0,-1173512.5,1141412.0,-886587.5,493330.0,
20011031,-125625.0,-45018.75,-101900.0,43199.1,126861.79,-149433.4,-837.5,249720.0,0,-816510.0,533840.0,-38707.0,-610540.0,25500.0,-209550.0,138325.0,-1139045.0,-1187812.5,1112336.8,-786087.5,767230.0,
20011130,-125625.0,-45018.75,-118575.0,-26356.57,75677.69,-241207.2,-122337.5,102060.0,0,-635550.0,533840.0,205103.0,-610540.0,28787.5,-209550.0,138325.0,-1139045.0,-1311150.0,920799.2,-1051575.0,412480.0,
20011231,-125625.0,43181.25,-150918.75,-51669.07,75677.69,-284519.7,-122337.5,102060.0,0,-677150.0,533840.0,177131.0,-610540.0,-63762.5,-209550.0,138325.0,-1139045.0,-1311150.0,920799.2,-1051575.0,412480.0,
20020131,-112325.0,93843.75,-154218.75,-66356.57,75677.69,-312082.2,-122337.5,102060.0,0,-869550.0,390480.0,259157.0,-610540.0,-63762.5,-209550.0,138325.0,-1139045.0,-1411187.5,920799.2,-1051575.0,412480.0,
20020228,-139400.0,79931.25,-193068.75,-92664.57,75677.69,-342671.85,-122337.5,85050.0,0,-869550.0,145200.0,152219.0,-569100.0,-63762.5,-209550.0,138325.0,-1139045.0,-1411187.5,1017186.4,-1051575.0,412480.0,
20020328,-169800.0,12337.5,-193068.75,-81508.32,83224.57,-351296.85,-122337.5,-237735.0,0,-458550.0,273720.0,424727.6,-520260.0,-78862.5,-209550.0,138325.0,-1195367.0,-1411187.5,928213.6,-911325.0,322645.0,
20020430,-161800.0,12912.5,-188693.75,-136009.1,42926.51,-428651.6,-133087.5,-280055.0,72400.0,-360550.0,652600.0,495816.8,-479560.0,-78862.5,-254600.0,118025.0,-1214141.0,-1507400.0,1139524.0,-1195262.5,254280.0,
20020531,-80050.0,85362.5,-186506.25,-136009.1,42926.51,-428651.6,-112125.0,-150335.0,77800.0,-616550.0,224880.0,267679.8,-344140.0,-78862.5,-211200.0,-43237.5,-896324.0,-1608087.5,878298.8,-1195262.5,52610.0,
20020628,61950.0,185700.0,-77756.25,-149415.35,42926.51,-465307.85,54500.0,135785.0,212800.0,-616550.0,189360.0,267679.8,-444780.0,-98912.5,-279750.0,131587.5,-941918.0,-1462837.5,629796.8,-1195262.5,474290.0,
20020731,27950.0,175637.5,-24943.75,-75165.35,79942.14,-392714.1,223275.0,300465.0,317800.0,-616550.0,215400.0,267679.8,-449960.0,-31412.5,-279750.0,289762.5,-688469.0,-1288537.5,328277.6,-1195262.5,416050.0,
20020830,41200.0,194325.0,-42756.25,-49384.1,99348.39,-306464.1,213600.0,339105.0,332200.0,-614270.0,-9720.0,378055.8,-449960.0,-67662.5,-284800.0,520087.5,-633488.0,-989737.5,328277.6,-1195262.5,302930.0,
20020930,16325.0,162268.75,-81662.5,41365.9,170864.01,-201526.6,430750.0,537825.0,544800.0,-502550.0,206040.0,511716.6,-449960.0,-103962.5,-284800.0,336937.5,-743450.0,-769787.5,331861.6,-1258862.5,175250.0,
20021031,16325.0,127356.25,-81662.5,-46050.0,100522.77,-326989.3,271650.0,336345.0,381280.0,-659870.0,217200.0,309742.2,-449960.0,-103962.5,-284800.0,325837.5,-907649.0,-722062.5,661589.6,-803725.0,175250.0,
20021129,-13425.0,91393.75,-126487.5,-46050.0,100522.77,-326989.3,271650.0,432945.0,381280.0,-706850.0,244480.0,309742.2,-449960.0,-114062.5,-284800.0,325837.5,-813626.0,-942012.5,679509.6,-618887.5,210740.0,
20021231,100475.0,86168.75,-93137.5,-100420.4,58066.07,-326989.3,271650.0,159945.0,381280.0,-873470.0,609660.0,360520.2,-357500.0,-132912.5,-307350.0,325837.5,-1093673.0,-820425.0,751189.6,-1033612.5,255330.0,
20030131,156787.5,60043.75,-35925.0,-100420.4,58066.07,-326989.3,271650.0,191445.0,381280.0,-707150.0,1115580.0,535240.2,-213290.0,-120412.5,-312400.0,325837.5,-1093673.0,-789600.0,1120341.6,-1033612.5,309930.0,
20030228,169325.0,34743.75,-113837.5,-118232.9,58066.07,-334489.3,281075.0,191445.0,366130.0,-484670.0,2663100.0,916075.2,-343010.0,-158062.5,-312400.0,325837.5,-1093673.0,-719387.5,1052245.6,-1033612.5,579745.0,
20030331,107912.5,34743.75,-113837.5,-145011.5,16226.92,-391092.3,179575.0,191445.0,350980.0,-789950.0,1036220.0,496773.2,-375440.0,-158062.5,-317450.0,247462.5,-1093673.0,-558412.5,835541.6,-1033612.5,553355.0,
20030430,107912.5,34743.75,-174200.0,-145011.5,16226.92,-391092.3,179575.0,180115.0,350980.0,-843950.0,1036220.0,496773.2,-375440.0,-158062.5,-317450.0,247462.5,-1129277.0,-531012.5,835541.6,-1033612.5,460535.0,
20030530,231712.5,-14893.75,-194000.0,-107824.0,31851.92,-327967.3,228325.0,367575.0,350980.0,-1182350.0,1036220.0,496773.2,-375440.0,-158062.5,-317450.0,204712.5,-1117409.0,-681712.5,748181.6,-1253287.5,434600.0,
20030630,168912.5,-14893.75,-181350.0,-127824.0,20601.92,-365467.3,253325.0,378905.0,366580.0,-1244450.0,1036220.0,496773.2,-375440.0,-158062.5,-317450.0,138212.5,-1247957.0,-681712.5,1048700.0,-1253287.5,85460.0,
20030731,122912.5,-14893.75,-231537.5,-135616.25,10177.07,-339473.55,293325.0,532375.0,416580.0,-1244450.0,975740.0,496773.2,-375440.0,-158062.5,-357600.0,319112.5,-1113437.0,-681712.5,771020.0,-1253287.5,-37545.0,
20030829,111212.5,-14893.75,-231537.5,-114772.5,43958.32,-348098.55,214575.0,662155.0,456980.0,-1244450.0,753420.0,448464.8,-345740.0,-190612.5,-427650.0,72887.5,-1286717.0,-527587.5,771020.0,-1253287.5,-126240.0,
20030930,32012.5,91768.75,-231537.5,-214750.05,-29921.65,-472167.45,131450.0,587995.0,425840.0,-1319650.0,753420.0,34487.8,-284360.0,-201962.5,-507700.0,72887.5,-1383857.0,-825562.5,550290.4,-1540043.75,-17840.0,
20031031,32012.5,121381.25,-226437.5,-214750.05,-29921.65,-472167.45,158475.0,818715.0,402440.0,-1418350.0,753420.0,-193441.2,-294260.0,8037.5,-507700.0,65200.0,-1225842.0,-825562.5,766775.2,-1540043.75,330960.0,
20031128,32012.5,131443.75,-180087.5,-214750.05,-29921.65,-472167.45,177450.0,833135.0,402440.0,-1418350.0,753420.0,-446409.0,-205820.0,-53212.5,-637850.0,80575.0,-1091032.0,-710187.5,578033.2,-1540043.75,-48240.0,
