Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,103640.0
20000104,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,80087.0
20000105,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75837.0
20000106,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74619.0
20000107,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73494.0
20000110,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74322.0
20000111,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76478.0
20000112,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77009.0
20000113,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,241,0,0,0,0,0,129150.0
20000114,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0,114169.0
20000118,0,0,0,1,1,1,0,0,0,91,0,83,0,0,0,241,0,0,0,0,0,218309.0
20000119,0,0,0,1,1,1,0,0,0,91,0,83,0,0,0,241,0,0,434,0,0,315939.0
20000120,0,0,0,1,1,1,0,0,0,91,0,83,0,1,0,241,0,0,434,0,89,339496.0
20000121,0,0,0,1,1,1,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,639191.0
20000124,0,0,0,1,1,1,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,485917.0
20000125,0,0,0,1,1,1,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,722853.0
20000126,0,0,0,1,1,1,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,630455.0
20000127,0,0,0,1,1,1,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,582388.0
20000128,0,0,0,1,1,0,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,559096.0
20000131,22,0,0,1,1,0,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,-11816.0
20000201,22,0,0,1,1,0,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,136253.0
20000202,22,0,0,1,1,0,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,-61571.0
20000203,22,22,0,0,1,0,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,-116544.0
20000204,22,22,0,0,1,0,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,-69257.0
20000207,22,22,0,0,1,0,0,0,0,91,0,83,0,0,1,241,0,0,434,0,89,-201974.0
20000208,22,22,0,0,1,0,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,-312867.0
20000209,22,22,0,0,1,0,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,-147926.0
20000210,22,22,0,0,1,0,0,0,0,91,0,83,0,0,0,241,0,0,434,0,89,18688.0
20000211,22,22,0,0,1,0,0,0,0,91,0,83,85,0,1,241,0,199,434,0,89,-145000.0
20000214,22,22,0,0,1,0,0,0,0,91,0,83,85,0,0,241,0,199,434,0,89,101803.0
20000215,22,22,0,0,1,0,0,0,0,91,0,83,85,0,0,241,0,199,434,0,89,-39261.0
20000216,22,22,0,0,1,0,0,0,0,91,0,83,85,0,0,241,0,199,434,0,89,69477.0
20000217,22,22,0,0,1,0,0,0,0,91,0,83,85,0,0,241,0,199,434,0,89,-114879.0
20000218,22,22,0,0,1,0,0,0,0,91,0,83,85,0,0,241,0,199,434,0,89,57159.0
20000222,22,22,0,0,1,0,0,0,0,91,0,83,85,0,0,241,0,199,434,0,89,-91174.0
20000223,22,22,0,0,1,0,39,0,0,91,0,83,85,0,0,241,0,199,434,0,89,-105932.0
20000224,22,22,0,0,1,0,39,0,0,91,0,83,85,0,0,241,0,199,434,0,89,50673.0
20000225,22,22,0,0,1,0,39,0,0,91,0,83,85,0,0,241,0,0,434,0,89,227355.0
20000228,22,22,0,0,1,0,39,0,0,91,0,83,85,0,0,241,0,0,434,0,89,263077.0
20000229,22,22,0,0,1,0,39,0,0,91,0,83,85,0,0,241,0,0,434,0,89,53271.0
20000301,22,22,25,0,1,0,39,0,0,91,0,83,85,0,0,241,0,0,434,0,89,227164.0
20000302,22,22,25,0,1,0,39,0,0,91,0,83,0,0,0,241,0,0,434,0,89,272996.0
20000303,22,22,25,0,1,0,39,0,0,91,0,83,0,0,0,241,0,0,434,0,89,190918.0
20000306,22,22,25,0,1,0,39,28,0,91,0,83,0,0,0,241,0,0,434,0,89,394604.0
20000307,22,22,25,0,1,0,39,28,0,91,0,83,0,0,0,241,0,0,434,0,89,623114.0
20000308,22,22,25,0,1,0,39,28,0,91,0,83,0,0,0,241,0,0,434,0,89,169324.0
20000309,22,22,25,0,1,0,39,28,0,91,0,83,0,0,0,241,0,0,434,0,89,232601.0
20000310,22,22,25,0,1,0,39,28,0,91,0,83,0,0,0,241,0,0,434,0,89,182394.0
20000313,22,0,25,0,1,0,39,28,0,91,0,83,0,0,0,241,0,0,434,0,89,59626.0
20000314,22,0,25,0,1,0,39,28,0,91,0,83,0,0,0,241,0,0,434,0,89,43252.0
20000315,22,0,25,0,0,0,39,0,0,91,0,0,0,0,0,241,3000,0,434,0,89,-209011.0
20000316,22,0,25,0,0,0,0,0,0,91,0,0,0,0,0,241,3000,0,434,0,89,-304923.0
20000317,22,0,25,0,0,0,0,0,0,91,0,0,0,0,0,241,3000,0,434,0,89,-76127.0
20000320,22,0,25,0,0,0,0,0,0,91,0,0,0,0,0,241,3000,0,434,0,89,-327444.0
20000321,22,0,25,0,0,0,0,0,0,0,0,0,0,0,0,241,3000,0,434,0,89,-567919.0
20000322,22,0,25,0,0,0,33,0,0,0,0,0,0,0,0,241,3000,0,434,0,89,-573088.0
20000323,22,0,25,0,0,0,33,0,0,0,0,0,0,0,0,241,3000,0,434,0,89,-812494.0
20000324,22,0,25,0,0,0,33,27,0,0,0,0,0,0,0,241,3000,0,434,0,89,-690894.0
20000327,22,0,25,0,0,0,33,27,0,0,0,0,0,0,0,241,3000,0,434,0,89,-695808.0
20000328,22,0,25,0,0,0,33,27,0,0,0,0,0,0,0,241,3000,0,0,0,89,-904189.0
20000329,22,0,25,0,0,0,33,0,0,0,0,0,0,0,0,241,3000,0,0,0,89,-969814.0
20000330,22,0,25,0,0,0,33,0,0,0,0,0,0,0,1,241,3000,0,0,0,89,-976711.0
20000331,22,0,25,0,0,0,33,0,0,0,0,0,0,0,0,241,3000,0,0,0,89,-814609.0
20000403,22,0,25,25,0,0,33,0,0,0,0,0,0,0,0,241,3000,0,0,0,89,-779790.0
20000404,22,0,0,25,0,0,0,0,0,0,0,0,0,0,0,241,3000,0,0,0,89,-1051250.0
20000405,22,0,0,25,25,25,0,0,0,0,0,0,0,0,0,241,3000,0,0,0,0,-1087316.0
20000406,22,0,0,25,25,25,0,0,0,0,0,0,0,0,0,241,3000,0,0,0,0,-1244185.0
20000407,22,0,0,25,25,25,0,0,0,0,0,0,0,1,0,241,3000,0,0,0,0,-1159281.0
20000410,22,0,0,25,25,25,0,0,0,0,0,0,0,0,0,241,3000,0,0,0,0,-1229360.0
20000411,22,0,0,25,25,25,0,0,0,0,0,0,0,0,0,241,3000,0,0,0,0,-1321444.0
20000412,22,0,0,25,25,25,0,0,0,0,0,0,0,0,0,241,3000,0,0,0,0,-1289694.0
20000413,22,0,0,25,25,25,0,0,0,0,0,0,0,0,0,241,3000,0,0,0,0,-1184475.0
20000414,22,0,0,25,25,25,0,0,0,0,0,0,0,0,0,241,3000,0,0,0,0,-1212566.0
20000417,22,0,0,25,25,25,0,40,0,0,0,0,0,1,0,241,3000,0,370,74,0,-1493848.0
20000418,22,0,0,25,25,25,0,0,0,0,81,0,0,0,0,241,3000,0,370,74,0,-1596817.0
20000419,22,0,0,25,25,25,0,0,0,0,81,0,0,0,0,241,3000,0,370,74,0,-1513611.0
20000420,22,0,0,25,25,25,0,0,0,0,81,0,0,0,0,241,3000,0,370,74,0,-1656637.0
