EC,JY,BP,
20100129,3112.5,-4575.0,0,
20100226,5937.5,-4575.0,3293.75,
20100331,7400.0,-4575.0,3656.25,
20100430,10075.0,-3937.5,3050.0,
20100528,22912.5,-8587.5,8218.75,
20100630,23325.0,-8362.5,4881.25,
20100730,14687.5,-5262.5,4881.25,
20100831,14687.5,-1375.0,1518.75,
20100930,17562.5,-212.5,3906.25,
20101029,21475.0,5562.5,5968.75,
20101130,14387.5,-325.0,3150.0,
20101231,14387.5,-325.0,3150.0,
20110131,14387.5,-325.0,3150.0,
20110228,14387.5,-325.0,3150.0,
20110331,16475.0,-3637.5,3150.0,
20110429,25000.0,-8237.5,3637.5,
20110531,15200.0,-8237.5,256.25,
20110630,15200.0,-8237.5,256.25,
20110729,15200.0,-5662.5,256.25,
20110831,15200.0,-5600.0,256.25,
20110930,21087.5,-6625.0,1731.25,
20111031,11487.5,-8962.5,-1025.0,
20111130,11487.5,-8812.5,-1025.0,
20111230,11912.5,-8812.5,-1025.0,
20120131,10425.0,-8812.5,-1025.0,
20120229,6762.5,-4437.5,-1025.0,
20120330,6762.5,-1225.0,-1025.0,
20120430,6762.5,-6900.0,-631.25,
20120531,13900.0,-6975.0,-3525.0,
20120629,10325.0,-6975.0,-5437.5,
20120731,14762.5,-6975.0,-5462.5,
20120831,11925.0,-6975.0,-5900.0,
20120928,12450.0,-9750.0,-4631.25,
20121031,13762.5,-10100.0,-4687.5,
20121130,10475.0,-5062.5,-6187.5,
20121231,10350.0,2425.0,-6187.5,
20130131,14975.0,9987.5,-6356.25,
20130228,8437.5,11925.0,-2100.0,
20130329,7987.5,14037.5,-2100.0,
20130430,3412.5,18725.0,-4137.5,
20130531,3412.5,22775.0,-4137.5,
20130628,-550.0,16800.0,-6287.5,
20130731,-550.0,16800.0,-9356.25,
20130830,-550.0,16800.0,-9356.25,
20130930,-625.0,16800.0,-7768.75,
20131031,187.5,16800.0,-8575.0,
20131129,-2100.0,19462.5,-6625.0,
20131231,-2100.0,22737.5,-5350.0,
20140131,-2100.0,19337.5,-6162.5,
20140228,-2100.0,17750.0,-4106.25,
20140331,-3137.5,17750.0,-4650.0,
20140430,-4187.5,17750.0,-3281.25,
20140530,-4187.5,17750.0,-4025.0,
20140630,-6075.0,17750.0,-1868.75,
20140731,-2250.0,17812.5,-3237.5,
20140829,962.5,19287.5,-3006.25,
20140930,7350.0,25462.5,-768.75,
20141031,8662.5,28112.5,518.75,
20141128,9837.5,34162.5,2818.75,
20141231,14062.5,35212.5,3056.25,
20150130,24200.0,33150.0,6287.5,
20150227,25462.5,35150.0,3237.5,
20150331,31050.0,34625.0,3781.25,
20150430,24650.0,34625.0,1568.75,
20150529,25075.0,35437.5,-275.0,
20150630,25075.0,34043.75,2512.5,
20150731,25075.0,32500.0,1793.75,
20150831,20750.0,30237.5,800.0,
20150930,19162.5,31143.75,-1668.75,
20151030,14325.0,30456.25,-4000.0,
20151130,16312.5,29618.75,-4056.25,
20151231,12762.5,29618.75,-2025.0,
20160129,11868.75,26525.0,1050.0,
20160229,6381.25,26162.5,3087.5,
20160331,6300.0,26162.5,262.5,
20160429,7056.25,27775.0,12.5,
20160531,3968.75,23606.25,12.5,
20160630,3318.75,31512.5,-8568.75,
20160729,2143.75,32918.75,-8562.5,
20160831,937.5,31100.0,-7831.25,
20160930,937.5,33306.25,-6868.75,
20161031,1081.25,31337.5,-2225.0,
20161130,5862.5,39081.25,-3825.0,
20161230,6812.5,41500.0,-2712.5,
20170131,3725.0,37925.0,-4012.5,
20170228,3718.75,37450.0,-4012.5,
20170331,1406.25,36743.75,-4012.5,
20170428,737.5,36525.0,-3406.25,
20170531,4925.0,35093.75,-3806.25,
20170630,6881.25,35093.75,-5618.75,
20170731,11800.0,32162.5,-5618.75,
20170831,12443.75,32162.5,-7862.5,
20170929,11131.25,29612.5,-7181.25,
20171031,9668.75,29612.5,-9343.75,
20171130,5425.0,29612.5,-9343.75,
20171229,5425.0,29612.5,-9343.75,
20180131,9500.0,30918.75,-7000.0,
20180228,6618.75,33381.25,-9637.5,
20180329,7318.75,33362.5,-8243.75,
20180430,6812.5,30581.25,-8900.0,
20180531,12093.75,28406.25,-6775.0,
20180629,12687.5,30987.5,-6018.75,
20180731,12675.0,32206.25,-5481.25,
20180831,14281.25,31618.75,-4318.75,
20180928,13137.5,34406.25,-5631.25,
20181031,14243.75,34137.5,-6012.5,
20181130,14662.5,34937.5,-7893.75,
20181231,13337.5,32756.25,-8906.25,
20190131,12112.5,33300.0,-10475.0,
20190228,11043.75,30843.75,-10437.5,
20190329,10718.75,30843.75,-12193.75,
20190430,10993.75,30843.75,-12187.5,
20190531,11987.5,30843.75,-10806.25,
20190628,10056.25,31150.0,-11143.75,
20190731,10981.25,29806.25,-7637.5,
20190830,12706.25,32275.0,-7468.75,
20190930,13981.25,30737.5,-9687.5,
20191031,10925.0,30737.5,-8631.25,
20191129,10925.0,30737.5,-8756.25,
20191231,10925.0,30737.5,-6775.0,
20200131,8556.25,28925.0,-7243.75,
20200228,9543.75,26600.0,-8631.25,
20200331,4418.75,25868.75,-9731.25,
20200430,4418.75,25868.75,-10643.75,
20200529,4418.75,25868.75,-8918.75,
20200630,3062.5,25868.75,-10056.25,
20200731,9887.5,26150.0,-7706.25,
20200831,11637.5,26000.0,-6012.5,
20200930,8800.0,26362.5,-9662.5,
20201030,8056.25,27237.5,-9662.5,
20201130,8056.25,25687.5,-9662.5,
20201231,9806.25,26781.25,-9268.75,
20210129,8518.75,25531.25,-8981.25,
20210226,6293.75,26787.5,-7475.0,
20210331,7881.25,31187.5,-9206.25,
20210430,3193.75,29737.5,-9206.25,
20210528,3193.75,30262.5,-8731.25,
20210630,3193.75,31625.0,-10531.25,
20210730,3193.75,29862.5,-10531.25,
20210831,3193.75,29862.5,-10531.25,
20210930,3350.0,30281.25,-10137.5,
20211029,3743.75,32793.75,-12237.5,
20211130,6768.75,32018.75,-10875.0,
20211231,6156.25,33937.5,-12393.75,
20220131,8018.75,32537.5,-12456.25,
20220228,5475.0,32537.5,-12456.25,
20220331,6268.75,36312.5,-12675.0,
