EC,BP,CL,NG,HO,GC,HG,SI,
20100129,3112.5,0,0,0,0,0,-7475.0,0,
20100226,5937.5,3293.75,-6390.0,0,-6547.0,0,-7475.0,-5970.0,
20100331,7400.0,3656.25,-6390.0,0,-6547.0,0,-7475.0,-9440.0,
20100430,10075.0,3050.0,-8410.0,380.0,-5639.8,1440.0,-14475.0,-9440.0,
20100528,22912.5,8218.75,-15030.0,-3250.0,-14547.2,4620.0,-14475.0,-9440.0,
20100630,23325.0,4881.25,-15030.0,-6930.0,-14547.2,7710.0,-14475.0,-9440.0,
20100730,14687.5,4881.25,-15030.0,-6930.0,-14547.2,2390.0,-14475.0,-9440.0,
20100831,14687.5,1518.75,-15030.0,-5900.0,-14547.2,2390.0,-14475.0,-9440.0,
20100930,17562.5,3906.25,-15030.0,-5180.0,-14547.2,6330.0,-10500.0,2505.0,
20101029,21475.0,5968.75,-15030.0,-3350.0,-16542.2,11130.0,-8450.0,16220.0,
20101130,14387.5,3150.0,-18120.0,-5610.0,-13585.4,13830.0,-6387.5,34235.0,
20101231,14387.5,3150.0,-11550.0,-5610.0,-4950.2,17360.0,9150.0,47860.0,
20110131,14387.5,3150.0,-16260.0,-8470.0,3340.6,9270.0,9437.5,27350.0,
20110228,14387.5,3150.0,-16260.0,-10170.0,11014.0,5190.0,9912.5,27350.0,
20110331,16475.0,3150.0,-10800.0,-15630.0,17641.6,5580.0,2775.0,47690.0,
20110429,25000.0,3637.5,-4150.0,-15630.0,23882.8,17230.0,2775.0,101140.0,
20110531,15200.0,256.25,-18420.0,-15630.0,7684.2,15170.0,-2012.5,36495.0,
20110630,15200.0,256.25,-20670.0,-20570.0,3606.0,11770.0,-2962.5,36495.0,
20110729,15200.0,256.25,-20630.0,-20570.0,-3033.4,15380.0,-2962.5,36495.0,
20110831,15200.0,256.25,-13610.0,-21900.0,-11831.6,35430.0,-2962.5,36495.0,
20110930,21087.5,1731.25,-3780.0,-17390.0,-11831.6,18160.0,13112.5,845.0,
20111031,11487.5,-1025.0,-16180.0,-18130.0,-25947.0,18160.0,1112.5,-21250.0,
20111130,11487.5,-1025.0,-17560.0,-12870.0,-25947.0,18160.0,2887.5,-13015.0,
20111230,11912.5,-1025.0,-19310.0,-6880.0,-25947.0,19480.0,6375.0,11430.0,
20120131,10425.0,-1025.0,-19830.0,-1620.0,-25947.0,8350.0,5812.5,-9620.0,
20120229,6762.5,-1025.0,-21800.0,-1350.0,-25947.0,8350.0,7812.5,-9620.0,
20120330,6762.5,-1025.0,-26370.0,4480.0,-25947.0,8350.0,6450.0,-9620.0,
20120430,6762.5,-1025.0,-27530.0,3770.0,-25947.0,8350.0,3700.0,-9620.0,
20120531,13900.0,-3468.75,-16360.0,270.0,-13968.6,11130.0,7375.0,-1080.0,
20120629,10325.0,-5375.0,-14460.0,270.0,-14397.0,7130.0,4237.5,-135.0,
20120731,14762.5,-5400.0,-17260.0,3240.0,-24367.0,5870.0,6212.5,-1645.0,
20120831,11925.0,-5837.5,-21350.0,-1270.0,-24367.0,7370.0,5625.0,-1680.0,
20120928,12450.0,-4568.75,-21350.0,-1270.0,-24367.0,16000.0,8462.5,13995.0,
20121031,13762.5,-4625.0,-21940.0,-2650.0,-24367.0,10520.0,3300.0,2690.0,
20121130,10475.0,-6125.0,-24180.0,-4340.0,-24367.0,6180.0,3300.0,-4540.0,
20121231,10350.0,-6125.0,-25900.0,-4340.0,-30183.2,3450.0,3300.0,-5900.0,
20130131,14975.0,-6293.75,-25170.0,-5230.0,-30183.2,5040.0,3300.0,-16065.0,
20130228,8437.5,-2037.5,-31160.0,-6120.0,-36990.6,13430.0,3300.0,-15375.0,
20130329,8437.5,-2037.5,-31550.0,-7210.0,-36990.6,11870.0,3300.0,-14830.0,
20130430,8437.5,-4075.0,-37300.0,-3840.0,-35277.0,24230.0,8750.0,6070.0,
20130531,8437.5,-4075.0,-39520.0,-7900.0,-33030.0,32220.0,6125.0,15780.0,
20130628,4475.0,-6225.0,-39520.0,-9380.0,-39711.4,49150.0,12087.5,29775.0,
20130731,4475.0,-9293.75,-35450.0,-8340.0,-40862.2,40260.0,10562.5,28985.0,
20130830,4475.0,-9293.75,-32690.0,-9290.0,-37561.0,34900.0,6837.5,17700.0,
20130930,4475.0,-7706.25,-37540.0,-10990.0,-43948.4,34900.0,6837.5,17700.0,
20131031,4075.0,-8512.5,-35800.0,-10990.0,-46220.6,34900.0,6837.5,17700.0,
20131129,1787.5,-6562.5,-31490.0,-13690.0,-48991.8,34100.0,6837.5,17700.0,
20131231,1787.5,-5287.5,-38730.0,-13690.0,-48991.8,38910.0,6837.5,17700.0,
20140131,1787.5,-6100.0,-38730.0,-9520.0,-49613.4,35130.0,3737.5,17700.0,
20140228,1787.5,-4043.75,-38710.0,-4610.0,-45035.4,30990.0,3737.5,17700.0,
20140331,750.0,-4587.5,-38900.0,-7020.0,-48466.8,27210.0,5037.5,17700.0,
20140430,-300.0,-3218.75,-39810.0,-2760.0,-48227.4,27760.0,4200.0,17700.0,
20140530,-300.0,-3962.5,-36470.0,-6940.0,-49549.6,27760.0,1225.0,17700.0,
20140630,-2187.5,-1806.25,-33320.0,-6940.0,-55538.0,20680.0,1225.0,17700.0,
20140731,1637.5,-3175.0,-38330.0,-6940.0,-55538.0,20680.0,1225.0,17700.0,
20140829,4850.0,-2943.75,-40820.0,-9310.0,-55538.0,20680.0,1225.0,17700.0,
20140930,11237.5,-706.25,-37240.0,-9330.0,-51027.2,23610.0,1225.0,21690.0,
20141031,12550.0,581.25,-27370.0,-6090.0,-45647.0,27610.0,225.0,26445.0,
20141128,13725.0,2881.25,-12960.0,-12480.0,-33790.4,27290.0,5762.5,29470.0,
20141231,17950.0,3118.75,250.0,-3080.0,-21186.2,21620.0,6275.0,29255.0,
20150130,28087.5,6350.0,5760.0,-1410.0,-16553.6,23070.0,14550.0,17040.0,
20150227,29350.0,3300.0,4920.0,-1700.0,-28947.0,15980.0,9125.0,13300.0,
20150331,34937.5,3843.75,9070.0,-520.0,-28947.0,15980.0,7287.5,13300.0,
20150430,28537.5,1631.25,3390.0,-1240.0,-28947.0,15980.0,7287.5,13300.0,
20150529,28962.5,-212.5,2940.0,-1910.0,-28947.0,15980.0,3362.5,13300.0,
20150630,28962.5,2575.0,1700.0,-1910.0,-28947.0,15980.0,3262.5,13300.0,
20150731,28962.5,1856.25,2130.0,-1910.0,-24952.8,21920.0,5762.5,14600.0,
20150831,24637.5,862.5,590.0,-1910.0,-28955.4,15310.0,6087.5,15520.0,
20150930,23050.0,862.5,5000.0,-1910.0,-21046.8,15310.0,6000.0,15860.0,
20151030,18212.5,-1468.75,300.0,3000.0,-19333.2,11200.0,3962.5,9285.0,
20151130,18212.5,-1468.75,300.0,5070.0,-11487.6,8700.0,3962.5,6675.0,
20151231,14612.5,-1468.75,300.0,4550.0,-588.6,8700.0,1775.0,6675.0,
20160129,13718.75,1618.75,1740.0,4910.0,1805.4,8700.0,3475.0,6675.0,
