EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,0,0,0,-53.12,-209.38,25.0,0,-3950.0,0,0,0,0,0,-21350.0,0,0,0,0,0,0,0,
20000229,-400.0,0,0,-53.12,-209.38,25.0,0,-3950.0,0,0,0,0,0,-21350.0,0,0,0,0,0,0,-150.0,
20000331,-1462.5,0,237.5,-53.12,-209.38,25.0,0,-9890.0,0,-1500.0,0,0,0,-21350.0,0,-212.5,-113.0,0,0,0,585.0,
20000428,-1462.5,0,237.5,518.75,-496.88,768.75,0,-9890.0,0,-1500.0,0,0,0,-40200.0,0,-212.5,-237.5,0,0,0,585.0,
20000531,-2237.5,0,237.5,518.75,-496.88,768.75,0,-9890.0,0,-1500.0,0,0,0,-40200.0,0,-212.5,-237.5,0,-167.2,0,585.0,
20000630,-2237.5,0,237.5,518.75,-496.88,768.75,0,-9890.0,0,-1500.0,1110.0,-386.4,0,-40200.0,0,437.5,-237.5,0,359.2,1256.25,585.0,
20000731,-2237.5,0,237.5,518.75,-496.88,768.75,0,-9890.0,0,-1500.0,-3650.0,-1402.0,0,-40200.0,0,525.0,-237.5,0,684.8,1175.0,585.0,
20000831,-2237.5,0,237.5,518.75,-496.88,768.75,0,-9890.0,0,-1500.0,-3650.0,-1402.0,0,-40200.0,-12600.0,525.0,-237.5,-175.0,-143.2,1037.5,585.0,
20000929,-2237.5,0,-687.5,518.75,-496.88,768.75,0,-9890.0,0,-1500.0,-3650.0,-1082.0,0,-21550.0,-12600.0,525.0,-237.5,-175.0,-143.2,1037.5,585.0,
20001031,-2237.5,0,-687.5,-121.88,-903.12,-606.25,-750.0,-7910.0,0,-4730.0,-3650.0,-1082.0,180.0,-21550.0,16900.0,450.0,-232.0,-175.0,-143.2,1037.5,585.0,
20001130,-2237.5,0,-687.5,-81.25,-862.5,-550.0,-450.0,-7280.0,0,-4930.0,-3650.0,-1082.0,10.0,-21550.0,5800.0,375.0,-348.0,-175.0,-143.2,1037.5,585.0,
20001229,-2237.5,900.0,-687.5,-321.88,-1118.75,-900.0,-450.0,-8220.0,0,-4930.0,650.0,-1082.0,10.0,-21550.0,5800.0,375.0,-348.0,-175.0,-143.2,1037.5,70.0,
20010131,-3925.0,-475.0,-950.0,-1937.5,-1296.88,-3000.0,-450.0,-15350.0,0,-4930.0,-2250.0,-1082.0,10.0,-21550.0,5800.0,200.0,-348.0,-175.0,-143.2,1037.5,-30.0,
20010228,-3925.0,-475.0,-950.0,-1937.5,-1296.88,-3000.0,350.0,-14230.0,0,-4930.0,-2250.0,1307.8,-1110.0,-59050.0,5800.0,200.0,-348.0,-175.0,-546.4,1037.5,1935.0,
20010330,-3925.0,-475.0,-950.0,-1937.5,-1296.88,-3000.0,175.0,-14360.0,0,-4930.0,-2250.0,78.0,-1110.0,-144150.0,50700.0,200.0,-443.0,-175.0,-1094.4,1037.5,1385.0,
20010430,-3925.0,-937.5,-1375.0,-1937.5,-1296.88,-3000.0,175.0,-14360.0,0,-4930.0,-2250.0,78.0,-1110.0,-151750.0,50700.0,200.0,-443.0,-437.5,-1407.2,1037.5,910.0,
20010531,-3925.0,-937.5,-1375.0,-1937.5,-1296.88,-3693.75,175.0,-14360.0,0,-4930.0,-2250.0,78.0,-1110.0,-151750.0,50700.0,200.0,-443.0,-437.5,-1407.2,1037.5,910.0,
20010629,-4300.0,-937.5,-2512.5,-1937.5,-1296.88,-3693.75,175.0,-14360.0,0,-5830.0,4790.0,-3655.0,-1110.0,-100500.0,50700.0,-437.5,-443.0,-787.5,-1407.2,1037.5,910.0,
20010731,-4187.5,-937.5,-2825.0,-1937.5,-1296.88,-3693.75,175.0,-14360.0,0,-5480.0,3900.0,-3655.0,-1110.0,-119350.0,50700.0,-600.0,-443.0,-1050.0,-1407.2,1037.5,910.0,
20010831,-4637.5,-537.5,-2762.5,-1468.75,-671.88,-2225.0,1662.5,-13450.0,0,-5480.0,4500.0,-3655.0,-1490.0,-119350.0,50700.0,-600.0,-562.5,-1050.0,-1317.6,1037.5,910.0,
20010928,-7425.0,-1137.5,-3450.0,-2428.12,-1365.62,-3762.5,1762.5,-12620.0,0,-5480.0,4300.0,-3655.0,-1830.0,-119350.0,50700.0,-687.5,-668.5,-1050.0,-1216.0,1037.5,910.0,
20011031,-7425.0,-1137.5,-3450.0,-2575.0,-1309.38,-3762.5,1762.5,-14420.0,0,-5530.0,4300.0,-3655.0,-2300.0,-119350.0,-14400.0,-687.5,-668.5,-1050.0,-823.2,1181.25,2110.0,
20011130,-7425.0,-1137.5,-3450.0,-2846.88,-1309.38,-3737.5,1762.5,-14420.0,0,-5530.0,4300.0,-3655.0,-2300.0,-119350.0,-14400.0,-687.5,-668.5,-1050.0,-823.2,1181.25,2110.0,
20011231,-7425.0,-1137.5,-3450.0,-2846.88,-1309.38,-3737.5,1762.5,-14420.0,0,-5530.0,4300.0,-3655.0,-2300.0,-156950.0,-14400.0,-687.5,-668.5,-1050.0,-823.2,1181.25,2110.0,
20020131,-7425.0,-850.0,-3450.0,-2846.88,-1309.38,-3737.5,1762.5,-14420.0,0,-5530.0,4300.0,-3655.0,-2300.0,-156950.0,-14400.0,-687.5,-668.5,-1050.0,-823.2,1181.25,2110.0,
20020228,-8737.5,-850.0,-3450.0,-2846.88,-1309.38,-3737.5,1762.5,-14630.0,0,-5530.0,4300.0,-3655.0,-1740.0,-156950.0,-14400.0,-687.5,-668.5,-1050.0,-532.0,1181.25,2110.0,
20020328,-10600.0,-850.0,-3450.0,-2478.12,-1159.38,-4587.5,1762.5,-17420.0,0,-2080.0,9650.0,-836.0,-2170.0,-185800.0,-14400.0,-687.5,-810.0,-1050.0,-755.2,1250.0,2110.0,
20020430,-10600.0,-850.0,-3450.0,-2478.12,-1159.38,-4587.5,1762.5,-17420.0,0,-2080.0,9650.0,-936.0,-2170.0,-185800.0,-14400.0,-687.5,-810.0,-1050.0,-755.2,1900.0,2110.0,
20020531,-10362.5,-1800.0,-3862.5,-2478.12,-1159.38,-4587.5,-687.5,-19190.0,0,-2080.0,9650.0,-936.0,-2170.0,-185800.0,-14400.0,-637.5,-810.0,-1050.0,-755.2,1900.0,1085.0,
20020628,-9675.0,-2575.0,-3862.5,-2478.12,-1159.38,-4587.5,-1425.0,-19190.0,0,-2080.0,9650.0,-936.0,-2650.0,-154650.0,-54500.0,-637.5,-908.0,-1050.0,-755.2,1900.0,1085.0,
20020731,-11362.5,-2887.5,-1800.0,-556.25,450.0,-3493.75,1487.5,-19090.0,0,-2080.0,9960.0,-936.0,-2650.0,-87150.0,-54500.0,75.0,-896.5,50.0,-1605.6,1900.0,955.0,
