EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,1075.0,0,0,875.0,1000.0,-2225.0,0,-2750.0,0,-840.0,0,-445.2,0,-12500.0,0,275.0,0,0,-100.8,0,120.0,
20000229,1737.5,2487.5,0,-287.5,765.62,-2225.0,-1137.5,11020.0,0,1950.0,0,441.0,-2360.0,-86350.0,-187600.0,475.0,0,-1387.5,380.8,0,455.0,
20000331,2550.0,-4225.0,-950.0,-287.5,71.88,-2225.0,-6137.5,14150.0,0,-930.0,0,-2158.0,-2930.0,-86350.0,-225100.0,1075.0,63.0,-1387.5,-189.6,0,260.0,
20000428,8612.5,-4225.0,-1287.5,-1506.25,-1481.25,-4193.75,-6100.0,-5550.0,0,-930.0,10.0,-2158.0,-2930.0,-163850.0,-296200.0,875.0,50.0,-1425.0,280.8,-1912.5,-460.0,
20000531,5512.5,-4225.0,1437.5,-2559.38,-1481.25,-6075.0,-6100.0,4150.0,0,-930.0,12160.0,-2158.0,-2930.0,-222700.0,-366300.0,712.5,-102.0,-1987.5,1300.0,-4018.75,-460.0,
20000630,4262.5,-4225.0,162.5,-2559.38,-1481.25,-6075.0,-6100.0,-9060.0,0,-930.0,13360.0,-2544.4,-2930.0,-222700.0,-366300.0,1362.5,-102.0,-2450.0,2341.6,-2762.5,-460.0,
20000731,4262.5,-4225.0,1275.0,-2559.38,-1481.25,-6075.0,-6100.0,-9060.0,0,-930.0,5000.0,-5749.0,-2930.0,-212700.0,-366300.0,2137.5,-102.0,-2700.0,4492.0,-10350.0,-460.0,
20000831,4262.5,-4225.0,2275.0,-2559.38,-1481.25,-6075.0,-6100.0,-9060.0,0,-930.0,5000.0,3932.0,-2930.0,-161450.0,-431300.0,1325.0,-102.0,-3800.0,4671.2,-10350.0,-1145.0,
20000929,2550.0,-4225.0,650.0,-2559.38,-1481.25,-6075.0,-6100.0,-9060.0,0,-3020.0,7010.0,1353.2,-2930.0,-97700.0,-426400.0,1200.0,-102.0,-3887.5,3697.6,-11587.5,-2555.0,
20001031,6875.0,-4225.0,2025.0,-3200.0,-1887.5,-7450.0,-6850.0,-7080.0,0,-6250.0,2100.0,1781.6,-2750.0,-204050.0,-396900.0,1125.0,-96.5,-3887.5,3697.6,-12287.5,-2510.0,
