Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,503640.0
20000104,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,480087.0
20000105,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,502438.0
20000106,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,488469.0
20000107,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,494744.0
20000110,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,481072.0
20000111,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,471828.0
20000112,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,527179.0
20000113,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,504800.0
20000114,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,522849.0
20000118,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,535068.0
20000119,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,578325.0
20000120,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,556630.0
20000121,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,559443.0
20000124,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,509651.0
20000125,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,479562.0
20000126,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,473411.0
20000127,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,479346.0
20000128,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,451353.0
20000131,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,484484.0
20000201,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,471190.0
20000202,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,418140.0
20000203,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,412209.0
20000204,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,414254.0
20000207,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,288739.0
20000208,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,316893.0
20000209,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,360426.0
20000210,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,362849.0
20000211,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,321558.0
20000214,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,283753.0
20000215,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,277062.0
20000216,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,300453.0
20000217,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,281893.0
20000218,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,290238.0
20000222,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,291691.0
20000223,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,282359.0
20000224,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,240028.0
20000225,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,238601.0
20000228,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,236780.0
20000229,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,238365.0
20000301,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,237375.0
20000302,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,237031.0
20000303,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,240505.0
20000306,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,243871.0
20000307,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,245365.0
20000308,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,240976.0
20000309,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,241671.0
20000310,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,241958.0
20000313,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,236568.0
20000314,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,232107.0
20000315,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,225919.0
20000316,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,225365.0
20000317,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,228786.0
20000320,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,223251.0
20000321,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,225660.0
20000322,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,227561.0
20000323,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,228210.0
20000324,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,229503.0
20000327,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,229522.0
20000328,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,227164.0
20000329,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,223661.0
20000330,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,211843.0
20000331,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,185300.0
20000403,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,173068.0
20000404,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,116703.0
20000405,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,117266.0
20000406,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,117153.0
20000407,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,110488.0
20000410,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,92650.0
20000411,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,79613.0
20000412,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,84775.0
20000413,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,104998.0
20000414,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,146313.0
20000417,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,162448.0
20000418,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,106025.0
20000419,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,99190.0
20000420,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,106728.0
20000424,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,110399.0
20000425,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,34776.0
20000426,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,86649.0
20000427,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,64559.0
20000428,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,15619.0
20000501,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,-29102.0
20000502,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,-77672.0
20000503,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,-70492.0
20000504,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,-117586.0
20000505,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-113385.0
20000508,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-110108.0
20000509,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-109440.0
20000510,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-102318.0
20000511,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-101799.0
20000512,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-103620.0
20000515,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-104840.0
20000516,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,-105092.0
20000517,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,-99779.0
