EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,0,0,0,875.0,1000.0,-1957.35,-4850.0,0,0,-130.0,0,1020.6,0,0,0,400.0,-21.0,0,67.2,0,1375.0,
20000229,0,0,706.25,-1064.55,765.62,-1957.35,-4850.0,0,0,2660.0,0,1906.8,-2030.0,0,0,600.0,-129.0,-850.0,548.8,0,1710.0,
20000331,0,0,-206.25,-1033.23,-95.62,-1271.45,-4850.0,0,0,-120.0,450.0,386.8,-2420.0,0,0,1200.0,-134.5,-850.0,-83.6,0,1515.0,
20000428,0,0,-1131.25,-2158.23,-1397.01,-2396.45,-4850.0,0,0,-120.0,2410.0,386.8,-2420.0,0,0,1000.0,-147.5,-1300.0,431.6,-1593.75,575.0,
20000531,0,0,1912.5,-2974.15,-1397.01,-4226.45,-4850.0,0,0,-120.0,14560.0,386.8,-2420.0,0,0,837.5,-250.0,-1400.0,1450.8,-3406.25,575.0,
20000630,0,0,637.5,-2974.15,-1397.01,-4226.45,-4850.0,0,0,-120.0,15760.0,386.8,-2420.0,0,0,1712.5,-250.0,-2025.0,2492.4,-3406.25,-2390.0,
20000731,0,0,1750.0,-2974.15,-1397.01,-4226.45,-4850.0,0,0,-120.0,7920.0,386.8,-2420.0,0,0,2487.5,-250.0,-2212.5,4642.8,-3406.25,-2960.0,
20000831,0,0,2462.5,-2974.15,-1397.01,-4226.45,-4850.0,0,0,-550.0,7920.0,6342.4,-2420.0,0,0,1675.0,-250.0,-3162.5,4822.0,-3406.25,-1250.0,
20000929,0,0,837.5,-3817.8,-1397.01,-4226.45,-8787.5,0,0,-2320.0,7920.0,3763.6,-2420.0,0,0,1512.5,-250.0,-3162.5,3674.4,-3406.25,-2660.0,
20001031,0,0,562.5,-3333.42,-1628.87,-5476.6,-8112.5,0,0,-2320.0,7920.0,4192.0,-2030.0,0,0,1487.5,-243.5,-4550.0,3674.4,-3406.25,-2690.0,
20001130,0,1087.5,562.5,-2743.3,-206.99,-4714.1,-2175.0,0,0,-2320.0,7920.0,3499.4,-2720.0,0,0,2212.5,-364.0,-4550.0,2638.8,-3200.0,-2950.0,
20001229,0,4312.5,1281.25,-915.17,1246.13,-2745.35,-2850.0,0,0,1110.0,7920.0,3499.4,-2840.0,0,0,2775.0,-425.0,-4462.5,2638.8,-893.75,-4775.0,
20010131,0,6562.5,-1206.25,-555.8,1777.38,-3307.85,-4737.5,0,0,-3510.0,7920.0,3499.4,-2840.0,0,0,1800.0,-425.0,-5025.0,2638.8,-218.75,-4850.0,
20010228,0,7950.0,-1206.25,162.95,2746.13,-4637.85,-4737.5,0,0,-3510.0,7920.0,3499.4,-3670.0,0,0,1800.0,-406.5,-5025.0,2706.0,-1025.0,-795.0,
20010330,0,14550.0,-1175.0,428.58,3199.26,-7032.15,-4737.5,0,0,-3510.0,7920.0,3499.4,-3670.0,0,0,1775.0,-402.5,-4937.5,4094.8,-1562.5,3285.0,
20010430,0,13000.0,-2000.0,-137.8,2050.22,-4968.8,-4737.5,0,0,-3510.0,7920.0,3499.4,-3670.0,0,0,1562.5,-500.0,-5837.5,2308.8,-3168.75,2760.0,
20010531,0,10431.25,-1175.0,-844.65,1581.47,-4062.55,-4737.5,0,0,-3510.0,7920.0,3499.4,-4210.0,0,0,2300.0,-500.0,-5837.5,2308.8,-3168.75,5390.0,
20010629,0,10431.25,-775.0,-2846.55,293.43,-6956.95,-4737.5,0,0,-3750.0,7920.0,858.0,-4210.0,0,0,1762.5,-500.0,-6137.5,2308.8,-4556.25,4425.0,
20010731,0,8293.75,-1362.5,-2783.97,255.63,-6864.7,-4737.5,0,0,-5970.0,7920.0,404.4,-4210.0,0,0,1850.0,-374.5,-6625.0,2555.2,-2100.0,4150.0,
20010831,0,8956.25,-881.25,-2393.35,771.25,-5583.45,-3062.5,0,0,-7340.0,7920.0,-1556.6,-4710.0,0,0,2525.0,-484.0,-7175.0,2577.6,-3000.0,4150.0,
20010928,0,6106.25,-68.75,-112.1,3021.25,-8163.45,1500.0,0,0,-9190.0,7920.0,-4777.6,-5730.0,0,0,1637.5,-550.0,-8212.5,4011.2,-731.25,5665.0,
20011031,0,6106.25,-2018.75,2622.28,4693.13,-5696.25,650.0,0,0,-6940.0,7920.0,-4777.6,-7410.0,0,0,1450.0,-550.0,-8100.0,3888.0,918.75,8155.0,
20011130,0,6106.25,-2687.5,-1038.55,1999.23,-10526.45,-2725.0,0,0,-5200.0,7920.0,-3639.4,-7410.0,0,0,1450.0,-550.0,-8962.5,3076.4,-1062.5,4930.0,
20011231,0,10931.25,-4093.75,-1038.55,939.63,-10526.45,-2725.0,0,0,-5600.0,7920.0,-3950.2,-7410.0,0,0,1450.0,-550.0,-8962.5,3076.4,-1062.5,4930.0,
