Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500425.0
20000104,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496112.0
20000105,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498200.0
20000106,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496506.0
20000107,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498206.0
20000110,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499759.0
20000111,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500878.0
20000112,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,501005.0
20000113,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,500126.0
20000114,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,503268.0
20000118,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,506329.0
20000119,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,509077.0
20000120,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,509761.0
20000121,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,512152.0
20000124,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,505629.0
20000125,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,508718.0
20000126,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,507657.0
20000127,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,505505.0
20000128,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,504678.0
20000131,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,497779.0
20000201,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,498961.0
20000202,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,497223.0
20000203,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,495839.0
20000204,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,497120.0
20000207,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,494870.0
20000208,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,491646.0
20000209,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,494002.0
20000210,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,497149.0
20000211,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,496759.0
20000214,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,498446.0
20000215,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,496258.0
20000216,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,496068.0
20000217,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,494663.0
20000218,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,496454.0
20000222,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,494830.0
20000223,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,496572.0
