EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,0,0,0,875.0,1000.0,-1957.35,0,0,0,0,0,0,0,0,0,400.0,-21.0,0,67.2,0,1375.0,
20000229,0,0,706.25,-1064.55,765.62,-1957.35,0,0,0,0,0,0,-2030.0,0,0,600.0,-129.0,-850.0,548.8,0,1710.0,
20000331,0,0,-206.25,-1033.23,-95.62,-1957.35,0,0,0,0,0,0,-2420.0,0,0,1200.0,-134.5,-850.0,-83.6,0,1515.0,
20000428,0,0,-1131.25,-2158.23,-1397.01,-1957.35,0,0,0,0,0,0,-2420.0,0,0,1000.0,-147.5,-1300.0,431.6,0,575.0,
20000531,0,0,-1131.25,-2974.15,-1397.01,-1957.35,0,0,0,0,0,0,-2420.0,0,0,837.5,-250.0,-1400.0,1450.8,0,575.0,
20000630,0,0,-1131.25,-2974.15,-1397.01,-1957.35,0,0,0,0,0,0,-2420.0,0,0,1712.5,-250.0,-2025.0,2492.4,0,-2390.0,
20000731,0,0,-1131.25,-2974.15,-1397.01,-1957.35,0,0,0,0,0,0,-2420.0,0,0,2487.5,-250.0,-2212.5,4642.8,0,-2960.0,
20000831,0,0,468.75,-2974.15,-1397.01,-1957.35,0,0,0,0,0,0,-2420.0,0,0,1675.0,-250.0,-3162.5,4822.0,0,-1250.0,
20000929,0,0,-1156.25,-3817.8,-1397.01,-1957.35,-662.5,0,0,0,0,0,-2420.0,0,0,1512.5,-250.0,-3162.5,3674.4,0,-2660.0,
20001031,0,0,-1431.25,-3333.42,-1628.87,-3207.5,12.5,0,0,0,0,0,-2030.0,0,0,1487.5,-243.5,-4550.0,3674.4,0,-2690.0,
20001130,0,1087.5,-1431.25,-2743.3,-206.99,-2445.0,5950.0,0,0,0,0,0,-2720.0,0,0,2212.5,-364.0,-4550.0,2638.8,0,-2950.0,
20001229,0,4312.5,-712.5,-915.17,1246.13,-476.25,5275.0,0,0,0,0,0,-2840.0,0,0,2775.0,-425.0,-4462.5,2638.8,0,-4775.0,
20010131,0,6562.5,-3200.0,-555.8,1777.38,-1038.75,3387.5,0,0,0,0,0,-2840.0,0,0,1800.0,-425.0,-5025.0,2638.8,0,-4850.0,
20010228,0,7950.0,-3200.0,162.95,2746.13,-2368.75,3387.5,0,0,0,0,0,-3670.0,0,0,1800.0,-406.5,-5025.0,2706.0,0,-795.0,
20010330,0,14550.0,-3168.75,428.58,3199.26,-4763.05,3387.5,0,0,0,0,0,-3670.0,0,0,1775.0,-402.5,-4937.5,4094.8,0,3285.0,
20010430,0,13000.0,-3993.75,-137.8,2050.22,-2699.7,3387.5,0,0,0,0,0,-3670.0,0,0,1562.5,-500.0,-5837.5,2308.8,-1606.25,2760.0,
20010531,0,10431.25,-3168.75,-844.65,1581.47,-1793.45,3387.5,0,0,0,0,0,-4210.0,0,0,2300.0,-500.0,-5837.5,2308.8,-1606.25,5390.0,
20010629,0,10431.25,-2768.75,-2846.55,293.43,-4687.85,3387.5,0,0,-240.0,0,-2641.4,-4210.0,0,0,1762.5,-500.0,-6137.5,2308.8,-2993.75,4425.0,
20010731,0,8293.75,-3356.25,-2783.97,255.63,-4595.6,3387.5,0,0,-2460.0,0,-3095.0,-4210.0,0,0,1850.0,-374.5,-6625.0,2555.2,-537.5,4150.0,
20010831,0,8956.25,-2875.0,-2393.35,771.25,-3314.35,3387.5,0,0,-3830.0,0,-5056.0,-4710.0,0,0,2525.0,-484.0,-7175.0,2577.6,-1437.5,4150.0,
20010928,0,6106.25,-2062.5,-112.1,3021.25,-5894.35,3387.5,0,0,-5680.0,0,-5056.0,-5730.0,0,0,1637.5,-550.0,-8212.5,4011.2,831.25,5665.0,
20011031,0,6106.25,-4012.5,2622.28,4693.13,-5894.35,3387.5,0,0,-3430.0,0,-5056.0,-7410.0,0,0,1450.0,-550.0,-8100.0,3888.0,2481.25,8155.0,
20011130,0,6106.25,-4681.25,-1038.55,1999.23,-5894.35,3387.5,0,0,-1690.0,0,-5056.0,-7410.0,0,0,1450.0,-550.0,-8962.5,3076.4,500.0,4930.0,
20011231,0,6106.25,-6087.5,-1038.55,939.63,-5894.35,3387.5,0,0,-2090.0,0,-5056.0,-7410.0,0,0,1450.0,-550.0,-8962.5,3076.4,500.0,4930.0,
20020131,1781.25,6106.25,-6037.5,-1038.55,689.63,-5894.35,3387.5,0,0,-3940.0,0,-5056.0,-7410.0,0,0,1450.0,-550.0,-9487.5,3076.4,-1275.0,4930.0,
20020228,356.25,6106.25,-7656.25,-1038.55,-303.79,-5894.35,1812.5,0,0,-3940.0,0,-5056.0,-6570.0,0,0,875.0,-550.0,-9487.5,3580.4,-2787.5,4930.0,
