Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501750.0
20000104,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500188.0
20000105,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502188.0
20000106,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500969.0
20000107,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499844.0
20000110,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500672.0
20000111,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502828.0
20000112,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,503568.0
20000113,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,501864.0
20000114,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,502982.0
20000118,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,504282.0
20000119,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,504934.0
20000120,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,505263.0
20000121,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,504629.0
20000124,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,503580.0
20000125,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,504189.0
20000126,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,502982.0
20000127,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,502716.0
20000128,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,501426.0
20000131,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,501739.0
20000201,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,501143.0
20000202,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,500773.0
20000203,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,497913.0
20000204,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,498035.0
20000207,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,497402.0
20000208,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,495856.0
20000209,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,496722.0
20000210,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,499268.0
20000211,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,498960.0
20000214,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,499224.0
20000215,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,497436.0
20000216,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,496832.0
20000217,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,496500.0
20000218,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,498077.0
20000222,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,497286.0
20000223,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,498030.0
20000224,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,497463.0
20000225,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,496347.0
20000228,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,497170.0
20000229,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,498300.0
20000301,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,499002.0
20000302,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,499178.0
20000303,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,499024.0
20000306,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,499837.0
20000307,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,499389.0
20000308,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,499726.0
20000309,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,499673.0
20000310,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,500307.0
20000313,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,499819.0
20000314,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,500221.0
20000315,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,499999.0
20000316,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,499350.0
20000317,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,500024.0
20000320,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,499324.0
20000321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,498931.0
20000322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,498026.0
20000323,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,496550.0
20000324,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,496226.0
20000327,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,496722.0
20000328,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,496093.0
20000329,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,495195.0
20000330,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,495284.0
20000331,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,495934.0
20000403,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,495883.0
20000404,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,495691.0
20000405,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,494768.0
20000406,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,494017.0
20000407,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,494589.0
20000410,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,495076.0
20000411,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,493933.0
20000412,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,493120.0
20000413,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,493808.0
20000414,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,494271.0
20000417,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,493432.0
20000418,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,493122.0
20000419,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,494130.0
20000420,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,493988.0
20000424,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,493984.0
20000425,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,492854.0
20000426,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,492527.0
20000427,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,491186.0
20000428,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,491495.0
20000501,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,491515.0
20000502,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,491198.0
