EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,1568.75,0,0,875.0,1000.0,-1957.35,-3050.0,-6100.0,0,-130.0,-3050.0,4952.2,0,-18037.5,0,400.0,-21.0,0,67.2,0,1375.0,
20000229,-2131.25,2831.25,706.25,-1064.55,765.62,-1957.35,-4325.0,-6100.0,0,2660.0,-3050.0,4952.2,-5170.0,-18037.5,-63900.0,600.0,-129.0,-850.0,548.8,0,1710.0,
20000331,-1318.75,-2993.75,-206.25,-1033.23,-95.62,-1271.45,-8050.0,-1145.0,0,4950.0,-2240.0,4952.2,-5560.0,-18037.5,-41950.0,1200.0,-134.5,-850.0,-83.6,0,1515.0,
20000428,1893.75,-2993.75,-1131.25,-2158.23,-1397.01,-2396.45,-12150.0,-7255.0,0,2970.0,-280.0,4952.2,-5560.0,5662.5,-69525.0,1000.0,-147.5,-1300.0,431.6,-3068.75,575.0,
20000531,1893.75,-2993.75,1912.5,-2974.15,-1397.01,-4226.45,-12150.0,-19490.0,0,1890.0,1900.0,4952.2,-5560.0,5662.5,-69525.0,837.5,-250.0,-1400.0,1450.8,-3068.75,575.0,
20000630,1893.75,-5356.25,637.5,-2974.15,-1397.01,-4226.45,-12150.0,-19490.0,0,1890.0,1900.0,5179.0,-5560.0,5662.5,-82025.0,1712.5,-250.0,-2025.0,2492.4,-1343.75,-2390.0,
20000731,1893.75,-6043.75,1750.0,-2974.15,-1397.01,-4226.45,-12150.0,-19490.0,0,1890.0,1900.0,1899.2,-5560.0,-1837.5,-82025.0,2487.5,-250.0,-2212.5,4895.2,-7837.5,-2960.0,
20000831,1468.75,-6043.75,2462.5,-2974.15,-1397.01,-4226.45,-12150.0,-19490.0,0,1460.0,1900.0,6851.4,-5560.0,-49875.0,-96525.0,1675.0,-250.0,-3162.5,4895.2,-7593.75,-1250.0,
20000929,-1162.5,-6043.75,5818.75,-3817.8,-1397.01,-4226.45,-15862.5,-19490.0,0,-310.0,6860.0,6851.4,-5560.0,-46737.5,-96525.0,1512.5,-250.0,-3162.5,4895.2,-8831.25,-2660.0,
20001031,-2606.25,-6043.75,5818.75,-3333.42,-1628.87,-5476.6,-10250.0,-14540.0,0,-3370.0,6860.0,6851.4,-5170.0,-46737.5,-84650.0,1487.5,-243.5,-4550.0,4895.2,-9481.25,-2690.0,
20001130,-4218.75,-4956.25,5818.75,-2743.3,-206.99,-4714.1,-10250.0,-14540.0,0,-3370.0,11820.0,3798.4,-5860.0,-61787.5,-84650.0,2212.5,-364.0,-4550.0,3859.6,-9275.0,-2950.0,
20001229,581.25,-1731.25,6537.5,-915.17,1246.13,-2745.35,-10250.0,-14540.0,0,60.0,11820.0,3899.2,-5980.0,-61787.5,-84650.0,2775.0,-425.0,-4462.5,3859.6,-6968.75,-4775.0,
20010131,737.5,-1093.75,4050.0,-555.8,1777.38,-1169.95,-10250.0,-14540.0,0,-4560.0,11820.0,8750.6,-5980.0,-109125.0,-84650.0,1800.0,-425.0,-5025.0,3859.6,-6293.75,-4850.0,
20010228,737.5,-1093.75,4050.0,162.95,2746.13,-1169.95,-8150.0,-14540.0,0,-4560.0,11820.0,8750.6,-6810.0,-141137.5,-85925.0,1800.0,-406.5,-5025.0,3926.8,-7100.0,-795.0,
20010330,737.5,-1093.75,4081.25,830.65,3552.99,-3564.25,-5300.0,-14540.0,0,-4560.0,11820.0,8750.6,-6810.0,-115412.5,-85925.0,1775.0,-402.5,-4937.5,5315.6,-7637.5,175.0,
20010430,-5937.5,-1093.75,3256.25,1096.2,3552.99,-1500.9,-5300.0,-14540.0,0,-4560.0,11820.0,8750.6,-6810.0,-115412.5,-85925.0,1562.5,-500.0,-5837.5,3529.6,-9243.75,175.0,
20010531,-3443.75,-1093.75,4081.25,389.35,3084.24,-594.65,-5300.0,-14540.0,0,-4560.0,13300.0,8750.6,-7350.0,-115412.5,-125275.0,2300.0,-500.0,-5837.5,3529.6,-9243.75,175.0,
20010629,-3731.25,-1093.75,4481.25,-1612.55,1796.21,-3489.05,-5300.0,-14540.0,0,-4800.0,12950.0,6109.2,-7350.0,-111025.0,-125275.0,1762.5,-500.0,-6137.5,3529.6,-10631.25,175.0,
20010731,-6668.75,-3231.25,3893.75,-1549.97,1758.4,-3396.8,-5300.0,-14540.0,0,-7020.0,13710.0,5655.6,-7350.0,-111025.0,-162900.0,1850.0,-374.5,-6625.0,3776.0,-8175.0,175.0,
20010831,-5862.5,-2568.75,4375.0,-1159.35,2274.03,-2115.55,-3250.0,-12185.0,0,-8390.0,13710.0,3694.6,-7850.0,-111025.0,-187400.0,2525.0,-484.0,-7175.0,3798.4,-9075.0,175.0,
20010928,-6025.0,-6012.5,8850.0,1121.9,4524.03,-4695.55,-350.0,-9590.0,0,-10240.0,13710.0,15.8,-8870.0,-111025.0,-233075.0,1637.5,-550.0,-8212.5,5232.0,-6806.25,1690.0,
20011031,-8150.0,-8112.5,8850.0,3353.05,6195.9,-946.65,-350.0,-9590.0,0,-7990.0,13710.0,2514.8,-10550.0,-111025.0,-233075.0,1450.0,-550.0,-8100.0,5108.8,-5156.25,4180.0,
20011130,-8150.0,-8112.5,8181.25,3353.05,3502.0,254.45,-350.0,-9590.0,0,-5750.0,13710.0,5593.8,-10550.0,-98625.0,-233075.0,1450.0,-550.0,-8962.5,4297.2,-7137.5,955.0,
20011231,-9875.0,-3156.25,6775.0,3008.02,2442.41,411.8,-350.0,-9590.0,0,-5750.0,13710.0,5593.8,-10550.0,-98625.0,-233075.0,1450.0,-550.0,-8962.5,4297.2,-7137.5,955.0,
20020131,-9418.75,-3156.25,6825.0,2273.65,2192.41,-900.7,-350.0,-9590.0,0,-5750.0,12280.0,5593.8,-10550.0,-120212.5,-233075.0,1450.0,-550.0,-9487.5,4297.2,-8912.5,955.0,
20020228,-10843.75,-3156.25,5206.25,958.25,1198.98,-2357.35,-1925.0,-9030.0,0,-5750.0,10660.0,5593.8,-9710.0,-114825.0,-233075.0,875.0,-550.0,-9487.5,4801.2,-10425.0,955.0,
20020328,-12443.75,-3156.25,5206.25,1583.13,1795.0,-1825.0,-3175.0,-12645.0,0,-1540.0,15610.0,8672.4,-9050.0,-113062.5,-233075.0,875.0,-564.5,-9487.5,4532.4,-8025.0,300.0,
20020430,-11975.0,-2881.25,5618.75,-1012.15,-123.95,-5188.25,-3087.5,-11345.0,9640.0,-790.0,15610.0,11129.8,-8500.0,-113062.5,-241700.0,812.5,-571.5,-9725.0,5170.8,-10606.25,-1640.0,
20020531,-7487.5,268.75,5706.25,-1012.15,-123.95,-5188.25,-2600.0,-9935.0,9640.0,-790.0,15610.0,11129.8,-6670.0,-119012.5,-222600.0,50.0,-453.0,-10287.5,4381.6,-10606.25,-2930.0,
20020628,-7487.5,1800.0,10162.5,-1292.57,-377.23,-6469.6,1775.0,-7695.0,9640.0,-790.0,15610.0,11129.8,-8030.0,-102187.5,-222600.0,400.0,-470.0,-9850.0,3950.8,-10606.25,1415.0,
20020731,-7487.5,1800.0,10162.5,2082.43,2529.02,-3313.35,1775.0,-7695.0,9640.0,-790.0,15520.0,9383.0,-8100.0,-97237.5,-222600.0,1112.5,-375.5,-8800.0,2406.0,-10606.25,895.0,
20020830,-7487.5,1800.0,10162.5,3937.85,3372.77,-206.95,1775.0,-7695.0,9640.0,-490.0,12840.0,11508.2,-8100.0,-97237.5,-243225.0,2150.0,-355.0,-7000.0,1672.8,-10512.5,-115.0,
20020930,-7487.5,1800.0,10162.5,3937.85,4833.23,-206.95,1775.0,-7695.0,9640.0,980.0,18390.0,13364.6,-8480.0,-97237.5,-243225.0,1325.0,-396.0,-6062.5,1773.6,-10025.0,-1255.0,
20021031,-7487.5,318.75,10162.5,3937.85,4833.23,-206.95,1775.0,-7695.0,9640.0,-1090.0,18390.0,10559.4,-9400.0,-97237.5,-243225.0,1275.0,-445.5,-6062.5,2804.0,-5650.0,-1255.0,
20021129,-8487.5,-1256.25,8406.25,3609.72,4520.73,-206.95,1775.0,-6430.0,9640.0,-2120.0,18390.0,10559.4,-9400.0,-107125.0,-243225.0,1275.0,-399.0,-6062.5,2860.0,-5650.0,-545.0,
20021231,-2531.25,-1268.75,9350.0,1107.5,2507.27,-3288.25,1775.0,-9030.0,9640.0,-4000.0,18390.0,12004.2,-7270.0,-107125.0,-285325.0,1275.0,-537.5,-5037.5,3084.0,-5650.0,-55.0,
20030131,-2531.25,-2456.25,11837.5,1107.5,2507.27,-3288.25,1775.0,-8730.0,9640.0,-1690.0,18390.0,15511.6,-5180.0,-108237.5,-306025.0,825.0,-537.5,-4812.5,4237.6,-5650.0,545.0,
20030228,-2531.25,-4837.5,8450.0,936.5,2124.21,-2382.9,1812.5,-8730.0,10790.0,1380.0,18390.0,15511.6,-4450.0,-111300.0,-306025.0,462.5,-596.0,-4300.0,4024.8,-5650.0,3510.0,
20030331,-2531.25,-6350.0,6893.75,-472.9,938.5,-5213.05,62.5,-8730.0,10790.0,1380.0,18390.0,15511.6,-4450.0,-111300.0,-301650.0,-225.0,-662.5,-3125.0,3347.6,-5706.25,3695.0,
20030430,-1212.5,-6350.0,5675.0,-472.9,938.5,-5213.05,62.5,-8625.0,10790.0,2100.0,18390.0,15511.6,-6330.0,-111300.0,-301650.0,-700.0,-677.5,-2925.0,3347.6,-6806.25,3695.0,
20030530,2425.0,-8212.5,5200.0,1605.8,2245.33,-263.05,1487.5,-6805.0,-20920.0,-1670.0,18390.0,15511.6,-7030.0,-111300.0,-301650.0,-687.5,-671.5,-4887.5,3134.8,-9500.0,3495.0,
20030630,2425.0,-8212.5,5775.0,605.8,1682.83,-263.05,1987.5,-6695.0,-15120.0,-1670.0,18390.0,15511.6,-7030.0,-111300.0,-301650.0,-900.0,-737.5,-5937.5,4098.0,-9500.0,915.0,
20030731,2425.0,-8212.5,3493.75,1210.9,1544.38,2644.05,2787.5,-5205.0,-15120.0,-1670.0,18370.0,12811.4,-7030.0,-104287.5,-250900.0,-12.5,-666.5,-5800.0,3208.0,-9500.0,-635.0,
20030829,3268.75,-8212.5,3262.5,2117.15,3013.13,2269.05,1212.5,-3945.0,-15120.0,-1670.0,15330.0,13021.4,-6670.0,-104287.5,-250900.0,-1237.5,-742.5,-4175.0,3208.0,-9500.0,-1850.0,
