Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102315.0
20000104,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,77447.0
20000105,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,74477.0
20000106,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72979.0
20000107,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,62921.0
20000110,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,59529.0
20000111,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58186.0
20000112,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,72448.0
20000113,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,54239.0
20000114,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,55705.0
20000118,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,61669.0
20000119,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,79877.0
20000120,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,80178.0
20000121,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,79774.0
20000124,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,78354.0
20000125,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,79413.0
20000126,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,77767.0
20000127,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,76980.0
20000128,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,76184.0
20000131,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,77892.0
