EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,1574.29,0,0,875.0,1000.0,-2051.1,0,-3840.0,0,-126.09,0,1022.91,0,-36250.0,0,406.77,-26.5,0,68.2,0,1377.62,
20000229,2236.79,2836.6,706.97,-1064.55,765.62,-2051.1,-1274.7,9930.0,0,2663.91,0,1909.11,-2021.48,-112787.5,-151994.76,606.77,-132.07,-862.5,549.8,0,1712.62,
20000331,3049.29,-2988.4,-205.53,-1026.59,-95.62,-1362.93,-2487.45,13060.0,0,-116.09,810.82,389.11,-2411.48,-112787.5,-120494.76,1206.77,-158.57,-862.5,-82.6,0,1517.62,
20000428,9111.79,-2988.4,-1130.53,-2151.59,-1394.42,-2487.93,-6587.45,-7103.13,0,-2091.89,2770.82,389.11,-2411.48,-166537.5,-202694.76,1006.77,-171.57,-1309.76,438.42,-1605.92,577.62,
20000531,6011.79,-2988.4,1916.96,-2967.52,-1394.42,-4317.93,-6587.45,2596.87,0,-4551.89,14920.82,389.11,-2411.48,-212487.5,-202694.76,844.27,-274.07,-1472.26,1457.62,-3418.42,577.62,
20000630,4193.04,-5346.46,641.96,-2967.52,-1394.42,-4317.93,-6587.45,-8903.13,0,-4551.89,16120.82,617.52,-2411.48,-212487.5,-202694.76,1730.04,-274.07,-2097.26,2499.22,-1730.92,-2383.69,
20000731,4193.04,-6683.96,1754.46,-2967.52,-1394.42,-4317.93,-6587.45,-8903.13,0,-4551.89,8280.82,-2587.08,-2411.48,-191237.5,-202694.76,2505.04,-283.52,-2282.09,4649.62,-13099.67,-2383.69,
20000831,3772.96,-6683.96,2472.47,-2967.52,-1394.42,-4317.93,-6587.45,-8903.13,0,-4976.1,8280.82,7093.92,-2411.48,-139987.5,-240050.7,1692.54,-299.02,-3232.09,4828.82,-12852.33,-1835.92,
20000929,4160.46,-6683.96,847.47,-3797.35,-1394.42,-4317.93,-9852.77,-8903.13,0,-6746.1,11176.18,4515.12,-2411.48,-76237.5,-240050.7,1530.04,-354.52,-3232.09,3681.22,-14089.83,-3245.92,
20001031,8485.46,-6683.96,572.47,-3312.97,-1619.45,-5537.16,-10027.77,-4307.46,0,-6746.1,6066.18,4943.52,-2021.48,-187462.5,-209430.22,1510.05,-338.3,-4611.68,3681.22,-14739.83,-3275.92,
20001130,5847.96,-5593.72,572.47,-3161.4,-197.57,-4868.01,-4090.27,11092.54,0,-6746.1,13356.18,4250.92,-2711.48,-256212.5,-199430.22,2235.05,-458.3,-4611.68,2343.22,-14517.69,-3535.92,
20001229,10652.15,-2368.72,1293.49,-1333.27,1255.55,-2899.26,-4765.27,14202.54,0,-3312.92,45216.18,4352.82,-2831.48,-331837.5,-137930.22,2797.55,-519.3,-4661.68,2343.22,-12211.44,-5360.92,
20010131,9589.65,-118.72,-1194.01,-973.9,1786.8,-3461.76,-6652.77,9472.54,0,-7932.92,11716.18,9867.42,-2831.48,-480706.89,-203880.22,1822.55,-519.3,-5224.18,2343.22,-11536.44,-5432.91,
