Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102456.0
20000104,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,95154.0
20000105,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96254.0
20000106,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91035.0
20000107,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94810.0
20000110,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,99888.0
20000111,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98144.0
20000112,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,102462.0
20000113,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,79988.0
20000114,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,99143.0
20000118,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,112489.0
20000119,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,157197.0
20000120,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,135437.0
20000121,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,138250.0
20000124,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,88457.0
20000125,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,58369.0
20000126,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,52217.0
20000127,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,58152.0
20000128,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,30955.0
20000131,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,64031.0
20000201,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,50631.0
20000202,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,-11021.0
20000203,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,-11523.0
20000204,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,41525.0
20000207,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-101265.0
20000208,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-74304.0
20000209,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-30293.0
20000210,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-26386.0
20000211,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-66792.0
20000214,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-104222.0
20000215,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-111375.0
20000216,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-88709.0
20000217,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-107344.0
20000218,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-98436.0
20000222,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-97920.0
20000223,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-106690.0
20000224,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,-118159.0
20000225,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-115045.0
20000228,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,-120755.0
20000229,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,-148270.0
20000301,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,-161724.0
20000302,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,-127823.0
20000303,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-168873.0
20000306,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-141257.0
20000307,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-147773.0
20000308,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-155552.0
20000309,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-161597.0
20000310,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-144930.0
20000313,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-148710.0
20000314,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-166043.0
20000315,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,-187933.0
20000316,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,-164999.0
20000317,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,-164874.0
20000320,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,-140669.0
20000321,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,-181575.0
20000322,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,-182459.0
20000323,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,-160217.0
20000324,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,-172566.0
20000327,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,-157704.0
20000328,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,-151202.0
20000329,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,-93687.0
20000330,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,-99761.0
20000331,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,-125046.0
20000403,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,-137620.0
20000404,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,-222854.0
20000405,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,-223287.0
20000406,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,-195370.0
20000407,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,-205635.0
20000410,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,-223559.0
20000411,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,-237106.0
20000412,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,-232494.0
20000413,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,-211967.0
20000414,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-168347.0
20000417,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-151637.0
20000418,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-208460.0
20000419,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-214985.0
20000420,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-207527.0
20000424,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-204016.0
20000425,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-266429.0
20000426,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-247876.0
20000427,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,-265015.0
20000428,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,-286372.0
20000501,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-299972.0
20000502,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,-331750.0
20000503,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,-329245.0
20000504,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,-329331.0
20000505,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,-332915.0
20000508,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-330548.0
