EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,975.0,0,0,296.88,734.38,-3112.5,0,-4640.0,0,-380.0,0,222.6,0,-41250.0,0,225.0,0,0,-145.6,0,55.0,
20000229,1637.5,2487.5,0.0,-312.5,500.0,-3112.5,-1150.0,9130.0,0,2410.0,0,1108.8,-2450.0,-115050.0,-201050.0,425.0,0,-1237.5,336.0,0,390.0,
20000331,2450.0,-4137.5,-912.5,-1221.88,-393.75,-3112.5,-6112.5,12260.0,0,-260.0,0,-932.0,-2950.0,-115050.0,-233550.0,1025.0,64.5,-1237.5,-341.2,0,195.0,
20000428,8512.5,-4137.5,1662.5,-2346.88,-2131.25,-5237.5,-13550.0,-9690.0,0,-260.0,-170.0,-932.0,-2950.0,-196300.0,-218550.0,825.0,51.5,-1925.0,118.0,-2006.25,-725.0,
20000531,5412.5,-4137.5,5075.0,-3396.88,-2131.25,-7068.75,-13550.0,10.0,0,-260.0,11980.0,-932.0,-2950.0,-260100.0,-296100.0,387.5,-51.0,-2562.5,1137.2,-4043.75,-725.0,
20000630,3037.5,-4137.5,3800.0,-3396.88,-2131.25,-7068.75,-13550.0,-13190.0,0,-260.0,13180.0,-1431.8,-2950.0,-260100.0,-296100.0,1012.5,-51.0,-3287.5,2178.8,-3406.25,-725.0,
20000731,3037.5,-4137.5,4912.5,-3396.88,-2131.25,-7068.75,-13550.0,-13190.0,0,-260.0,4970.0,-4636.4,-2950.0,-241350.0,-296100.0,1787.5,-51.0,-3537.5,4329.2,-21318.75,-725.0,
20000831,3037.5,-4137.5,8025.0,-3396.88,-2131.25,-7068.75,-13550.0,-13190.0,0,-260.0,4970.0,5044.6,-2950.0,-190100.0,-359650.0,975.0,-51.0,-4687.5,4508.4,-21393.75,-1355.0,
20000929,1225.0,-4137.5,6400.0,-3396.88,-2131.25,-7068.75,-13550.0,-13190.0,0,-2630.0,7330.0,2465.8,-2950.0,-126350.0,-359650.0,950.0,-51.0,-4687.5,3204.0,-22631.25,-2765.0,
20001031,5550.0,-4137.5,8062.5,-3975.0,-2459.38,-8443.75,-14225.0,-11250.0,0,-5990.0,2010.0,2894.2,-2800.0,-247650.0,-338650.0,850.0,-46.0,-4687.5,3204.0,-23675.0,-2705.0,
20001130,2762.5,-3425.0,9625.0,-1646.88,-1037.5,-8462.5,-8287.5,4150.0,0,-4870.0,7740.0,2252.0,-3490.0,-247650.0,-328650.0,1575.0,-66.5,-4687.5,2655.2,-23768.75,-2965.0,
20001229,6687.5,-200.0,8375.0,181.25,415.62,-6493.75,-8962.5,7260.0,0,-3960.0,39600.0,2168.0,-3590.0,-247650.0,-267150.0,2137.5,-128.0,-4687.5,2336.4,-21462.5,-5035.0,
20010131,5625.0,2050.0,6350.0,540.62,946.88,-7056.25,-10775.0,2530.0,0,-9400.0,3160.0,7682.6,-3590.0,-247650.0,-362200.0,1175.0,-128.0,-5250.0,2336.4,-20787.5,-5540.0,
