Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500000.0
20000104,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,492698.0
20000105,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,493798.0
20000106,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,488579.0
20000107,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,492354.0
20000110,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,497432.0
20000111,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,495688.0
20000112,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,494789.0
20000113,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,472360.0
20000114,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,490409.0
20000118,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,503755.0
20000119,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,546968.0
20000120,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,525208.0
20000121,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,528021.0
20000124,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,478229.0
20000125,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,448140.0
20000126,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,441989.0
20000127,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,447924.0
20000128,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,419881.0
20000131,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,452981.0
20000201,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,439687.0
20000202,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,386637.0
20000203,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,395806.0
20000204,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,402076.0
20000207,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,259999.0
20000208,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,270274.0
20000209,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,314323.0
20000210,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,317136.0
20000211,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,275602.0
20000214,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,237203.0
20000215,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,230715.0
20000216,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,254122.0
20000217,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,235781.0
20000218,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,243611.0
20000222,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,244033.0
20000223,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,235234.0
20000224,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,192213.0
20000225,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,193336.0
20000228,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,192228.0
20000229,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,194062.0
20000301,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,192938.0
20000302,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,192638.0
20000303,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,196029.0
20000306,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,199629.0
20000307,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,200967.0
20000308,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,196578.0
20000309,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,197022.0
20000310,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,197576.0
20000313,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,191948.0
20000314,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,187090.0
20000315,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,180853.0
20000316,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,180817.0
20000317,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,184141.0
20000320,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,178606.0
20000321,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,180966.0
20000322,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,183151.0
20000323,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,183800.0
20000324,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,185093.0
20000327,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,185112.0
20000328,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,182754.0
20000329,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,179340.0
20000330,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,172327.0
20000331,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,145783.0
20000403,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,133645.0
20000404,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,77280.0
20000405,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,90187.0
20000406,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,94837.0
20000407,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,93911.0
