EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,1075.0,0,0,875.0,1000.0,-2175.0,0,-2750.0,0,-840.0,0,-445.2,0,-12500.0,0,275.0,-28.0,0,44.8,0,1430.0,
20000229,1737.5,2487.5,750.0,265.62,765.62,-2175.0,-1725.0,11020.0,0,1950.0,0,441.0,-2360.0,-86300.0,-214050.0,475.0,-109.0,-1287.5,526.4,0,1765.0,
20000331,2550.0,-4175.0,-162.5,-643.75,-190.62,-1581.25,-6675.0,14150.0,0,-720.0,-50.0,-1599.8,-2860.0,-86300.0,-182550.0,1075.0,-46.0,-1287.5,-195.6,0,1570.0,
20000428,8612.5,-4175.0,2412.5,-1862.5,-1740.62,-2706.25,-14112.5,-8000.0,0,-720.0,1910.0,-1599.8,-2860.0,-163800.0,-167550.0,875.0,-59.0,-1325.0,274.8,-1912.5,290.0,
20000531,5512.5,-4175.0,5825.0,-2912.5,-1740.62,-4537.5,-14112.5,1700.0,0,-720.0,14060.0,-1599.8,-2860.0,-222600.0,-237600.0,437.5,-161.5,-1800.0,1294.0,-3968.75,290.0,
20000630,3150.0,-4175.0,4550.0,-2912.5,-1740.62,-4537.5,-14112.5,-11460.0,0,-720.0,15260.0,-1986.2,-2860.0,-222600.0,-237600.0,1087.5,-161.5,-2525.0,2335.6,-2712.5,290.0,
20000731,3150.0,-4175.0,5662.5,-2912.5,-1740.62,-4537.5,-14112.5,-11460.0,0,-720.0,7050.0,-5190.8,-2860.0,-212600.0,-237600.0,1862.5,-161.5,-2775.0,4486.0,-15243.75,290.0,
20000831,3150.0,-4175.0,8775.0,-2912.5,-1740.62,-4537.5,-14112.5,-11460.0,0,-720.0,7050.0,4490.2,-2860.0,-161350.0,-302600.0,1050.0,-161.5,-3875.0,4665.2,-15243.75,865.0,
20000929,1437.5,-4175.0,7150.0,-2912.5,-1740.62,-4537.5,-14600.0,-11460.0,0,-3260.0,9060.0,1911.4,-2860.0,-97600.0,-297650.0,1150.0,-161.5,-3912.5,3360.8,-16481.25,-545.0,
20001031,5762.5,-4175.0,8812.5,-3553.12,-2146.88,-5912.5,-13925.0,-6880.0,0,-6490.0,3740.0,2339.8,-2680.0,-218900.0,-268150.0,1075.0,-156.0,-3912.5,3360.8,-17131.25,-850.0,
20001130,3025.0,-3437.5,10375.0,-1225.0,-725.0,-5650.0,-7987.5,8520.0,0,-5370.0,8930.0,1496.0,-3370.0,-218900.0,-258150.0,1800.0,-176.5,-3912.5,2565.6,-16981.25,-1085.0,
20001229,6862.5,-212.5,8762.5,603.12,728.12,-3681.25,-8662.5,11630.0,0,-3990.0,40790.0,1668.2,-3410.0,-218900.0,-196650.0,2362.5,-242.0,-3862.5,2291.6,-14675.0,-3155.0,
20010131,5800.0,2037.5,6737.5,962.5,1259.38,-4243.75,-10475.0,6900.0,0,-7290.0,4350.0,7182.8,-3410.0,-218900.0,-309200.0,1400.0,-242.0,-4425.0,2291.6,-14000.0,-3260.0,
20010228,4425.0,3425.0,6237.5,1681.25,2228.12,-3025.0,-9675.0,20860.0,0,-7290.0,4350.0,9303.8,-4480.0,-256400.0,-309200.0,1400.0,-242.0,-4425.0,1888.4,-14806.25,795.0,
20010330,2687.5,10025.0,6237.5,1946.88,2681.25,-4231.25,-6037.5,27320.0,0,-7290.0,4350.0,9509.6,-4480.0,-253950.0,-199200.0,1400.0,-240.5,-4425.0,3277.2,-15643.75,4875.0,
20010430,2687.5,8475.0,5512.5,1475.0,1240.62,-2262.5,-10287.5,21790.0,0,-7290.0,4350.0,5226.0,-4480.0,-286450.0,-230700.0,862.5,-341.5,-5750.0,2208.0,-17568.75,4350.0,
20010531,5075.0,5750.0,6337.5,2443.75,1240.62,-1356.25,-11200.0,18010.0,0,-7290.0,4810.0,5226.0,-4850.0,-334000.0,-284250.0,1600.0,-341.5,-5887.5,2208.0,-17568.75,6980.0,
20010629,4787.5,5750.0,6737.5,143.75,1240.62,-4500.0,-11200.0,18010.0,0,-8190.0,12990.0,1564.0,-4410.0,-282750.0,-284250.0,1375.0,-341.5,-6237.5,2208.0,-17568.75,6015.0,
20010731,1612.5,3762.5,5675.0,143.75,1240.62,-4500.0,-11200.0,18010.0,0,-11190.0,10990.0,934.0,-5010.0,-205250.0,-290750.0,837.5,-212.0,-7312.5,2208.0,-17568.75,5795.0,
20010831,1162.5,4162.5,5737.5,612.5,1865.62,-3031.25,-9712.5,20120.0,0,-12490.0,20150.0,-1384.0,-5390.0,-216500.0,-281750.0,1512.5,-321.5,-8050.0,2297.6,-17568.75,5795.0,
20010928,1000.0,3950.0,6550.0,2893.75,4115.62,-5675.0,-5150.0,26070.0,0,-12970.0,21510.0,-5554.2,-3640.0,-129000.0,-339300.0,625.0,-396.0,-9175.0,3731.2,-17568.75,7330.0,
20011031,-1262.5,1137.5,4225.0,5628.12,5787.5,-3112.5,-6000.0,22190.0,0,-10720.0,15500.0,-3055.2,-5480.0,-61500.0,-545350.0,375.0,-396.0,-9275.0,3608.0,-16818.75,9820.0,
20011130,-1262.5,1137.5,3500.0,968.75,2721.88,-8662.5,-10087.5,19700.0,0,-8980.0,15500.0,-346.2,-5480.0,-121550.0,-545350.0,375.0,-396.0,-10125.0,2774.0,-18593.75,6645.0,
20011231,-2637.5,5337.5,2000.0,-296.88,2721.88,-8568.75,-10087.5,19700.0,0,-9380.0,15500.0,-657.0,-5480.0,-304050.0,-545350.0,375.0,-396.0,-10125.0,2774.0,-18593.75,6645.0,
