Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,503640.0
20000104,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,480087.0
20000105,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,502438.0
20000106,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,488469.0
20000107,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,494744.0
20000110,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,481072.0
20000111,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,471828.0
20000112,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,527179.0
20000113,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,504766.0
20000114,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,522860.0
20000118,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,535138.0
20000119,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,579846.0
20000120,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,558086.0
20000121,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,560899.0
20000124,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,511106.0
20000125,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,481018.0
20000126,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,474866.0
20000127,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,480801.0
20000128,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,452804.0
20000131,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,485962.0
20000201,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,472663.0
20000202,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,419598.0
20000203,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,428755.0
20000204,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,434976.0
20000207,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,308611.0
20000208,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,318024.0
20000209,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,361810.0
20000210,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,364961.0
20000211,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,324392.0
20000214,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,286368.0
20000215,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,279418.0
20000216,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,302099.0
20000217,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,283683.0
20000218,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,292075.0
20000222,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,291685.0
20000223,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,284274.0
20000224,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,240915.0
20000225,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,241638.0
20000228,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,241417.0
20000229,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,214177.0
20000301,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,200553.0
20000302,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,235302.0
20000303,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,193644.0
20000306,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,221244.0
20000307,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,215082.0
20000308,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,208193.0
20000309,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,201137.0
20000310,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,218190.0
20000313,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,212612.0
20000314,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,195218.0
20000315,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,172479.0
20000316,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,192443.0
20000317,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,193305.0
20000320,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,218657.0
20000321,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,176067.0
20000322,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,174677.0
20000323,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,196326.0
20000324,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,184056.0
20000327,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,198138.0
20000328,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,204312.0
20000329,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,261946.0
20000330,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,255726.0
20000331,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,230308.0
20000403,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,217641.0
20000404,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,161481.0
20000405,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,175286.0
20000406,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,180255.0
20000407,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,183180.0
20000410,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,135499.0
20000411,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,132083.0
20000412,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,134302.0
20000413,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,140509.0
20000414,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,177360.0
20000417,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,210520.0
20000418,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,155730.0
20000419,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,152369.0
20000420,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,226395.0
20000424,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,253541.0
20000425,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,159368.0
20000426,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,211479.0
20000427,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,189426.0
20000428,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,141952.0
20000501,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,97219.0
20000502,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,48273.0
20000503,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,55391.0
20000504,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,9700.0
20000505,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,13875.0
20000508,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,17152.0
20000509,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,17820.0
20000510,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,24943.0
20000511,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,25462.0
20000512,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,23641.0
20000515,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,22420.0
20000516,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,22268.0
20000517,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,27531.0
