EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,-2562.5,1925.0,-1281.25,1233.4,-551.72,2699.6,-3037.5,3440.0,0,-810.0,-2860.0,2454.0,730.0,108137.5,-89225.0,-562.5,-100.0,1025.0,-212.0,5243.75,-1950.0,
20000229,725.0,-893.75,-1106.25,76.07,1112.98,3683.95,-50.0,3570.0,0,1470.0,530.0,2735.8,630.0,126125.0,-211600.0,-312.5,-216.5,250.0,-636.0,3200.0,-2795.0,
20000331,2293.75,-7556.25,-2018.75,-1135.35,184.99,3789.35,-1112.5,7300.0,0,-5020.0,710.0,1006.6,-630.0,161175.0,-143400.0,-887.5,-335.0,325.0,-920.4,5875.0,-2990.0,
20000428,15993.75,-7556.25,-3450.0,-2354.1,-1318.14,1820.6,-4975.0,-18220.0,0,-7390.0,1880.0,-899.0,-1030.0,-80750.0,-123650.0,-762.5,-348.0,1475.0,-450.0,2825.0,-3660.0,
20000531,8093.75,-7556.25,-3587.5,-3357.23,-1524.03,-10.65,-4975.0,-8520.0,0,-7390.0,14030.0,-1402.2,50.0,-139550.0,-25300.0,-2712.5,-450.5,-450.0,569.2,4212.5,-3660.0,
20000630,5731.25,-11631.25,-4862.5,-3357.23,-2569.25,-10.65,-4062.5,-21680.0,0,-7390.0,15230.0,619.2,-770.0,-71575.0,1500.0,-3125.0,-450.5,-800.0,1610.8,2868.75,-3660.0,
20000731,6943.75,-12900.0,-3750.0,-3357.23,-2569.25,-10.65,-4487.5,-22735.0,0,-8190.0,6620.0,3136.2,-770.0,-146200.0,38100.0,-2350.0,-450.5,-2762.5,3761.2,-9793.75,-5745.0,
20000831,3556.25,-11400.0,-4187.5,-3357.23,-2569.25,-10.65,-5075.0,-26550.0,0,-9840.0,6620.0,3649.8,-190.0,-161162.5,-110450.0,-3162.5,-450.5,-3862.5,3940.4,-10968.75,-6430.0,
20000929,1843.75,-12975.0,-5812.5,-3357.23,-2569.25,-10.65,-5687.5,-26550.0,0,-11880.0,8630.0,1071.0,550.0,-152462.5,-30100.0,-3212.5,-464.5,-3900.0,2445.6,-11075.0,-7840.0,
20001031,6168.75,-12531.25,-4150.0,-3997.85,-2975.5,-1385.65,-10475.0,-24570.0,0,-15110.0,3770.0,1499.4,1290.0,-277512.5,-56150.0,-3287.5,-519.5,-3925.0,2445.6,-11012.5,-8050.0,
20001130,3431.25,-13743.75,-4512.5,-1669.73,-1553.62,-1123.15,-4537.5,-9170.0,0,-14770.0,8960.0,-3636.0,720.0,-277512.5,-46150.0,-2562.5,-599.0,-2800.0,1650.4,-9725.0,-8285.0,
