Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,503259.0
20000104,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,496979.0
20000105,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,532959.0
20000106,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,519664.0
20000107,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,557284.0
20000110,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,571857.0
20000111,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,569152.0
20000112,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,561693.0
20000113,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,590101.0
20000114,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,568071.0
20000118,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,563454.0
20000119,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,525654.0
20000120,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,527448.0
20000121,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,524552.0
20000124,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,554058.0
20000125,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,534051.0
20000126,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,551433.0
20000127,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,494469.0
20000128,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,464430.0
20000131,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,523736.0
20000201,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,545070.0
20000202,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,497592.0
20000203,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,488093.0
20000204,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,338881.0
20000207,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,336019.0
