EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,1568.75,0,0,875.0,1000.0,-1907.35,-4800.0,-2750.0,0,-130.0,-4410.0,1020.6,0,-12500.0,0,400.0,-21.0,0,67.2,0,1375.0,
20000229,2231.25,2831.25,706.25,-1014.55,765.62,-1907.35,-6075.0,11020.0,0,2660.0,-4410.0,1906.8,-2030.0,-88987.5,-151975.0,600.0,-50.0,-800.0,548.8,0,1710.0,
20000331,3043.75,-2943.75,-206.25,-983.23,-45.62,-1221.45,-7250.0,14150.0,0,-70.0,-3600.0,436.8,-2370.0,-88987.5,-120475.0,1200.0,15.5,-800.0,-33.6,0,1515.0,
20000428,9106.25,-2943.75,-1081.25,-2108.23,-1297.01,-2346.45,-11300.0,-5965.0,0,-2050.0,-1640.0,436.8,-2370.0,-142737.5,-221350.0,1000.0,2.5,-1250.0,481.6,-1612.5,665.0,
20000531,6006.25,-2943.75,1962.5,-2874.15,-1297.01,-4126.45,-11300.0,3735.0,0,-4480.0,10510.0,436.8,-2370.0,-188637.5,-298725.0,887.5,-50.0,-1300.0,1500.8,-3375.0,665.0,
20000630,4237.5,-5306.25,687.5,-2874.15,-1297.01,-4126.45,-11300.0,-7715.0,0,-4480.0,11710.0,663.6,-2370.0,-188637.5,-368675.0,1762.5,-50.0,-1875.0,2542.4,-1650.0,-2250.0,
20000731,4237.5,-6593.75,1800.0,-2874.15,-1297.01,-4126.45,-11300.0,-7715.0,0,-4480.0,3920.0,-2541.0,-2370.0,-167387.5,-368675.0,2537.5,-50.0,-2062.5,4692.8,-12918.75,-2820.0,
20000831,3812.5,-6593.75,2562.5,-2874.15,-1297.01,-4126.45,-11300.0,-7715.0,0,-4910.0,3920.0,7140.0,-2370.0,-116137.5,-406000.0,1725.0,-50.0,-2962.5,4872.0,-12675.0,-1110.0,
20000929,4200.0,-6593.75,937.5,-3717.8,-1297.01,-4126.45,-15187.5,-7715.0,0,-6630.0,6810.0,4561.2,-2370.0,-52387.5,-406000.0,1612.5,-50.0,-2962.5,3774.4,-13912.5,-2520.0,
20001031,8525.0,-6593.75,712.5,-3233.42,-1528.87,-5376.6,-14512.5,-3120.0,0,-9730.0,1750.0,4989.6,-1980.0,-163562.5,-375400.0,1587.5,-43.5,-4312.5,3774.4,-14512.5,-2500.0,
20001130,5937.5,-5506.25,712.5,-2593.3,-106.99,-4564.1,-8575.0,12280.0,0,-8610.0,9040.0,907.2,-2670.0,-232312.5,-365400.0,2312.5,-114.0,-4312.5,2788.8,-14306.25,-2760.0,
20001229,10737.5,-2281.25,1431.25,-765.17,1346.13,-2595.35,-9250.0,15390.0,0,-5790.0,40900.0,-957.6,-2740.0,-307887.5,-303900.0,2875.0,-125.0,-4225.0,2788.8,-12000.0,-4585.0,
20010131,9675.0,-31.25,-1006.25,-405.8,1877.38,-3157.85,-11087.5,10660.0,0,-10360.0,7450.0,4557.0,-2740.0,-456712.5,-369800.0,1950.0,-125.0,-4737.5,2788.8,-11325.0,-4660.0,
