Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,102315.0
20000104,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,75622.0
20000105,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,98140.0
20000106,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,83416.0
20000107,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,92746.0
20000110,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,79369.0
20000111,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,68648.0
20000112,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,123755.0
20000113,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,102026.0
20000114,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,121448.0
20000118,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,133759.0
20000119,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,178277.0
20000120,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,154131.0
20000121,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,156782.0
20000124,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,104889.0
20000125,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,75138.0
20000126,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,68837.0
20000127,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,73865.0
20000128,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,46712.0
20000131,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,79788.0
20000201,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,66383.0
20000202,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,4781.0
20000203,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,4379.0
20000204,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,57403.0
20000207,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-85387.0
20000208,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-58426.0
20000209,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-14416.0
20000210,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-10496.0
20000211,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-50901.0
20000214,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-88331.0
20000215,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-95485.0
20000216,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-72819.0
20000217,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-91454.0
20000218,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-82546.0
20000222,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-82030.0
20000223,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,-90801.0
20000224,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,-102219.0
20000225,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-99071.0
20000228,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-104779.0
20000229,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-132269.0
20000301,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,-145722.0
20000302,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-111766.0
20000303,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-152752.0
20000306,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-125136.0
20000307,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-131652.0
20000308,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-139431.0
20000309,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-145476.0
20000310,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-128809.0
20000313,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,-132539.0
20000314,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,-149871.0
20000315,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,-171669.0
20000316,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,-148681.0
20000317,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,-148544.0
20000320,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,-124339.0
20000321,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,-165195.0
20000322,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,-166079.0
20000323,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,-143839.0
20000324,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,-156188.0
20000327,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,-141326.0
20000328,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,-134775.0
20000329,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,-77259.0
20000330,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,-83333.0
20000331,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,-108625.0
20000403,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,-121199.0
20000404,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,-206236.0
20000405,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,-206598.0
20000406,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,-178662.0
20000407,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,-188927.0
20000410,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,-206855.0
20000411,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,-220401.0
20000412,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,-215789.0
20000413,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,-195275.0
20000414,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-151657.0
20000417,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-134947.0
20000418,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-191770.0
20000419,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,-198295.0
20000420,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,-202062.0
20000424,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,-175051.0
20000425,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,-268464.0
20000426,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,-215911.0
20000427,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,-238502.0
20000428,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,-288360.0
20000501,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,-332910.0
20000502,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,-364638.0
20000503,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,-361970.0
20000504,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,-408435.0
20000505,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,-412019.0
20000508,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,-409542.0
20000509,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-408954.0
20000510,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-401832.0
20000511,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-401313.0
20000512,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,-403133.0
20000515,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,-404356.0
20000516,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,-404507.0
20000517,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,-399194.0
20000518,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,-395760.0
20000519,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,-392872.0
20000522,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,-396461.0
20000523,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,-389295.0
20000524,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,-390056.0
20000525,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,-387912.0
20000526,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,-390851.0
20000530,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,-397117.0
