CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100129,0,0,0,0,0,0,0,1859.2,0,0,
20100226,0,2850.0,0,187.5,0,-2062.5,0,-3152.4,-5120.0,0,
20100331,0,4312.5,0,-2525.0,3210.0,-1062.5,0,-2424.4,-9220.0,0,
20100430,0,6987.5,0,-2525.0,3590.0,-2650.0,770.0,-710.8,-9220.0,0,
20100528,-1220.0,19825.0,-1950.0,-2525.0,-40.0,-2650.0,-1240.0,364.4,-9220.0,1375.0,
20100630,-1800.0,20237.5,1140.0,118.75,-1630.0,-2650.0,-1240.0,-2317.6,-9220.0,4046.88,
20100730,-4750.0,13375.0,-4310.0,4037.5,-1630.0,-687.5,-1240.0,-1063.2,-9220.0,5312.5,
20100831,-5520.0,13375.0,-4310.0,4225.0,-1180.0,-1012.5,-1240.0,-861.6,-9220.0,7937.5,
20100930,-5520.0,13375.0,-3030.0,5950.0,-460.0,3825.0,-1240.0,4525.6,160.0,8359.38,
20101029,-5520.0,15312.5,1770.0,3462.5,1370.0,9737.5,-540.0,10842.4,13875.0,8593.75,
20101130,-5520.0,8381.25,4470.0,1606.25,-1120.0,10087.5,-1400.0,9084.0,31890.0,7496.88,
20101231,-5520.0,8381.25,8000.0,16343.75,-1120.0,17587.5,-2420.0,14202.4,45515.0,7059.38,
20110131,-5520.0,8381.25,1810.0,17956.25,-1120.0,18087.5,-1900.0,16274.4,25115.0,6700.0,
20110228,-5520.0,8381.25,1810.0,27200.0,-1120.0,14400.0,-3760.0,12360.4,33740.0,7215.62,
20110331,-4230.0,8381.25,1810.0,24368.75,-1120.0,14400.0,-4560.0,12360.4,54080.0,6791.23,
20110429,2420.0,8381.25,7250.0,36668.75,-1120.0,14400.0,-4560.0,13222.8,107530.0,6791.23,
20110531,-9800.0,-1250.0,5190.0,26250.0,-1120.0,14400.0,-3410.0,12181.2,40450.0,9150.6,
20110630,-9800.0,-1250.0,1790.0,19012.5,-1120.0,14400.0,-6130.0,10697.6,40450.0,8869.35,
20110729,-9800.0,-1250.0,2740.0,28781.25,-1120.0,14400.0,-6130.0,11000.0,40450.0,12228.73,
20110831,-16580.0,-1250.0,22790.0,20068.75,-1120.0,14400.0,-6130.0,10854.4,40450.0,16541.23,
20110930,-6750.0,1937.5,5970.0,20068.75,-1120.0,14225.0,-6130.0,8295.6,39510.0,17603.73,
20111031,-16720.0,-5400.0,5970.0,20068.75,-2900.0,12762.5,-6130.0,8295.6,18155.0,15319.08,
20111130,-16720.0,-5400.0,5970.0,20068.75,2360.0,17062.5,-6130.0,8295.6,26390.0,15319.08,
20111230,-16720.0,-5400.0,5970.0,20068.75,8350.0,13712.5,-6130.0,8295.6,50835.0,15319.08,
20120131,-16720.0,-5400.0,5970.0,20068.75,13610.0,12400.0,-6130.0,8295.6,32910.0,15319.08,
20120229,-19320.0,-5400.0,5970.0,19900.0,13880.0,12400.0,-6130.0,8116.4,32910.0,15319.08,
20120330,-24240.0,-5400.0,5970.0,27700.0,19710.0,16475.0,-6130.0,7780.4,32910.0,13756.58,
20120430,-24240.0,-5400.0,5970.0,29650.0,19000.0,21762.5,-5610.0,6632.8,32910.0,12801.48,
20120531,-17680.0,387.5,3640.0,36737.5,16610.0,14575.0,-6960.0,7484.0,38525.0,12801.48,
20120629,-15780.0,-3187.5,-360.0,33643.75,16610.0,14575.0,-7550.0,4712.4,39470.0,12067.1,
20120731,-18580.0,1250.0,-960.0,31962.5,16610.0,21637.5,-7550.0,4712.4,37960.0,13348.35,
20120831,-22290.0,-1462.5,920.0,31962.5,16610.0,27412.5,-7550.0,4712.4,38950.0,11828.82,
20120928,-22290.0,-4875.0,9550.0,31962.5,16610.0,17412.5,-7550.0,4712.4,54625.0,11828.82,
20121031,-22290.0,-3562.5,4070.0,31962.5,14130.0,17412.5,-7550.0,4712.4,43320.0,11828.82,
20121130,-22290.0,-6868.75,1110.0,31962.5,12680.0,15637.5,-7550.0,4712.4,37745.0,11828.82,
20121231,-22290.0,-6868.75,-490.0,31962.5,12680.0,16800.0,-7550.0,4712.4,36860.0,11828.82,
20130131,-22290.0,-6781.25,1100.0,31962.5,12680.0,14200.0,-7550.0,4712.4,25725.0,11828.82,
20130228,-22290.0,-12212.5,9490.0,31962.5,12680.0,14200.0,-7350.0,4712.4,25725.0,11828.82,
20130329,-22290.0,-12212.5,7930.0,30481.25,13280.0,14200.0,-6750.0,4712.4,25725.0,11828.82,
20130430,-28330.0,-12212.5,20290.0,32112.5,16100.0,14200.0,-7350.0,4712.4,21385.0,12422.57,
20130531,-28330.0,-12212.5,28280.0,28462.5,12040.0,15075.0,-7710.0,5104.4,31095.0,10652.77,
20130628,-28330.0,-16187.5,45210.0,31743.75,11780.0,14512.5,-7470.0,5003.6,45090.0,10105.9,
20130731,-27740.0,-16187.5,36320.0,26762.5,11780.0,12237.5,-7960.0,4947.6,44300.0,10230.9,
20130830,-24980.0,-16187.5,32400.0,26762.5,11780.0,11587.5,-6240.0,4875.2,35330.0,11215.27,
20130930,-29460.0,-16187.5,32400.0,26762.5,11780.0,7800.0,-4720.0,4875.2,35330.0,10056.8,
20131031,-27960.0,-18900.0,32400.0,27362.5,11780.0,7800.0,-3700.0,4640.0,35330.0,10056.8,
20131129,-23650.0,-21050.0,32400.0,26462.5,11780.0,7800.0,-5310.0,4074.8,35330.0,10056.8,
20131231,-30990.0,-21050.0,32400.0,25006.25,11040.0,7800.0,-4980.0,4074.8,35330.0,10056.8,
20140131,-30990.0,-21050.0,32400.0,25006.25,10660.0,7800.0,-5650.0,4074.8,35330.0,10056.8,
20140228,-30690.0,-21050.0,32400.0,38300.0,15570.0,10575.0,-6380.0,4074.8,35330.0,10056.8,
20140331,-35750.0,-22112.5,25700.0,37400.0,13160.0,13075.0,-2020.0,4074.8,35330.0,10056.8,
20140430,-35750.0,-22975.0,25770.0,47018.75,17420.0,15700.0,-3640.0,4074.8,35330.0,10056.8,
20140530,-35750.0,-22975.0,25770.0,37556.25,13720.0,14725.0,-6390.0,4074.8,35330.0,10681.8,
20140630,-36440.0,-22975.0,20020.0,37556.25,13720.0,12512.5,-6390.0,4074.8,35330.0,10338.05,
20140731,-40170.0,-22975.0,20020.0,37556.25,16630.0,14512.5,-5340.0,4881.2,35330.0,9036.92,
20140829,-40170.0,-22225.0,20020.0,37556.25,14810.0,17400.0,-3320.0,5967.6,35330.0,9036.92,
20140930,-40170.0,-15837.5,21180.0,37556.25,14220.0,22550.0,-6940.0,6639.6,38420.0,9036.92,
20141031,-36480.0,-14525.0,25180.0,28393.75,14220.0,17587.5,-6940.0,7098.8,43175.0,8630.67,
20141128,-22070.0,-13350.0,24860.0,28393.75,14220.0,17587.5,-6940.0,7602.8,46200.0,9943.17,
20141231,-8860.0,-9125.0,19970.0,28393.75,22230.0,17587.5,-6560.0,8801.2,45985.0,9693.17,
20150130,-3350.0,1012.5,18400.0,28393.75,23900.0,17587.5,-2120.0,7429.6,40575.0,13771.3,
20150227,-4190.0,2275.0,12220.0,31618.75,23610.0,17587.5,-210.0,7429.6,40575.0,10251.9,
20150331,-40.0,7862.5,12220.0,34468.75,24790.0,17587.5,1920.0,9098.4,40575.0,10251.9,
20150430,-5090.0,3075.0,12220.0,33793.75,24070.0,17587.5,-290.0,7620.0,40575.0,10251.9,
20150529,-5090.0,3075.0,12220.0,38031.25,23530.0,16987.5,-290.0,7155.6,40575.0,10251.9,
20150630,-5090.0,3075.0,12220.0,36606.25,23530.0,15237.5,-290.0,6315.6,40575.0,10251.9,
20150731,-5190.0,3075.0,17190.0,39287.5,23530.0,12262.5,-290.0,7805.2,40025.0,10251.9,
20150831,-6730.0,3075.0,10720.0,36443.75,23530.0,12262.5,-290.0,8309.2,40945.0,10251.9,
20150930,-2320.0,3075.0,10720.0,36443.75,23530.0,12262.5,-290.0,7161.6,37330.0,10251.9,
20151030,-6490.0,3075.0,10720.0,36443.75,27730.0,12262.5,-290.0,7912.0,37330.0,10251.9,
20151130,-6490.0,5387.5,10720.0,36443.75,29800.0,12262.5,-290.0,8371.2,37330.0,10251.9,
