Date,CL,EC,GC,KC,NG,S_,LH,SB,SI,TY,
20100104,0,0,0,0,0,0,0,0,0,0,100000
20100105,0,0,0,0,0,0,0,0,0,0,100000
20100106,0,0,0,0,0,0,0,0,0,0,100000
20100107,0,0,0,0,0,0,0,1,0,0,99731.0
20100108,0,0,0,0,0,0,0,1,0,0,99205.0
20100111,0,0,0,0,0,0,0,1,0,0,98331.0
20100112,0,0,0,0,0,0,0,1,0,0,99014.0
20100113,0,0,0,0,0,0,0,1,0,0,99776.0
20100114,0,0,0,0,0,0,0,1,0,0,99462.0
20100115,0,0,0,0,0,0,0,1,0,0,99306.0
20100119,0,0,0,0,0,0,0,1,0,0,100829.0
20100120,0,0,0,0,0,0,0,1,0,0,100974.0
20100121,0,0,0,0,0,0,0,1,0,0,101142.0
20100122,0,0,0,0,0,0,0,1,0,0,100605.0
20100125,0,0,0,0,0,0,0,1,0,0,101747.0
20100126,0,0,0,0,0,0,0,1,0,0,101187.0
20100127,0,0,0,0,0,0,0,1,0,0,100134.0
20100128,0,0,0,0,0,0,0,1,0,0,100851.0
20100129,0,0,0,0,0,0,0,1,0,0,101859.0
20100201,0,1,0,0,0,0,0,1,0,0,100265.0
20100202,0,1,0,0,0,0,0,1,0,0,99987.0
20100203,0,1,0,0,0,0,0,1,0,0,99943.0
20100204,0,1,0,0,0,1,0,1,0,0,100916.0
20100205,0,1,0,0,0,1,0,1,0,0,99769.0
20100208,0,1,0,0,0,1,0,1,0,0,99938.0
20100209,0,1,0,0,0,1,0,1,0,0,98827.0
20100210,0,1,0,1,0,1,0,1,1,0,98533.0
20100211,0,1,0,1,0,1,0,1,1,0,98436.0
20100212,0,1,0,1,0,1,0,1,1,0,99033.0
20100216,0,1,0,1,0,1,0,1,1,0,92806.0
20100217,0,1,0,1,0,1,0,1,1,0,94592.0
20100218,0,1,0,1,0,1,0,1,1,0,95693.0
20100219,0,1,0,1,0,1,0,1,1,0,93166.0
20100222,0,1,0,1,0,1,0,0,1,0,93813.0
20100223,0,1,0,1,0,1,0,0,1,0,96926.0
20100224,0,1,0,1,0,1,0,0,1,0,95891.0
20100225,0,1,0,1,0,1,0,0,1,0,96748.0
20100226,0,1,0,1,0,1,0,0,1,0,92703.0
20100301,0,1,0,1,0,1,0,0,1,0,93581.0
20100302,0,1,0,1,0,1,0,0,1,0,89650.0
20100303,0,1,0,1,0,1,0,0,0,0,87315.0
20100304,0,1,0,1,0,1,0,0,0,0,90565.0
20100305,0,1,0,1,0,1,0,0,0,0,89915.0
20100308,0,1,0,1,0,1,0,0,0,0,89240.0
20100309,0,1,0,1,0,1,0,0,0,0,89071.0
20100310,0,1,0,1,0,1,0,0,0,0,87809.0
20100311,0,1,0,1,0,1,0,0,0,0,88596.0
20100312,0,1,0,1,0,1,0,0,0,0,88140.0
20100315,0,1,0,1,0,1,0,0,0,0,89571.0
20100316,0,1,0,1,0,1,0,0,0,0,87146.0
20100317,0,1,0,1,0,1,0,0,0,0,86478.0
20100318,0,1,0,1,0,1,0,0,0,0,87321.0
20100319,0,1,0,1,0,1,0,0,0,0,89340.0
20100322,0,1,0,1,0,1,0,0,0,0,88415.0
20100323,0,1,0,1,0,1,0,0,0,0,88546.0
20100324,0,1,0,1,1,1,0,0,0,0,91823.0
20100325,0,1,0,1,1,1,0,0,0,0,93450.0
20100326,0,1,0,1,1,1,0,1,0,0,92940.0
20100329,0,1,0,0,1,1,0,1,0,0,89878.0
20100330,0,1,0,0,1,1,0,1,0,0,89393.0
20100331,0,1,0,0,1,1,0,1,0,0,92291.0
20100401,0,1,0,0,1,1,0,1,0,0,88960.0
20100402,0,1,0,0,1,1,0,1,0,0,88960.0
20100405,0,1,0,0,1,1,0,1,0,0,89023.0
20100406,0,1,0,0,1,1,0,1,0,0,92067.0
20100407,0,1,0,0,1,1,0,1,0,0,92810.0
20100408,0,1,0,0,1,1,1,1,0,0,94411.0
20100409,0,1,0,0,1,1,1,1,0,0,89780.0
20100412,0,1,0,0,1,1,1,1,0,0,88619.0
20100413,0,1,0,0,1,1,1,1,0,0,86724.0
20100414,0,1,0,0,1,0,1,1,0,0,84823.0
20100415,0,1,0,0,1,0,1,1,0,0,89314.0
20100416,0,1,0,0,1,0,1,1,0,0,90612.0
20100419,0,1,0,0,1,0,1,1,0,0,90505.0
20100420,0,1,0,0,1,0,1,1,0,0,91149.0
20100421,0,1,0,0,1,0,1,1,0,0,92415.0
20100422,0,1,0,0,1,0,1,1,0,0,92600.0
20100423,0,1,0,0,1,0,1,1,0,0,89625.0
20100426,0,1,0,0,1,0,1,1,0,0,89283.0
20100427,0,1,0,0,1,0,1,1,0,0,92805.0
20100428,0,1,0,0,1,0,1,1,0,0,92341.0
20100429,0,1,0,0,1,0,1,1,0,0,95350.0
20100430,0,1,0,0,1,0,1,1,0,0,96242.0
20100503,0,1,0,0,1,0,1,1,0,0,97045.0
20100504,0,1,0,0,1,0,1,1,0,0,99916.0
20100505,0,1,0,0,1,0,1,1,0,0,101495.0
20100506,0,1,0,0,1,0,1,1,0,0,105157.0
20100507,0,1,0,0,1,0,1,1,0,0,103065.0
20100510,0,1,0,0,1,0,1,1,0,1,100393.0
20100511,0,1,0,0,1,0,1,1,0,1,102556.0
20100512,0,1,1,0,1,0,1,1,0,1,101964.0
20100513,0,1,1,0,1,0,1,1,0,1,100607.0
20100514,0,1,1,0,1,0,1,1,0,1,103782.0
20100517,0,1,1,0,1,0,0,1,0,1,102051.0
20100518,0,1,1,0,1,0,0,1,0,1,103267.0
20100519,0,1,1,0,1,0,0,1,0,1,100183.0
20100520,1,1,1,0,1,0,0,1,0,1,101939.0
20100521,1,1,1,0,1,0,0,1,0,1,100779.0
20100524,1,1,1,0,1,0,0,1,0,1,105404.0
20100525,1,1,1,0,1,0,0,1,0,1,107982.0
20100526,1,1,1,0,1,0,0,1,0,1,107248.0
20100527,1,1,1,0,1,0,0,1,0,1,100219.0
20100528,1,1,1,0,1,0,0,1,0,1,102719.0
20100601,1,1,1,0,1,0,0,1,0,1,106522.0
20100602,1,1,1,0,1,0,0,1,0,1,103986.0
20100603,1,1,1,0,0,0,0,1,0,1,101104.0
20100604,1,1,1,0,0,0,0,1,0,1,108112.0
20100607,1,1,1,0,0,0,0,1,0,1,111404.0
20100608,1,1,1,0,0,0,0,1,0,1,110890.0
20100609,1,1,1,0,0,0,0,1,0,1,105695.0
20100610,1,1,1,0,0,0,0,1,0,1,100860.0
20100611,1,1,1,0,0,0,0,1,0,1,103771.0
20100614,1,1,1,0,0,0,0,1,0,1,99796.0
20100615,1,1,1,0,0,0,0,1,0,1,97086.0
20100616,1,1,1,0,0,0,0,1,0,1,96325.0
20100617,1,1,1,1,0,0,0,1,0,1,98931.0
20100618,1,1,1,1,0,0,0,1,0,1,101005.0
20100621,1,1,1,1,0,0,0,1,0,1,98595.0
20100622,1,1,1,1,0,0,0,1,0,1,100467.0
20100623,1,1,1,1,0,0,0,0,0,1,101109.0
20100624,1,1,1,1,0,0,0,0,0,1,104474.0
20100625,1,1,1,1,0,0,0,0,0,1,102794.0
20100628,1,1,1,1,0,0,0,0,0,1,103223.0
20100629,1,1,1,1,0,0,0,0,0,1,105422.0
20100630,1,1,1,1,0,0,0,0,0,1,106686.0
20100701,1,1,1,1,0,0,0,0,0,1,102858.0
20100702,1,1,1,1,0,0,0,0,0,1,101715.0
20100706,1,1,1,1,0,0,0,0,0,1,97606.0
20100707,1,1,1,1,0,0,0,0,0,1,97474.0
20100708,1,1,1,1,0,0,0,0,0,1,94449.0
20100709,1,1,1,1,0,0,0,0,0,1,96328.0
20100712,1,1,1,1,0,0,0,0,0,1,96971.0
20100713,1,1,1,1,0,0,0,0,0,1,95010.0
20100714,1,1,1,1,0,0,0,0,0,1,94317.0
20100715,1,0,1,1,0,0,0,0,0,1,95776.0
20100716,1,0,0,1,0,0,0,0,0,1,95099.0
20100719,1,0,0,1,0,0,0,0,0,1,93189.0
20100720,1,0,0,1,0,1,0,0,0,1,90993.0
20100721,1,0,0,1,0,1,0,0,0,1,91985.0
20100722,1,0,0,1,0,1,0,0,0,1,90604.0
20100723,1,0,0,1,0,1,0,0,0,1,92087.0
20100726,1,0,0,1,0,1,0,0,0,1,91062.0
20100727,1,0,0,1,0,1,0,0,0,1,91429.0
20100728,1,0,0,1,0,1,0,1,0,1,94935.0
20100729,1,0,0,1,0,1,0,1,0,1,97436.0
20100730,1,0,0,1,0,1,0,1,0,1,99824.0
20100802,0,0,0,1,0,1,0,1,0,1,97411.0
20100803,0,0,0,1,0,1,0,1,0,1,95047.0
20100804,0,0,0,1,0,1,0,1,0,1,96500.0
20100805,0,0,0,1,0,1,0,1,0,1,96418.0
20100806,0,0,0,1,0,1,0,1,0,1,96343.0
20100809,0,0,0,1,0,1,0,1,0,1,96309.0
20100810,0,0,0,1,0,1,0,1,0,1,97064.0
