EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,0,0,0,93.75,578.12,-1832.35,0,1100.0,0,-60.0,0,0,0,8750.0,0,0,0,0,67.2,0,0,
20000229,3162.5,3437.5,0,-1845.8,343.75,-1832.35,-350.0,14870.0,0,2730.0,0,693.0,-780.0,-67787.5,-39250.0,325.0,-78.0,-712.5,548.8,0,1315.0,
20000331,3975.0,-2387.5,-425.0,-1845.8,-517.49,-1832.35,-2200.0,18000.0,0,-50.0,0,-827.0,-1170.0,-67787.5,-39250.0,925.0,-78.0,-712.5,-83.6,0,1120.0,
20000428,10037.5,-2387.5,-1350.0,-2845.8,-1693.0,-3051.1,-6300.0,3430.0,0,-50.0,810.0,-827.0,-1170.0,-91537.5,-136450.0,725.0,-61.0,-712.5,241.2,525.0,180.0,
20000531,6937.5,-2387.5,-1350.0,-3661.72,-1693.0,-4881.1,-6300.0,13130.0,0,-50.0,12960.0,-827.0,-1170.0,-137487.5,-213875.0,562.5,-163.5,-550.0,1260.4,-1287.5,180.0,
20000630,5118.75,-2387.5,-1912.5,-3661.72,-1693.0,-4881.1,-6300.0,1630.0,0,-50.0,14160.0,-827.0,-1170.0,-137487.5,-213875.0,562.5,-163.5,-1175.0,2302.0,-181.25,180.0,
20000731,5118.75,-2387.5,-800.0,-3661.72,-1693.0,-4881.1,-6300.0,1630.0,0,-50.0,6320.0,-3116.0,-1170.0,-102487.5,-213875.0,937.5,-163.5,-1137.5,4452.4,-8081.25,180.0,
20000831,5118.75,-2387.5,-1687.5,-3661.72,-1693.0,-4881.1,-6300.0,1630.0,0,-50.0,6320.0,6565.0,-1170.0,-51237.5,-239600.0,125.0,-163.5,-2087.5,4631.6,-6993.75,180.0,
20000929,4893.75,-2387.5,-4112.5,-3661.72,-1693.0,-4881.1,-6300.0,1630.0,0,-2500.0,7180.0,3986.2,-1170.0,12512.5,-239600.0,-37.5,-163.5,-2087.5,3484.0,-8231.25,-1250.0,
20001031,9218.75,-2387.5,-4387.5,-3896.1,-2021.12,-5943.6,-7762.5,4370.0,0,-4200.0,2070.0,4414.6,-1170.0,-98712.5,-239600.0,112.5,-163.5,-2087.5,3484.0,-8881.25,-1280.0,
20001130,6581.25,-2387.5,-4387.5,-4682.02,-599.25,-6586.95,-1825.0,19770.0,0,-3080.0,2070.0,3722.0,-1420.0,-98712.5,-271100.0,837.5,-241.5,-2087.5,2638.8,-8862.5,-1280.0,
20001229,6581.25,337.5,-4387.5,-4682.02,853.88,-6586.95,-2500.0,22880.0,0,-2190.0,2070.0,5574.2,-1540.0,-98712.5,-209600.0,1400.0,-296.0,-1612.5,2638.8,-6556.25,-2480.0,
20010131,6356.25,2587.5,-6587.5,-4119.52,1385.13,-6774.45,-4387.5,18150.0,0,-6810.0,-17080.0,11088.8,-1540.0,-98712.5,-275550.0,425.0,-296.0,-2175.0,2638.8,-5881.25,-2600.0,
20010228,4981.25,3975.0,-6587.5,-3400.77,2353.88,-8104.45,-4387.5,32110.0,0,-6810.0,-17080.0,13209.8,-2100.0,-128712.5,-275550.0,425.0,-296.0,-2175.0,2638.8,-6687.5,1455.0,
20010330,3606.25,10575.0,-6587.5,-3135.15,2807.0,-9747.55,500.0,38570.0,0,-6810.0,-17080.0,13415.6,-2100.0,-185837.5,-158050.0,425.0,-296.0,-2175.0,4251.6,-7225.0,5535.0,
