Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000.0
20000104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000.0
20000105,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,125350.0
20000106,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,112600.0
20000107,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,120000.0
20000110,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,105844.0
20000111,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,95412.0
20000112,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,150420.0
20000113,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,128775.0
20000114,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,146286.0
20000118,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,156678.0
20000119,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,198475.0
20000120,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,175290.0
20000121,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,175384.0
20000124,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,129545.0
20000125,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,97080.0
20000126,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,90763.0
20000127,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,96878.0
20000128,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,68986.0
20000131,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,108697.0
20000201,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,95921.0
20000202,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,34213.0
20000203,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,36612.0
20000204,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,39286.0
20000207,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,41271.0
20000208,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,56925.0
20000209,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,100458.0
20000210,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,102881.0
20000211,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,62172.0
20000214,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,24665.0
20000215,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,18801.0
20000216,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,42402.0
20000217,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,23842.0
20000218,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,32188.0
20000222,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,33641.0
20000223,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,25108.0
20000224,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,13515.0
20000225,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,14875.0
20000228,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,13205.0
20000229,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,14789.0
20000301,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1,14274.0
20000302,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,13403.0
20000303,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,17172.0
20000306,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,20200.0
20000307,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,21907.0
20000308,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,17718.0
20000309,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,18425.0
