EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000131,4743.75,0,0,875.0,1000.0,-2175.0,-1275.0,-2750.0,0,-840.0,170.0,-445.2,-60.0,-12500.0,0,275.0,4.0,0,-100.8,-6718.75,120.0,
20000229,1375.0,2487.5,0,265.62,-677.03,-2175.0,-2412.5,11020.0,0,1950.0,-320.0,441.0,1100.0,-141250.0,-216000.0,475.0,-75.0,-687.5,380.8,-6718.75,455.0,
20000331,2037.5,-4175.0,-950.0,-643.75,-83.75,-2175.0,-7362.5,14150.0,0,-1580.0,-320.0,-2843.0,1100.0,-123750.0,-322550.0,1075.0,-12.0,-525.0,-341.2,-6943.75,260.0,
20000428,8100.0,-5787.5,1625.0,-1862.5,-231.53,-4143.75,-10125.0,13240.0,0,-2740.0,-310.0,-6987.6,1100.0,-301300.0,-307550.0,875.0,-25.0,-1025.0,129.2,-6187.5,-675.0,
20000531,5000.0,-7568.75,5037.5,-2034.38,-231.53,-5081.25,-12012.5,11355.0,0,530.0,11840.0,-6987.6,1100.0,-360100.0,-325100.0,525.0,-134.0,-1537.5,1148.4,-6987.5,10.0,
20000630,3637.5,-7568.75,2500.0,-331.25,-231.53,-3362.5,-9725.0,-5435.0,0,4020.0,13040.0,-8415.2,1100.0,-486050.0,-430225.0,1362.5,-128.0,-1712.5,2190.0,-7300.0,-1785.0,
20000731,3637.5,-10831.25,2500.0,75.0,-231.53,-2112.5,-11175.0,-7920.0,0,-1050.0,10630.0,-11619.8,1100.0,-476050.0,-460625.0,1650.0,-148.5,-3512.5,4340.4,-15031.25,-1785.0,
20000831,3637.5,-12350.0,3762.5,1262.5,-231.53,-268.75,-7062.5,-7920.0,0,4640.0,11170.0,-5722.2,1100.0,-424800.0,-411700.0,1650.0,-133.0,-4262.5,4519.6,-15031.25,-2470.0,
20000929,1925.0,-12350.0,2137.5,1403.12,-231.53,-2050.0,-9962.5,-11385.0,0,2360.0,15210.0,-8301.0,1310.0,-361050.0,-460800.0,1650.0,-138.5,-5025.0,3276.4,-16268.75,-3880.0,
20001031,6250.0,-12350.0,3800.0,1887.5,-637.78,-862.5,-11837.5,-12350.0,0,4220.0,18050.0,-7872.6,2360.0,-541050.0,-483475.0,1575.0,-235.5,-5025.0,3780.4,-18431.25,-3690.0,
