Date,EC,JY,BP,TY,FV,US,ES,NQ,EM,CL,NG,HO,GC,HG,SI,C_,S_,W_,SB,KC,CT,
20000103,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,504240.0
20000104,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,480781.0
20000105,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,502250.0
20000106,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,488937.0
20000107,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,497863.0
20000110,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,478191.0
20000111,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,468003.0
20000112,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,523173.0
20000113,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,501469.0
20000114,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,518642.0
20000118,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,530436.0
20000119,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,573844.0
20000120,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,551374.0
20000121,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,553631.0
20000124,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,502448.0
20000125,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,472211.0
20000126,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,466122.0
20000127,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,473839.0
20000128,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,447155.0
20000131,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,480323.0
20000201,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,467314.0
20000202,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,415079.0
20000203,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,423159.0
20000204,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,430909.0
20000207,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,305782.0
20000208,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,316498.0
20000209,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,365786.0
20000210,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,437839.0
20000211,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,385225.0
20000214,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,344617.0
20000215,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,294859.0
20000216,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,321305.0
20000217,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,321934.0
20000218,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,320104.0
20000222,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,311312.0
20000223,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,330851.0
20000224,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,274066.0
20000225,0,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,160104.0
20000228,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,76231.0
20000229,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,149634.0
20000301,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,173668.0
20000302,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,123453.0
20000303,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,187000.0
20000306,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,170119.0
20000307,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,153957.0
20000308,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,139699.0
20000309,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,171625.0
20000310,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,136609.0
20000313,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,127325.0
20000314,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,168368.0
20000315,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,198642.0
20000316,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,200165.0
20000317,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,193915.0
20000320,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,138020.0
20000321,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,212978.0
20000322,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,215074.0
20000323,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,197898.0
20000324,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,195447.0
20000327,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,159579.0
20000328,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,151349.0
20000329,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,92996.0
20000330,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,78689.0
20000331,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,44368.0
20000403,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,26515.0
20000404,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,-52178.0
20000405,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,-44238.0
20000406,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,-107825.0
