EC,JY,BP,
20000131,3431.25,0,0,
20000229,431.25,3056.25,-1356.25,
20000331,-1175.0,612.5,-1912.5,
20000428,2793.75,612.5,-1343.75,
20000531,1550.0,612.5,2068.75,
20000630,1550.0,612.5,1075.0,
20000731,1550.0,612.5,1075.0,
20000831,1243.75,612.5,2068.75,
20000929,-787.5,612.5,1125.0,
20001031,-1168.75,612.5,1125.0,
20001130,-2725.0,1731.25,1125.0,
20001229,18.75,4956.25,843.75,
20010131,-1750.0,7206.25,-387.5,
20010228,-1750.0,6412.5,-387.5,
20010330,-1750.0,11481.25,-387.5,
20010430,-3718.75,8468.75,-387.5,
20010531,1506.25,8468.75,-681.25,
20010629,-562.5,8468.75,-612.5,
20010731,-3312.5,8468.75,-612.5,
20010831,-3043.75,8468.75,-181.25,
20010928,-5943.75,7775.0,-1262.5,
20011031,-6450.0,6893.75,-1262.5,
20011130,-6450.0,6893.75,-1262.5,
20011231,-8306.25,11700.0,-1262.5,
20020131,-4431.25,14112.5,-1506.25,
20020228,-5856.25,13450.0,-2500.0,
20020328,-7012.5,12093.75,-2500.0,
20020430,-7012.5,12093.75,-2581.25,
20020531,-3556.25,13762.5,-3893.75,
20020628,3543.75,16075.0,456.25,
20020731,2562.5,16481.25,2568.75,
20020830,2562.5,16481.25,1800.0,
20020930,2562.5,16481.25,1800.0,
20021031,2562.5,16481.25,1800.0,
20021129,2562.5,16481.25,1800.0,
20021231,6531.25,13118.75,2593.75,
20030131,9843.75,11268.75,5081.25,
20030228,9062.5,10487.5,3100.0,
20030331,6600.0,9831.25,3100.0,
20030430,7556.25,9831.25,3100.0,
20030530,15356.25,8431.25,2168.75,
20030630,13425.0,8431.25,2412.5,
20030731,13425.0,8431.25,2412.5,
20030829,11356.25,8431.25,2412.5,
20030930,9187.5,12150.0,2412.5,
20031031,5668.75,13437.5,2993.75,
20031128,7043.75,11025.0,2437.5,
20031231,13918.75,13325.0,5787.5,
20040130,12237.5,12950.0,8537.5,
20040227,6812.5,11756.25,11456.25,
20040331,6812.5,10075.0,10093.75,
20040430,6681.25,6856.25,10093.75,
20040528,5500.0,5718.75,7175.0,
20040630,5500.0,5718.75,7175.0,
20040730,5500.0,5718.75,4893.75,
20040831,5500.0,5718.75,4893.75,
20040930,5500.0,5718.75,4893.75,
20041029,9718.75,6812.5,4893.75,
20041130,16031.25,10000.0,7431.25,
20041231,19356.25,8318.75,7312.5,
20050131,15150.0,6437.5,6875.0,
20050228,15150.0,5681.25,6875.0,
20050331,15150.0,5575.0,6875.0,
20050429,15150.0,5043.75,6875.0,
20050531,20506.25,5112.5,8681.25,
20050630,22618.75,4362.5,10575.0,
20050729,21250.0,4156.25,12537.5,
20050831,21250.0,4156.25,11525.0,
20050930,21250.0,4156.25,11525.0,
20051031,21250.0,6675.0,11525.0,
20051130,21362.5,10137.5,11225.0,
20051230,21362.5,8806.25,10568.75,
20060131,19243.75,8806.25,10568.75,
20060228,17875.0,8806.25,10568.75,
20060331,17875.0,8806.25,10568.75,
20060428,21531.25,8806.25,12375.0,
20060531,23681.25,9025.0,15306.25,
20060630,22325.0,8143.75,14293.75,
20060731,22325.0,8143.75,14293.75,
20060831,22325.0,8150.0,14393.75,
20060929,22325.0,6531.25,12706.25,
20061031,22325.0,5456.25,12706.25,
20061130,26056.25,5456.25,13912.5,
20061229,24462.5,5456.25,12525.0,
20070131,24462.5,6400.0,11175.0,
20070228,24462.5,3975.0,10175.0,
20070330,24718.75,3975.0,10175.0,
20070430,28243.75,3975.0,10618.75,
20070531,26762.5,3906.25,9762.5,
20070629,26762.5,4318.75,9762.5,
20070731,25900.0,3462.5,10356.25,
20070831,25900.0,4268.75,10356.25,
20070928,31081.25,6168.75,10356.25,
20071031,33793.75,4512.5,11281.25,
20071130,35456.25,4718.75,9162.5,
20071231,34775.0,4612.5,9162.5,
20080131,34775.0,5543.75,8575.0,
20080229,37368.75,4793.75,8575.0,
20080331,44168.75,10318.75,8575.0,
20080430,42600.0,7300.0,8575.0,
20080530,42600.0,7300.0,8575.0,
20080630,42600.0,4825.0,8575.0,
20080731,37587.5,4825.0,8575.0,
20080829,45381.25,4993.75,15800.0,
20080930,46487.5,1306.25,15393.75,
20081031,60718.75,9331.25,23737.5,
20081128,57862.5,13393.75,28331.25,
20081231,57862.5,20443.75,26887.5,
20090130,57862.5,14193.75,27600.0,
20090227,57862.5,12012.5,25112.5,
20090331,57862.5,12012.5,25112.5,
20090430,57862.5,9287.5,25112.5,
20090529,62743.75,9287.5,30018.75,
20090630,58487.5,9287.5,32050.0,
20090731,58487.5,6700.0,30306.25,
20090831,58381.25,6700.0,27775.0,
20090930,62318.75,9856.25,27775.0,
20091030,59206.25,8562.5,25525.0,
20091130,57743.75,11343.75,25525.0,
20091231,55337.5,5800.0,25525.0,
20100129,59706.25,1993.75,25525.0,
20100226,62756.25,1993.75,28375.0,
20100331,60331.25,1993.75,27906.25,
20100430,58325.0,-268.75,27906.25,
20100528,70625.0,-14250.0,29712.5,
20100630,69381.25,-10525.0,27931.25,
20100730,69381.25,-7150.0,29006.25,
20100831,69381.25,-3262.5,28056.25,
20100930,73137.5,-1950.0,28056.25,
20101029,76312.5,3400.0,26012.5,
20101130,74281.25,556.25,24343.75,
20101231,74281.25,556.25,24343.75,
20110131,74281.25,556.25,24343.75,
20110228,74281.25,556.25,24168.75,
20110331,76087.5,-4381.25,20262.5,
20110429,84075.0,-8243.75,22231.25,
20110531,76843.75,-8243.75,19481.25,
20110630,76843.75,-8243.75,18662.5,
20110729,76843.75,-6187.5,18037.5,
20110831,76843.75,-11475.0,18037.5,
20110930,81787.5,-13843.75,19025.0,
20111031,78343.75,-17118.75,18412.5,
20111130,78343.75,-17118.75,18412.5,
20111230,80512.5,-17118.75,18412.5,
20120131,79281.25,-17118.75,18412.5,
20120229,79281.25,-13862.5,18412.5,
20120330,79281.25,-12481.25,18381.25,
20120430,79281.25,-12481.25,19887.5,
20120531,82725.0,-12481.25,19543.75,
20120629,78943.75,-12481.25,17637.5,
20120731,78218.75,-12481.25,17637.5,
20120831,78218.75,-12481.25,17637.5,
20120928,76375.0,-15356.25,17356.25,
20121031,75781.25,-15356.25,17156.25,
20121130,75781.25,-14562.5,17156.25,
20121231,76056.25,-7212.5,17156.25,
20130131,77287.5,350.0,15450.0,
20130228,74506.25,1331.25,19706.25,
20130328,74506.25,762.5,19531.25,
20130430,70293.75,962.5,19531.25,
20130531,70293.75,4843.75,19531.25,
20130628,70293.75,4843.75,19531.25,
20130731,70293.75,4843.75,16600.0,
20130830,67568.75,4843.75,16600.0,
20130930,68475.0,4843.75,19306.25,
20131031,67125.0,4843.75,17837.5,
20131129,65656.25,6775.0,18506.25,
20131231,65075.0,10000.0,19743.75,
20140131,63031.25,8268.75,17400.0,
20140228,63031.25,8268.75,17187.5,
20140331,61193.75,8268.75,16081.25,
20140430,61193.75,8268.75,16450.0,
20140530,58693.75,8268.75,15750.0,
20140630,58693.75,7762.5,16387.5,
20140731,60062.5,6993.75,15962.5,
20140829,63275.0,8000.0,16450.0,
20140930,69525.0,14075.0,18762.5,
20141031,67187.5,14525.0,20050.0,
20141128,68362.5,20575.0,22350.0,
20141231,68887.5,19231.25,22643.75,
20150130,79025.0,19231.25,25875.0,
20150227,80287.5,19231.25,24656.25,
20150331,82206.25,16868.75,25331.25,
20150430,82206.25,16868.75,24462.5,
20150529,82206.25,18525.0,22712.5,
20150630,82206.25,17206.25,22106.25,
20150731,82206.25,17206.25,20887.5,
20150831,79287.5,14850.0,20887.5,
20150930,78537.5,15912.5,21200.0,
20151030,78593.75,15387.5,19537.5,
20151130,81600.0,15387.5,19787.5,
20151231,78531.25,15387.5,19850.0,
20160129,78531.25,14675.0,22925.0,
20160229,78531.25,17618.75,22650.0,
20160331,78856.25,18081.25,20212.5,
20160429,76862.5,20100.0,20212.5,
20160531,74425.0,16931.25,20212.5,
20160630,74425.0,19725.0,19175.0,
20160729,74425.0,16631.25,19181.25,
20160831,74425.0,16631.25,19356.25,
20160930,74425.0,16631.25,19356.25,
20161031,73918.75,16631.25,22800.0,
20161130,76031.25,23743.75,22218.75,
20161230,71512.5,25700.0,22218.75,
20170131,71512.5,25100.0,19606.25,
20170228,71512.5,25100.0,19606.25,
20170331,69556.25,25100.0,19606.25,
20170428,68668.75,23493.75,21012.5,
20170531,72856.25,23493.75,20337.5,
20170630,75493.75,23493.75,20243.75,
20170731,80412.5,23493.75,21318.75,
20170831,78068.75,21975.0,19762.5,
20170929,77131.25,21250.0,20706.25,
20171031,77131.25,20581.25,19518.75,
20171130,77131.25,19856.25,19518.75,
20171229,77131.25,19856.25,19518.75,
20180131,81500.0,20606.25,22668.75,
20180228,74787.5,23068.75,20518.75,
20180329,74787.5,23787.5,20518.75,
20180430,74787.5,23150.0,18237.5,
