Date,EC,JY,BP,
20000103,0,0,0,1000000
20000104,0,0,0,1000000
20000105,0,0,0,1000000
20000106,0,0,0,1000000
20000107,0,0,0,1000000
20000110,0,0,0,1000000
20000111,0,0,0,1000000
20000112,0,0,0,1000000
20000113,0,0,0,1000000
20000114,0,0,0,1000000
20000118,0,0,0,1000000
20000119,0,0,0,1000000
20000120,0,0,0,1000000
20000121,0,0,0,1000000
20000124,0,0,0,1000000
20000125,0,0,0,1000000
20000126,0,0,0,1000000
20000127,1,0,0,1001144.0
20000128,1,0,0,1002456.0
20000131,1,0,0,1003431.0
20000201,1,1,0,1003100.0
20000202,1,1,0,1003262.0
20000203,1,1,0,1000975.0
20000204,1,1,1,1001619.0
20000207,1,1,1,1003144.0
20000208,1,1,1,1002156.0
20000209,1,1,1,1000969.0
20000210,1,1,1,1001869.0
20000211,1,1,1,1002669.0
20000214,1,1,1,1003706.0
20000215,1,1,1,1003619.0
20000216,1,1,1,1002569.0
20000217,1,1,1,1003544.0
20000218,1,1,1,1004994.0
20000222,0,1,0,1002056.0
20000223,0,1,0,1002681.0
20000224,0,1,0,1002469.0
20000225,0,1,0,1001569.0
20000228,1,1,0,1000288.0
20000229,1,1,1,1002131.0
20000301,1,0,1,998262.0
20000302,1,0,1,999862.0
20000303,1,0,1,1000300.0
20000306,1,0,1,1000950.0
20000307,1,0,1,1000988.0
20000308,1,0,1,1000288.0
20000309,1,0,1,999488.0
20000310,1,0,1,1000362.0
20000313,1,0,1,999288.0
20000314,1,0,1,999062.0
20000315,1,0,1,999200.0
20000316,1,0,1,998600.0
20000317,1,0,1,998650.0
20000320,0,0,1,998669.0
20000321,0,0,1,998431.0
20000322,0,0,1,998206.0
20000323,0,0,0,997525.0
20000324,0,0,0,997525.0
20000327,0,0,0,997525.0
20000328,0,0,0,997525.0
20000329,0,0,0,997525.0
20000330,0,0,0,997525.0
20000331,0,0,0,997525.0
20000403,0,0,0,997525.0
20000404,0,0,0,997525.0
20000405,0,0,0,997525.0
20000406,0,0,0,997525.0
20000407,0,0,0,997525.0
20000410,0,0,0,997525.0
20000411,0,0,0,997525.0
20000412,0,0,0,997525.0
20000413,0,0,0,997525.0
20000414,0,0,0,997525.0
20000417,0,0,0,997525.0
20000418,0,0,0,997525.0
20000419,1,0,0,997619.0
20000420,1,0,0,998019.0
20000424,1,0,0,997656.0
20000425,1,0,0,1000119.0
20000426,1,0,0,999669.0
20000427,1,0,0,1001306.0
20000428,1,0,1,1002062.0
20000501,1,0,1,1001125.0
20000502,1,0,1,1001850.0
20000503,1,0,1,1003200.0
20000504,1,0,1,1005225.0
20000505,1,0,1,1005025.0
20000508,1,0,1,1004888.0
20000509,1,0,1,1003625.0
20000510,1,0,1,1004675.0
20000511,1,0,1,1006462.0
20000512,1,0,1,1003375.0
20000515,1,0,1,1004575.0
20000516,1,0,1,1006462.0
20000517,1,0,1,1007650.0
20000518,1,0,1,1008588.0
20000519,1,0,1,1007700.0
20000522,1,0,1,1006538.0
20000523,1,0,1,1007388.0
