EC,
20000331,1625.0,
20000428,7687.5,
20000531,3881.25,
20000630,262.5,
20000731,-2818.75,
20000831,462.5,
20000929,-2731.25,
20001031,1593.75,
20001130,-4331.25,
20001229,2962.5,
20010131,1900.0,
20010228,-956.25,
20010330,2112.5,
20010430,1100.0,
20010531,6325.0,
20010629,6037.5,
20010731,3143.75,
20010831,7581.25,
20010928,7418.75,
20011031,6200.0,
20011130,5243.75,
20011231,3762.5,
20020131,4468.75,
20020228,3043.75,
20020328,1656.25,
20020430,3187.5,
20020531,7275.0,
20020628,14375.0,
20020731,12675.0,
20020830,12281.25,
20020930,9406.25,
20021031,9406.25,
20021129,9112.5,
20021231,15812.5,
20030131,19125.0,
20030228,19862.5,
20030331,15218.75,
20030430,17268.75,
20030530,25068.75,
20030630,21143.75,
20030731,17343.75,
20030829,20593.75,
20030930,18700.0,
20031031,17937.5,
20031128,19987.5,
20031231,26862.5,
20040130,25787.5,
20040227,25700.0,
20040331,25062.5,
20040430,28950.0,
20040528,27581.25,
20040630,24081.25,
20040730,21956.25,
20040831,21956.25,
20040930,22175.0,
20041029,26612.5,
20041130,32925.0,
20041231,36250.0,
20050131,30056.25,
20050228,27031.25,
20050331,23381.25,
20050429,22212.5,
20050531,28937.5,
20050630,31050.0,
20050729,30875.0,
20050831,26043.75,
20050930,23568.75,
20051031,20843.75,
20051130,23581.25,
20051230,21431.25,
20060131,21700.0,
20060228,19000.0,
20060331,16781.25,
20060428,21712.5,
20060531,23862.5,
20060630,20943.75,
20060731,16056.25,
20060831,13500.0,
20060929,13500.0,
20061031,11443.75,
20061130,15906.25,
20061229,15606.25,
20070131,12387.5,
20070228,12387.5,
20070330,13981.25,
20070430,17506.25,
20070531,14525.0,
20070629,12625.0,
20070731,13412.5,
20070831,10025.0,
20070928,16243.75,
20071031,18956.25,
20071130,20618.75,
20071231,16468.75,
20080131,13068.75,
20080229,13381.25,
20080331,20181.25,
20080430,18681.25,
20080530,15512.5,
20080630,15512.5,
20080731,11737.5,
20080829,20462.5,
20080930,26675.0,
20081031,44087.5,
20081128,44600.0,
20081231,39731.25,
20090130,29993.75,
20090227,29687.5,
20090331,20512.5,
20090430,17118.75,
20090529,25312.5,
20090630,24175.0,
20090731,26850.0,
20090831,24587.5,
20090930,27275.0,
20091030,28287.5,
20091130,31600.0,
20091231,32200.0,
20100129,38062.5,
20100226,41112.5,
20100331,42500.0,
20100430,40825.0,
20100528,53125.0,
20100630,54075.0,
20100730,50575.0,
20100831,45193.75,
20100930,52318.75,
20101029,55493.75,
20101130,53025.0,
20101231,48587.5,
20110131,46943.75,
20110228,48356.25,
20110331,53106.25,
20110429,61093.75,
20110531,52868.75,
20110630,45725.0,
20110729,42068.75,
20110831,42068.75,
20110930,48525.0,
20111031,41893.75,
20111130,40762.5,
20111230,46612.5,
20120131,45137.5,
20120229,43087.5,
20120330,39537.5,
20120430,37062.5,
20120531,44743.75,
20120629,40993.75,
20120731,45431.25,
20120831,43562.5,
20120928,47062.5,
20121031,48375.0,
20121130,46262.5,
20121231,45168.75,
20130131,49793.75,
20130228,45387.5,
20130328,48412.5,
20130430,44050.0,
20130531,44050.0,
20130628,42200.0,
20130731,40087.5,
20130830,38450.0,
20130930,40093.75,
20131031,40906.25,
20131129,37081.25,
20131231,37881.25,
20140131,35700.0,
20140228,35693.75,
20140331,35093.75,
20140430,34137.5,
20140530,33625.0,
20140630,32825.0,
20140731,36650.0,
20140829,39862.5,
20140930,46112.5,
20141031,47425.0,
20141128,48600.0,
20141231,49862.5,
20150130,60000.0,
20150227,61262.5,
20150331,66775.0,
20150430,63931.25,
20150529,59818.75,
20150630,56793.75,
20150731,55343.75,
20150831,52325.0,
20150930,47593.75,
20151030,44900.0,
20151130,50312.5,
20151231,44587.5,
20160129,42168.75,
20160229,40968.75,
20160331,43700.0,
20160429,44362.5,
20160531,41600.0,
20160630,40012.5,
20160729,38575.0,
20160831,36343.75,
20160930,36343.75,
20161031,37143.75,
20161130,37756.25,
20161230,38137.5,
20170131,36331.25,
20170228,36331.25,
20170331,35412.5,
20170428,35275.0,
20170531,39462.5,
20170630,42100.0,
20170731,47018.75,
20170831,47662.5,
20170929,45975.0,
20171031,46106.25,
20171130,44143.75,
20171229,45831.25,
20180131,50481.25,
20180228,47600.0,
20180329,49368.75,
20180430,49856.25,
20180531,55137.5,
20180629,54687.5,
20180731,53931.25,
20180831,52293.75,
20180928,50331.25,
20181031,51600.0,
20181130,52018.75,
20181231,50012.5,
20190131,47787.5,
20190228,45856.25,
20190329,44156.25,
20190430,42550.0,
20190531,43543.75,
20190628,43225.0,
20190731,41625.0,
20190830,41793.75,
20190930,42131.25,
20191031,39693.75,
20191129,38593.75,
20191231,39862.5,
20200131,36737.5,
20200228,36568.75,
20200331,30393.75,
20200430,28818.75,
20200529,28818.75,
20200630,29587.5,
20200731,36412.5,
20200831,38162.5,
20200930,35006.25,
20201030,35006.25,
20201130,33006.25,
20201231,36700.0,
20210129,35412.5,
20210226,34562.5,
20210331,37925.0,
20210430,33393.75,
20210528,35543.75,
20210630,34312.5,
20210730,34300.0,
20210831,34931.25,
20210930,35668.75,
20211029,36062.5,
20211130,39087.5,
20211231,38137.5,
20220131,37625.0,
20220228,34031.25,
20220331,35625.0,
20220429,42000.0,
20220531,40087.5,
20220630,42637.5,
20220729,46181.25,
20220831,48662.5,
20220930,51093.75,
20221031,49400.0,
20221130,52487.5,
20221230,56556.25,
20230131,58287.5,
20230228,55562.5,
20230331,52756.25,
20230428,54568.75,
20230531,52600.0,
20230630,47918.75,
20230731,47412.5,
20230831,45862.5,
20230929,48862.5,
20231031,48987.5,
20231130,48493.75,
20231229,50718.75,
20240131,48112.5,
20240229,47481.25,
20240328,46400.0,
20240430,46887.5,
20240531,45400.0,
20240628,43931.25,
20240717,44781.25,
