Date,EC,
20000316,1,99525.0
20000317,1,99375.0
20000320,1,99300.0
20000321,1,100412.0
20000322,1,100962.0
20000323,1,99512.0
20000324,1,99125.0
20000327,1,100338.0
20000328,1,100850.0
20000329,1,102212.0
20000330,1,100938.0
20000331,1,101625.0
20000403,1,101338.0
20000404,1,100638.0
20000405,1,100750.0
20000406,1,101112.0
20000407,1,101812.0
20000410,1,100988.0
20000411,1,101313.0
20000412,1,101662.0
20000413,1,101925.0
20000414,1,101388.0
20000417,1,102025.0
20000418,1,102812.0
20000419,1,103812.0
20000420,1,104213.0
20000424,1,103850.0
20000425,1,106312.0
20000426,1,105862.0
20000427,1,107500.0
20000428,1,107688.0
20000501,1,106762.0
20000502,1,107912.0
20000503,1,109375.0
20000504,1,110125.0
20000505,1,109088.0
20000508,1,109275.0
20000509,1,108075.0
20000510,1,107788.0
20000511,1,108988.0
20000512,1,106625.0
20000515,1,107375.0
20000516,1,108525.0
20000517,1,109575.0
20000518,1,109825.0
20000519,1,109125.0
20000522,1,108412.0
20000523,1,108275.0
20000524,1,108150.0
20000525,1,107500.0
20000526,1,105125.0
20000530,0,103881.0
20000531,0,103881.0
20000601,0,103881.0
20000602,0,103881.0
20000605,0,103881.0
20000606,0,103881.0
20000607,0,103881.0
20000608,1,103062.0
20000609,1,102688.0
20000612,1,102638.0
20000613,1,103525.0
20000614,1,103500.0
20000615,1,102612.0
20000616,1,104100.0
20000619,1,103988.0
20000620,1,103825.0
20000621,1,102188.0
20000622,1,101275.0
20000623,1,101050.0
20000626,0,100438.0
20000627,0,100438.0
20000628,0,100438.0
20000629,0,100438.0
20000630,1,100262.0
20000703,1,99900.0
20000705,1,100238.0
20000706,1,99850.0
20000707,1,99375.0
20000710,1,100313.0
20000711,1,99988.0
20000712,1,98725.0
20000713,1,98000.0
20000714,1,98163.0
20000717,1,97888.0
20000718,0,97181.0
20000719,0,97181.0
20000720,0,97181.0
20000721,0,97181.0
20000724,0,97181.0
20000725,0,97181.0
20000726,0,97181.0
20000727,0,97181.0
20000728,0,97181.0
20000731,0,97181.0
20000801,0,97181.0
20000802,1,97200.0
20000803,1,97863.0
20000804,1,97750.0
20000807,1,97700.0
20000808,1,98525.0
20000809,1,98938.0
20000810,1,97813.0
20000811,1,98375.0
20000814,1,98150.0
20000815,1,97163.0
20000816,1,96863.0
