ES,NQ,EM,CL,NG,HO,
20000131,0,0,0,0,0,0,
20000229,1037.5,0,0,0,0,0,
20000331,-4987.5,0,0,0,0,1827.0,
20000428,-4987.5,-7870.0,0,-1140.0,0,2440.2,
20000531,-5900.0,1830.0,0,-2570.0,0,281.4,
20000630,-9687.5,-11725.0,0,80.0,0,-3485.6,
20000731,-9687.5,-11725.0,0,-4990.0,0,-3485.6,
20000831,-9687.5,-14495.0,0,-6640.0,-4640.0,-3485.6,
20000929,-10175.0,-5035.0,0,-8850.0,-4640.0,-3485.6,
20001031,-9500.0,1385.0,0,-6990.0,-4640.0,-3485.6,
20001130,-3562.5,16785.0,0,-5260.0,-4640.0,-8029.6,
20001229,-4237.5,19895.0,0,1760.0,-4640.0,-9075.4,
20010131,-6137.5,15165.0,0,-100.0,-4640.0,-3560.8,
20010228,412.5,29125.0,0,1170.0,1500.0,-1439.8,
20010330,4050.0,35585.0,0,2270.0,3610.0,-1234.0,
20010430,-200.0,30055.0,0,100.0,6910.0,-3287.8,
20010531,-362.5,31325.0,0,-520.0,14720.0,-4148.8,
20010629,925.0,30455.0,0,-2970.0,22900.0,-1826.2,
20010731,1750.0,33525.0,0,-4820.0,20900.0,-1099.6,
20010831,5762.5,37935.0,0,-4820.0,30060.0,-4119.4,
20010928,10325.0,43885.0,0,-9500.0,31420.0,-7566.8,
20011031,9475.0,40005.0,0,-7250.0,20950.0,-5441.6,
20011130,5512.5,35425.0,0,-5510.0,26850.0,-2732.6,
20011231,5050.0,35715.0,0,-5910.0,28160.0,-3043.4,
20020131,5987.5,36315.0,0,-5550.0,32480.0,-2132.0,
20020228,7162.5,40175.0,0,-4080.0,30290.0,-2891.8,
20020328,5725.0,38195.0,0,490.0,21030.0,1383.8,
20020430,2875.0,41785.0,34600.0,1470.0,15910.0,2165.0,
20020531,3912.5,43195.0,37300.0,-510.0,21690.0,31.4,
20020628,7787.5,46305.0,104800.0,-2930.0,21410.0,-1673.4,
20020731,11712.5,48095.0,157300.0,-3800.0,24320.0,-1172.4,
20020830,11487.5,48515.0,164500.0,-1840.0,20900.0,2074.2,
20020930,16537.5,50675.0,270800.0,-370.0,12480.0,3930.6,
20021031,13012.5,47555.0,192800.0,-3600.0,12300.0,1465.2,
20021129,10487.5,48255.0,140800.0,-4040.0,11860.0,-3431.2,
20021231,13337.5,45655.0,194700.0,-8850.0,5970.0,-4666.0,
20030131,14550.0,45775.0,223100.0,-8850.0,-2190.0,-6765.6,
20030228,15237.5,45255.0,235800.0,-8850.0,-11960.0,-6765.6,
20030331,14937.5,43885.0,233800.0,-8850.0,-11960.0,-6765.6,
20030430,15937.5,44765.0,182500.0,-4150.0,-19900.0,-3199.8,
20030530,18300.0,46585.0,142600.0,-7910.0,-19900.0,-5850.0,
20030630,18800.0,46695.0,132100.0,-12950.0,-19900.0,-7429.2,
20030731,19600.0,48185.0,107100.0,-12950.0,-14180.0,-7966.8,
20030829,19275.0,49445.0,86900.0,-12950.0,-14310.0,-9491.0,
20030930,18487.5,48725.0,102000.0,-14170.0,-15300.0,-12304.6,
20031031,21262.5,50965.0,51500.0,-15320.0,-15930.0,-12371.8,
20031128,21675.0,51105.0,49100.0,-16130.0,-16250.0,-10595.2,
20031231,24312.5,52025.0,-13700.0,-14020.0,-27550.0,-7575.4,
20040130,25287.5,52505.0,-28270.0,-13490.0,-27550.0,-7533.4,
20040227,26012.5,52035.0,-28270.0,-10380.0,-28310.0,-6428.8,
20040331,21662.5,50725.0,-33070.0,-10780.0,-32550.0,-5659.8,
20040430,21187.5,49300.0,-18370.0,-9160.0,-32550.0,-7730.4,
20040528,21187.5,49300.0,-18070.0,-6660.0,-32550.0,-10812.8,
20040630,21187.5,48830.0,-41070.0,-9490.0,-32550.0,-10812.8,
20040730,19450.0,46925.0,-12070.0,-2740.0,-34370.0,-10812.8,
20040831,19100.0,47575.0,-15370.0,-4420.0,-23990.0,-10812.8,
20040930,17087.5,46675.0,-4570.0,3100.0,-42700.0,-10812.8,
20041029,16025.0,48125.0,1030.0,5220.0,-42700.0,-10812.8,
20041130,16025.0,49785.0,-43170.0,2590.0,-42700.0,-10812.8,
20041231,16025.0,50895.0,-59600.0,-4840.0,-36190.0,-8192.0,
20050131,16025.0,48315.0,-59600.0,-9450.0,-37910.0,-12203.0,
20050228,15862.5,48535.0,-59600.0,-9450.0,-42000.0,-16621.0,
20050331,13725.0,48975.0,-59600.0,-9450.0,-48500.0,-16621.0,
20050429,14587.5,50285.0,-33300.0,-9450.0,-48500.0,-16621.0,
20050531,12900.0,47895.0,-61000.0,-11720.0,-47090.0,-19960.0,
20050630,12437.5,46525.0,-43800.0,-14420.0,-54550.0,-21929.4,
20050729,14500.0,46365.0,-81300.0,-14420.0,-54550.0,-21929.4,
20050831,13737.5,46365.0,-63800.0,-14420.0,-54550.0,-21929.4,
20050930,13150.0,46365.0,-74800.0,-14420.0,-54550.0,-21929.4,
20051031,14375.0,46945.0,-54600.0,-14780.0,-54550.0,-21929.4,
