Date,ES,NQ,EM,CL,NG,HO,
20000103,0,0,0,0,0,0,500000.0
20000104,0,0,0,0,0,0,500000.0
20000105,0,0,0,0,0,0,500000.0
20000106,0,0,0,0,0,0,500000.0
20000107,0,0,0,0,0,0,500000.0
20000110,0,0,0,0,0,0,500000.0
20000111,0,0,0,0,0,0,500000.0
20000112,0,0,0,0,0,0,500000.0
20000113,0,0,0,0,0,0,500000.0
20000114,0,0,0,0,0,0,500000.0
20000118,0,0,0,0,0,0,500000.0
20000119,0,0,0,0,0,0,500000.0
20000120,0,0,0,0,0,0,500000.0
20000121,0,0,0,0,0,0,500000.0
20000124,0,0,0,0,0,0,500000.0
20000125,0,0,0,0,0,0,500000.0
20000126,0,0,0,0,0,0,500000.0
20000127,0,0,0,0,0,0,500000.0
20000128,0,0,0,0,0,0,500000.0
20000131,0,0,0,0,0,0,500000.0
20000201,0,0,0,0,0,0,500000.0
20000202,0,0,0,0,0,0,500000.0
20000203,0,0,0,0,0,0,500000.0
20000204,0,0,0,0,0,0,500000.0
20000207,0,0,0,0,0,0,500000.0
20000208,0,0,0,0,0,0,500000.0
20000209,0,0,0,0,0,0,500000.0
20000210,0,0,0,0,0,0,500000.0
20000211,0,0,0,0,0,0,500000.0
20000214,0,0,0,0,0,0,500000.0
20000215,0,0,0,0,0,0,500000.0
20000216,0,0,0,0,0,0,500000.0
20000217,1,0,0,0,0,0,500362.0
20000218,1,0,0,0,0,0,501975.0
20000222,1,0,0,0,0,0,502188.0
20000223,1,0,0,0,0,0,501375.0
20000224,1,0,0,0,0,0,501875.0
20000225,1,0,0,0,0,0,502738.0
20000228,1,0,0,0,0,0,502250.0
20000229,1,0,0,0,0,0,501038.0
20000301,1,0,0,0,0,0,500388.0
20000302,1,0,0,0,0,0,500388.0
20000303,1,0,0,0,0,0,499100.0
20000306,1,0,0,0,0,0,499888.0
20000307,1,0,0,0,0,0,502050.0
20000308,1,0,0,0,0,0,501325.0
20000309,1,0,0,0,0,0,499425.0
20000310,1,0,0,0,0,0,499662.0
20000313,1,0,0,0,0,0,500462.0
20000314,1,0,0,0,0,0,501525.0
20000315,1,0,0,0,0,0,499875.0
20000316,1,0,0,0,0,0,495738.0
20000317,0,0,0,0,0,0,495012.0
20000320,0,0,0,0,0,0,495012.0
20000321,0,0,0,0,0,0,495012.0
20000322,0,0,0,0,0,0,495012.0
20000323,0,0,0,0,0,0,495012.0
20000324,0,0,0,0,0,0,495012.0
20000327,0,0,0,0,0,0,495012.0
20000328,0,0,0,0,0,0,495012.0
20000329,0,0,0,0,0,1,495218.0
20000330,0,0,0,0,0,1,494811.0
20000331,0,0,0,0,0,1,496840.0
20000403,0,0,0,0,0,1,497423.0
20000404,0,0,0,0,0,1,498641.0
20000405,0,0,0,0,0,1,497890.0
20000406,0,0,0,0,0,1,497952.0
20000407,0,0,0,0,0,1,498461.0
20000410,0,0,0,1,0,1,499895.0
20000411,0,0,0,1,0,1,499437.0
20000412,0,0,0,1,0,1,496588.0
20000413,0,0,0,1,0,1,496480.0
20000414,0,0,0,1,0,1,496814.0
20000417,0,0,0,1,0,1,495205.0
20000418,0,0,0,1,0,1,494435.0
20000419,0,0,0,1,0,1,492196.0
20000420,0,0,0,1,0,1,492590.0
20000424,0,0,0,1,0,1,492611.0
20000425,0,1,0,1,0,1,488852.0
20000426,0,1,0,1,0,1,491541.0
20000427,0,1,0,1,0,1,487962.0
20000428,0,1,0,1,0,1,488443.0
20000501,0,1,0,1,0,1,487068.0
20000502,0,1,0,1,0,1,489775.0
20000503,0,1,0,0,0,1,491286.0
20000504,0,1,0,0,0,1,490998.0
20000505,0,1,0,0,0,1,489262.0
20000508,0,1,0,0,0,1,491179.0
20000509,0,1,0,0,0,1,492403.0
20000510,0,1,0,0,0,1,495605.0
20000511,0,1,0,0,0,1,491252.0
20000512,0,1,0,0,0,1,490814.0
20000515,0,1,0,0,0,1,487798.0
20000516,0,1,0,0,0,1,485760.0
20000517,0,1,0,0,0,1,487191.0
20000518,0,1,0,0,0,1,488687.0
20000519,0,1,0,0,0,1,492703.0
20000522,0,1,0,0,0,1,493512.0
20000523,0,1,0,0,0,1,499531.0
20000524,0,1,0,0,0,1,495108.0
20000525,1,1,0,0,0,1,496455.0
20000526,1,1,0,0,0,1,497886.0
20000530,1,1,0,0,0,1,489608.0
20000531,1,1,0,0,0,1,493641.0
20000601,1,1,0,0,0,1,486824.0
20000602,1,1,0,1,0,1,481546.0
20000605,1,1,0,1,0,1,481546.0
20000606,1,1,0,1,0,1,483490.0
20000607,1,1,0,1,0,1,481920.0
20000608,1,1,0,1,0,1,482476.0
20000609,1,1,0,1,0,1,482616.0
20000612,1,1,0,1,0,1,485320.0
20000613,1,1,0,1,0,1,482318.0
20000614,1,1,0,1,0,1,483965.0
20000615,0,1,0,1,0,1,482158.0
20000616,0,1,0,1,0,1,481482.0
20000619,0,1,0,1,0,1,478027.0
20000620,0,0,0,1,0,1,475503.0
20000621,0,0,0,1,0,1,475194.0
20000622,0,0,0,1,0,0,474872.0
20000623,0,0,0,1,0,0,474932.0
