EC,
20000131,0,
20000229,0,
20000331,0,
20000428,0,
20000531,0,
20000630,0,
20000731,0,
20000831,0,
20000929,0,
20001031,0,
20001130,0,
20001229,0,
20010131,0,
20010228,0,
20010330,0,
20010430,0,
20010531,0,
20010629,0,
20010731,0,
20010831,0,
20010928,0,
20011031,0,
20011130,0,
20011231,0,
20020131,0,
20020228,0,
20020328,0,
20020430,0,
20020531,-387.5,
20020628,6712.5,
20020731,5012.5,
20020830,5675.0,
20020930,6075.0,
20021031,6537.5,
20021129,7337.5,
20021231,14037.5,
20030131,17350.0,
20030228,18087.5,
20030331,19000.0,
20030430,22637.5,
20030530,30437.5,
20030630,26512.5,
20030731,23475.0,
20030829,20225.0,
20030930,28400.0,
20031031,27637.5,
20031128,32950.0,
20031231,39825.0,
20040130,38750.0,
20040227,39262.5,
20040331,36650.0,
20040430,32762.5,
20040528,35775.0,
20040630,35375.0,
20040730,33237.5,
20040831,35262.5,
20040930,38550.0,
20041029,42987.5,
20041130,49300.0,
20041231,52625.0,
20050131,46087.5,
20050228,48687.5,
20050331,45425.0,
20050429,44137.5,
20050531,41700.0,
20050630,41700.0,
20050729,41700.0,
20050831,41700.0,
20050930,41700.0,
20051031,41700.0,
20051130,41700.0,
20051230,41700.0,
20060131,41700.0,
20060228,41700.0,
20060331,41700.0,
20060428,41700.0,
20060531,41700.0,
20060630,41700.0,
20060731,41700.0,
20060831,41700.0,
20060929,41700.0,
20061031,41393.75,
20061130,47193.75,
20061229,46893.75,
20070131,44656.25,
20070228,46968.75,
20070330,48868.75,
20070430,52393.75,
20070531,49731.25,
20070629,51043.75,
20070731,52831.25,
20070831,52031.25,
20070928,60106.25,
20071031,62818.75,
20071130,64481.25,
20071231,63818.75,
20080131,67181.25,
20080229,71256.25,
20080331,78056.25,
20080430,76556.25,
20080530,75768.75,
20080630,77568.75,
20080731,75906.25,
20080829,64331.25,
20080930,58118.75,
20081031,54068.75,
20081128,54068.75,
20081231,54068.75,
20090130,54068.75,
20090227,54068.75,
20090331,54068.75,
20090430,54068.75,
20090529,54068.75,
20090630,54068.75,
20090731,54068.75,
20090831,54068.75,
20090930,54068.75,
20091030,54068.75,
20091130,54068.75,
20091231,54068.75,
20100129,54068.75,
20100226,54068.75,
20100331,54068.75,
20100430,54068.75,
20100528,54068.75,
20100630,54068.75,
20100730,54068.75,
20100831,54068.75,
20100930,54068.75,
20101029,54068.75,
20101130,54068.75,
20101231,54068.75,
20110131,54068.75,
20110228,54068.75,
20110331,54068.75,
20110429,54068.75,
20110531,54068.75,
20110630,54068.75,
20110729,54068.75,
20110831,54068.75,
20110930,54068.75,
20111031,54068.75,
20111130,54068.75,
20111230,54068.75,
20120131,54068.75,
20120229,54068.75,
20120330,54068.75,
20120430,54068.75,
20120531,54068.75,
20120629,54068.75,
20120731,54068.75,
20120831,54068.75,
20120928,54068.75,
20121031,54068.75,
20121130,54068.75,
20121231,54068.75,
20130131,54068.75,
20130228,54068.75,
20130328,54068.75,
20130430,54068.75,
20130531,54068.75,
20130628,54068.75,
20130731,54068.75,
20130830,54068.75,
20130930,54068.75,
20131031,51743.75,
20131129,51106.25,
20131231,51106.25,
20140131,51106.25,
20140228,52606.25,
20140331,52006.25,
20140430,53206.25,
20140530,50256.25,
20140630,48843.75,
20140731,48843.75,
20140829,48843.75,
20140930,50368.75,
20141031,51681.25,
20141128,52856.25,
20141231,56968.75,
20150130,67106.25,
20150227,68368.75,
20150331,73881.25,
